goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.03488419950008392,90,ML,Hertha Berlin,Paderborn,2,0,2015-04-05,5203,2014,33790,0,0,0,0,0.03488419950008392,0.10135100036859512,0.10135100036859512
0,5,0.17076599597930908,90,ML,Paderborn,Hoffenheim,0,0,2015-03-21,5253,2014,35768,0.16445599496364594,0,2,0,0.17076599597930908,0.09718050062656403,0.07828669995069504
0,3,0.07130560278892517,90,ML,Eintracht Frankfurt,Paderborn,4,0,2015-03-14,5247,2014,35036,0.2505129873752594,0,1,0,0.07130560278892517,0.5108649730682373,0.24694600701332092
0,2,0.12231100350618362,90,AMC,Paderborn,Bayer Leverkusen,0,3,2015-03-08,5241,2014,34023,0.36212798953056335,0,3,0,0.12231100350618362,0.01694660075008869,0
0,7,0.21099500358104706,90,ML,Borussia M.Gladbach,Paderborn,2,0,2015-03-01,5231,2014,32438,0.1775829941034317,0,5,0,0.21099500358104706,0.2786569893360138,0.09586229920387268
0,5,0.11805599927902222,90,ML,Paderborn,Bayern Munich,0,6,2015-02-21,5294,2014,31984,0.12160900235176086,0,2,0,0.11805599927902222,0.03205610066652298,0.009810959920287132
1,5,0.13882499933242798,90,AML,Hannover 96,Paderborn,1,2,2015-02-15,5288,2014,32686,0.04721049964427948,0,1,1,0.13882499933242798,0.5810369849205017,0.5383660197257996
0,4,0.06543289870023727,89,AMC,FC Cologne,Paderborn,0,0,2015-02-07,5272,2014,32025,0,0,0,0,0.06543289870023727,0.057879600673913956,0.035487499088048935
0,2,0.04227209836244583,17,Sub,Paderborn,Hamburger SV,0,3,2015-02-04,5268,2014,32510,0,0,0,0,0.04227209836244583,0.011071399785578251,0
0,1,0.011877000331878662,16,Sub,Mainz 05,Paderborn,5,0,2015-01-31,5306,2014,31804,0,0,0,0,0.011877000331878662,0,0
0,0,0,18,Sub,VfB Stuttgart,Paderborn,0,0,2014-12-20,5344,2014,31693,0,0,0,0,0,0,0
0,7,0.1568720042705536,90,ML,Paderborn,Schalke 04,1,2,2014-12-17,5338,2014,31208,0.1800439953804016,0,3,0,0.1568720042705536,0.32509100437164307,0.1981229931116104
1,2,0.7926130294799805,90,ML,Wolfsburg,Paderborn,1,1,2014-12-14,5329,2014,31251,0,0,0,0,0.034836601465940475,0,0
0,5,0.1558160036802292,90,AML,Paderborn,Freiburg,1,1,2014-12-06,5316,2014,30881,0.14501099288463593,0,2,0,0.1558160036802292,0.2364020049571991,0.1861090064048767
0,2,0.088189996778965,16,Sub,Werder Bremen,Paderborn,4,0,2014-11-29,5379,2014,30450,0,0,0,0,0.088189996778965,0.280036985874176,0.280036985874176
0,3,0.06268010288476944,72,AML,Augsburg,Paderborn,3,0,2014-11-08,5357,2014,30059,0.021663600578904152,0,2,0,0.06268010288476944,0.09027639776468277,0.05714689940214157
1,6,0.21709400415420532,79,ML,Paderborn,Hertha Berlin,3,1,2014-11-02,5355,2014,29933,0,0,0,1,0.21709400415420532,0.11375000327825546,0.034866999834775925
0,1,0.015494800172746181,11,Sub,Paderborn,Borussia M.Gladbach,1,2,2014-09-27,5443,2014,28934,0,0,0,0,0.015494800172746181,0.09506849944591522,0.0795736014842987
