id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
25883,66,MissedShots,0.91,0.549000015258789,0.024999700486660004,Marvin Friedrich,a,370,FromCorner,2014,Head,5388,Hoffenheim,Schalke 04,2,1,2014-10-04 14:30:00,Tranquillo Barnetta,Aerial
31832,7,MissedShots,0.8569999694824219,0.47900001525878905,0.018387800082564354,Marvin Friedrich,a,370,FromCorner,2014,Head,5221,Wolfsburg,Schalke 04,1,1,2015-04-19 16:30:00,Jefferson Farfán,Cross
31654,40,BlockedShot,0.9219999694824219,0.519000015258789,0.1368280053138733,Marvin Friedrich,a,370,FromCorner,2014,RightFoot,5187,Hamburger SV,Schalke 04,2,0,2015-05-23 14:30:00,Joel Matip,Rebound
317136,47,MissedShots,0.8930000305175781,0.47200000762939454,0.027303999289870262,Marvin Friedrich,h,370,SetPiece,2019,Head,12434,Union Berlin,Werder Bremen,1,2,2019-09-14 13:30:00,Christopher Trimmel,Aerial
320251,52,MissedShots,0.9319999694824219,0.46599998474121096,0.0586559996008873,Marvin Friedrich,a,370,FromCorner,2019,Head,12443,Bayer Leverkusen,Union Berlin,2,0,2019-09-21 13:30:00,Marcus Ingvartsen,Aerial
322250,5,SavedShot,0.9230000305175782,0.45799999237060546,0.09517340362071991,Marvin Friedrich,h,370,FromCorner,2019,RightFoot,12448,Union Berlin,Eintracht Frankfurt,1,2,2019-09-27 18:30:00,Christopher Trimmel,Cross
322265,53,BlockedShot,0.8619999694824219,0.49700000762939456,0.06142039969563484,Marvin Friedrich,h,370,FromCorner,2019,LeftFoot,12448,Union Berlin,Eintracht Frankfurt,1,2,2019-09-27 18:30:00,Robert Andrich,Chipped
325423,68,ShotOnPost,0.92,0.5659999847412109,0.026184499263763428,Marvin Friedrich,h,370,FromCorner,2019,Head,12468,Union Berlin,Freiburg,2,0,2019-10-19 14:30:00,Christopher Trimmel,Aerial
327137,25,BlockedShot,0.794000015258789,0.2620000076293945,0.01215319987386465,Marvin Friedrich,a,370,SetPiece,2019,RightFoot,12476,Bayern Munich,Union Berlin,2,1,2019-10-26 14:30:00,,None
336846,35,MissedShots,0.89,0.5790000152587891,0.05005849897861481,Marvin Friedrich,a,370,SetPiece,2019,Head,12537,Paderborn,Union Berlin,1,1,2019-12-14 14:30:00,Christopher Trimmel,Cross
336854,56,BlockedShot,0.95,0.585,0.1028909981250763,Marvin Friedrich,a,370,SetPiece,2019,Head,12537,Paderborn,Union Berlin,1,1,2019-12-14 14:30:00,Christopher Trimmel,Cross
336855,56,BlockedShot,0.95,0.585,0.12269499897956848,Marvin Friedrich,a,370,SetPiece,2019,RightFoot,12537,Paderborn,Union Berlin,1,1,2019-12-14 14:30:00,,Rebound
338036,7,BlockedShot,0.909000015258789,0.4329999923706055,0.0833493024110794,Marvin Friedrich,h,370,FromCorner,2019,RightFoot,12546,Union Berlin,Hoffenheim,0,2,2019-12-17 19:30:00,Christopher Trimmel,Pass
338037,7,MissedShots,0.9540000152587891,0.35200000762939454,0.06942489743232727,Marvin Friedrich,h,370,FromCorner,2019,RightFoot,12546,Union Berlin,Hoffenheim,0,2,2019-12-17 19:30:00,,Rebound
338042,24,BlockedShot,0.8090000152587891,0.700999984741211,0.02041189931333065,Marvin Friedrich,h,370,OpenPlay,2019,RightFoot,12546,Union Berlin,Hoffenheim,0,2,2019-12-17 19:30:00,Florian Hübner,TakeOn
338050,58,BlockedShot,0.6990000152587891,0.4570000076293945,0.014648700132966042,Marvin Friedrich,h,370,OpenPlay,2019,LeftFoot,12546,Union Berlin,Hoffenheim,0,2,2019-12-17 19:30:00,Robert Andrich,Pass
339309,29,MissedShots,0.6859999847412109,0.34599998474121096,0.010937999933958054,Marvin Friedrich,a,370,OpenPlay,2019,RightFoot,12550,Fortuna Duesseldorf,Union Berlin,2,1,2019-12-22 14:30:00,Christopher Lenz,BallRecovery
339319,47,MissedShots,0.965999984741211,0.5690000152587891,0.08897250145673752,Marvin Friedrich,a,370,SetPiece,2019,Head,12550,Fortuna Duesseldorf,Union Berlin,2,1,2019-12-22 14:30:00,,None
339321,47,BlockedShot,0.9290000152587891,0.519000015258789,0.05940920114517212,Marvin Friedrich,a,370,FromCorner,2019,Head,12550,Fortuna Duesseldorf,Union Berlin,2,1,2019-12-22 14:30:00,Christopher Trimmel,Aerial
355779,17,MissedShots,0.9119999694824219,0.509000015258789,0.09641270339488983,Marvin Friedrich,h,370,FromCorner,2019,LeftFoot,12573,Union Berlin,Augsburg,2,0,2020-01-25 14:30:00,Neven Subotic,BallTouch
358950,5,SavedShot,0.925,0.46599998474121096,0.06113110110163689,Marvin Friedrich,h,370,SetPiece,2019,Head,12600,Union Berlin,Bayer Leverkusen,2,3,2020-02-15 14:30:00,Christopher Trimmel,Aerial
358962,40,MissedShots,0.919000015258789,0.59,0.017398400232195854,Marvin Friedrich,h,370,FromCorner,2019,Head,12600,Union Berlin,Bayer Leverkusen,2,3,2020-02-15 14:30:00,Christopher Trimmel,Aerial
361231,55,Goal,0.9369999694824219,0.42700000762939455,0.28367799520492554,Marvin Friedrich,h,370,SetPiece,2019,Head,12618,Union Berlin,Wolfsburg,2,2,2020-03-01 12:30:00,Christopher Trimmel,Cross
361733,35,MissedShots,0.7019999694824218,0.18200000762939453,0.010541100054979324,Marvin Friedrich,a,370,OpenPlay,2019,RightFoot,12625,Freiburg,Union Berlin,3,1,2020-03-07 14:30:00,Christian Gentner,Pass
363553,26,MissedShots,0.9019999694824219,0.5279999923706055,0.044639699161052704,Marvin Friedrich,h,370,FromCorner,2019,Head,12651,Union Berlin,Mainz 05,1,1,2020-05-27 18:30:00,,None
363565,63,BlockedShot,0.924000015258789,0.5370000076293945,0.160179004073143,Marvin Friedrich,h,370,FromCorner,2019,Head,12651,Union Berlin,Mainz 05,1,1,2020-05-27 18:30:00,Christopher Trimmel,Aerial
363715,28,MissedShots,0.9330000305175781,0.534000015258789,0.07576169818639755,Marvin Friedrich,a,370,SetPiece,2019,Head,12656,Borussia M.Gladbach,Union Berlin,4,1,2020-05-31 13:30:00,Christian Gentner,Aerial
364011,40,BlockedShot,0.91,0.40599998474121096,0.053882598876953125,Marvin Friedrich,h,370,FromCorner,2019,RightFoot,12672,Union Berlin,Schalke 04,1,1,2020-06-07 13:30:00,Christopher Trimmel,Cross
364017,85,BlockedShot,0.9030000305175782,0.43099998474121093,0.05819550156593323,Marvin Friedrich,h,370,FromCorner,2019,RightFoot,12672,Union Berlin,Schalke 04,1,1,2020-06-07 13:30:00,Christopher Trimmel,Cross
364241,38,Goal,0.9359999847412109,0.495,0.06978140026330948,Marvin Friedrich,a,370,FromCorner,2019,Head,12680,FC Cologne,Union Berlin,1,2,2020-06-13 13:30:00,Christopher Trimmel,Aerial
364648,52,BlockedShot,0.8719999694824219,0.5379999923706055,0.04641510173678398,Marvin Friedrich,h,370,SetPiece,2019,Head,12690,Union Berlin,Paderborn,1,0,2020-06-16 18:30:00,Christopher Trimmel,Chipped
380276,62,Goal,0.904000015258789,0.54,0.03846200183033943,Marvin Friedrich,h,370,SetPiece,2020,Head,15158,Union Berlin,Mainz 05,4,0,2020-10-02 18:30:00,Christopher Trimmel,Aerial
382717,54,Goal,0.9390000152587891,0.385,0.015106800012290478,Marvin Friedrich,a,370,FromCorner,2020,Head,15175,Schalke 04,Union Berlin,1,1,2020-10-18 16:00:00,Christopher Trimmel,Aerial
382719,60,MissedShots,0.91,0.43900001525878907,0.021085500717163086,Marvin Friedrich,a,370,FromCorner,2020,Head,15175,Schalke 04,Union Berlin,1,1,2020-10-18 16:00:00,Max Kruse,Aerial
383220,85,MissedShots,0.7719999694824219,0.3089999961853027,0.014725100249052048,Marvin Friedrich,h,370,OpenPlay,2020,RightFoot,15177,Union Berlin,Freiburg,1,1,2020-10-24 13:30:00,Taiwo Awoniyi,TakeOn
383221,88,MissedShots,0.9080000305175782,0.6029999923706054,0.1147959977388382,Marvin Friedrich,h,370,SetPiece,2020,Head,15177,Union Berlin,Freiburg,1,1,2020-10-24 13:30:00,Max Kruse,Cross
388131,39,BlockedShot,0.88,0.40599998474121096,0.019122200086712837,Marvin Friedrich,a,370,FromCorner,2020,Head,15211,FC Cologne,Union Berlin,1,2,2020-11-22 17:00:00,Christopher Trimmel,Cross
388647,38,BlockedShot,0.904000015258789,0.42400001525878905,0.03350599855184555,Marvin Friedrich,h,370,SetPiece,2020,OtherBodyPart,15217,Union Berlin,Eintracht Frankfurt,3,3,2020-11-28 14:30:00,Christopher Trimmel,Aerial
389872,54,BlockedShot,0.8919999694824219,0.6569999694824219,0.06160140037536621,Marvin Friedrich,a,370,SetPiece,2020,LeftFoot,15225,Hertha Berlin,Union Berlin,3,1,2020-12-04 19:30:00,,BallTouch
391754,81,SavedShot,0.9130000305175782,0.4759999847412109,0.036486998200416565,Marvin Friedrich,h,370,FromCorner,2020,Head,15236,Union Berlin,Bayern Munich,1,1,2020-12-12 17:30:00,Christopher Trimmel,Aerial
391756,90,MissedShots,0.9059999847412109,0.4209999847412109,0.015730300918221474,Marvin Friedrich,h,370,FromCorner,2020,Head,15236,Union Berlin,Bayern Munich,1,1,2020-12-12 17:30:00,Christopher Trimmel,Aerial
392613,3,Goal,0.9159999847412109,0.6320000076293946,0.039836399257183075,Marvin Friedrich,a,370,SetPiece,2020,Head,15244,VfB Stuttgart,Union Berlin,2,2,2020-12-15 19:30:00,Christopher Trimmel,Chipped
392614,6,MissedShots,0.9309999847412109,0.6809999847412109,0.03125400096178055,Marvin Friedrich,a,370,OpenPlay,2020,LeftFoot,15244,VfB Stuttgart,Union Berlin,2,2,2020-12-15 19:30:00,Sheraldo Becker,Cross
392638,80,MissedShots,0.87,0.57,0.00964439008384943,Marvin Friedrich,a,370,SetPiece,2020,Head,15244,VfB Stuttgart,Union Berlin,2,2,2020-12-15 19:30:00,Christopher Trimmel,Aerial
393781,77,Goal,0.8830000305175781,0.5359999847412109,0.2065809965133667,Marvin Friedrich,h,370,FromCorner,2020,Head,15253,Union Berlin,Borussia Dortmund,2,1,2020-12-18 19:30:00,Cedric Teuchert,Cross
398767,14,ShotOnPost,0.9259999847412109,0.49900001525878906,0.11710800230503082,Marvin Friedrich,h,370,FromCorner,2020,Head,15280,Union Berlin,Bayer Leverkusen,1,0,2021-01-15 19:30:00,Christopher Trimmel,Cross
401573,46,BlockedShot,0.7680000305175781,0.5790000152587891,0.039428599178791046,Marvin Friedrich,h,370,OpenPlay,2020,LeftFoot,15307,Union Berlin,Borussia M.Gladbach,1,1,2021-01-30 14:30:00,,Interception
405517,2,MissedShots,0.9309999847412109,0.425,0.030131099745631218,Marvin Friedrich,a,370,FromCorner,2020,Head,15331,Freiburg,Union Berlin,0,1,2021-02-20 14:30:00,Christopher Trimmel,Aerial
405525,42,MissedShots,0.81,0.6940000152587891,0.027439700439572334,Marvin Friedrich,a,370,OpenPlay,2020,RightFoot,15331,Freiburg,Union Berlin,0,1,2021-02-20 14:30:00,Robert Andrich,Pass
411339,0,BlockedShot,0.8869999694824219,0.575,0.06519989669322968,Marvin Friedrich,a,370,FromCorner,2020,LeftFoot,15368,Eintracht Frankfurt,Union Berlin,5,2,2021-03-20 14:30:00,Robin Knoche,Pass
411346,19,BlockedShot,0.8969999694824219,0.5309999847412109,0.019478099420666695,Marvin Friedrich,a,370,FromCorner,2020,Head,15368,Eintracht Frankfurt,Union Berlin,5,2,2021-03-20 14:30:00,Christopher Trimmel,Aerial
