goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,29,Sub,Wolfsburg,RasenBallsport Leipzig,0,1,2016-10-16,1389,2016,143796,0,0,0,0,0,0,0
0,0,0,17,Sub,Wolfsburg,Mainz 05,0,0,2016-10-02,1379,2016,143572,0.08707019686698914,0,1,0,0,0.09832940250635147,0.011259299702942371
0,1,0.026561999693512917,28,Sub,Werder Bremen,Wolfsburg,2,1,2016-09-24,1369,2016,143391,0.11518099904060364,0,2,0,0.026561999693512917,0.17443400621414185,0.03269150108098984
0,1,0.3712080121040344,46,AML,Wolfsburg,Borussia Dortmund,1,5,2016-09-20,1354,2016,143040,0.08815500140190125,0,2,0,0.3712080121040344,0.5010200142860413,0.04165640100836754
0,0,0,20,Sub,Hoffenheim,Wolfsburg,0,0,2016-09-17,1347,2016,142916,0,0,0,0,0,0,0
0,1,0.0561847984790802,28,Sub,Wolfsburg,FC Cologne,0,0,2016-09-10,1337,2016,142400,0,0,0,0,0.0561847984790802,0.018214700743556023,0.018214700743556023
0,1,0.1266310065984726,8,Sub,Augsburg,Wolfsburg,0,2,2016-08-27,1328,2016,141995,0,0,0,0,0.1266310065984726,0.1266310065984726,0
0,0,0,59,AMR,Werder Bremen,Wolfsburg,3,2,2016-04-16,1287,2015,92097,0,0,0,0,0,0,0
0,1,0.04208629950881004,90,FWR,Wolfsburg,Mainz 05,1,1,2016-04-09,1279,2015,91751,0.47566500306129456,1,3,0,0.04208629950881004,0.5652139782905579,0.5231279730796814
0,1,0.0496068000793457,44,Sub,Bayer Leverkusen,Wolfsburg,3,0,2016-04-01,1264,2015,91548,0.11014000326395035,0,1,0,0.0496068000793457,0.15974700450897217,0
0,0,0,10,Sub,Wolfsburg,Darmstadt,1,1,2016-03-19,1256,2015,91257,0,0,0,0,0,0,0
0,0,0,18,Sub,Hoffenheim,Wolfsburg,1,0,2016-03-12,1247,2015,91160,0,0,0,0,0,0.06347320228815079,0.06347320228815079
0,0,0,3,Sub,Hannover 96,Wolfsburg,0,4,2016-03-01,1228,2015,90610,0,0,0,0,0,0,0
0,2,0.11876899749040604,24,Sub,Schalke 04,Wolfsburg,3,0,2016-02-06,1193,2015,89507,0,0,0,0,0.11876899749040604,0.11876899749040604,0
