goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Werder Bremen,Augsburg,1,2,2016-04-09,1277,2015,91836,0,0,0,0,0,0,0
0,0,0,4,Sub,Borussia Dortmund,Werder Bremen,3,2,2016-04-02,1270,2015,91520,0,0,0,0,0,0,0
0,0,0,6,Sub,Werder Bremen,Mainz 05,1,1,2016-03-19,1258,2015,91369,0,0,0,0,0,0.03197979927062988,0.03197979927062988
0,0,0,43,Sub,Bayern Munich,Werder Bremen,5,0,2016-03-12,1252,2015,90993,0,0,0,0,0,0,0
0,0,0,8,Sub,Werder Bremen,Hannover 96,4,1,2016-03-05,1239,2015,90871,0,0,0,0,0,0,0
0,0,0,2,Sub,Eintracht Frankfurt,Werder Bremen,2,1,2015-12-19,1168,2015,88873,0,0,0,0,0,0,0
0,0,0,2,Sub,Werder Bremen,FC Cologne,1,1,2015-12-12,1159,2015,88637,0,0,0,0,0,0,0
0,0,0,13,Sub,Werder Bremen,Borussia Dortmund,1,3,2015-10-31,1115,2015,87392,0,0,0,0,0,0,0
0,1,0.10949499905109406,60,ML,Werder Bremen,Bayern Munich,0,1,2015-10-17,1095,2015,86889,0,0,0,0,0.10949499905109406,0.10949499905109406,0
0,0,0,29,Sub,Borussia Dortmund,Werder Bremen,3,2,2015-05-23,5193,2014,34650,0,0,0,0,0,0,0
0,1,0.11918199807405472,59,FW,Werder Bremen,Borussia Dortmund,2,1,2014-12-20,5341,2014,31567,0,0,0,0,0.11918199807405472,0.21690000593662262,0.0977173000574112
1,1,0.057183001190423965,58,FW,Werder Bremen,Hannover 96,3,3,2014-12-13,5323,2014,31512,0.04083250090479851,0,2,1,0.057183001190423965,0.3956109881401062,0.2975960075855255
