goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Darmstadt,Mainz 05,2,1,2017-03-11,3787,2016,149311,0,0,0,0,0,0.19755999743938446,0.19755999743938446
0,0,0,90,DC,Werder Bremen,Darmstadt,2,0,2017-03-04,3779,2016,148435,0,0,0,0,0,0.19627100229263306,0.19627100229263306
0,0,0,90,DC,Hoffenheim,Darmstadt,2,0,2017-02-18,3760,2016,146828,0,0,0,0,0,0.09256760030984879,0.09256760030984879
0,0,0,90,DC,Darmstadt,Borussia Dortmund,2,1,2017-02-11,3751,2016,146786,0.05855439975857735,0,1,0,0,0.11558400094509125,0.05702950060367584
0,1,0.06913399696350098,79,DMC,Eintracht Frankfurt,Darmstadt,2,0,2017-02-05,3748,2016,147495,0,0,0,0,0.06913399696350098,0,0
0,1,0.009041650220751762,90,DMC,Darmstadt,FC Cologne,1,6,2017-01-28,3736,2016,146316,0,0,0,0,0.009041650220751762,0.5495210289955139,0.5404800176620483
0,0,0,20,Sub,Darmstadt,Borussia M.Gladbach,0,0,2017-01-21,3727,2016,145683,0,0,0,0,0,0,0
0,0,0,90,DC,Hertha Berlin,Darmstadt,2,0,2016-12-21,3225,2016,144969,0,0,0,0,0,0.3793700039386749,0.3793700039386749
0,1,0.40360599756240845,78,DC,Darmstadt,Bayern Munich,0,1,2016-12-18,3217,2016,146647,0,0,0,0,0.40360599756240845,0.023097600787878036,0.023097600787878036
0,1,0.05094590038061142,90,DC,Freiburg,Darmstadt,1,0,2016-12-10,3202,2016,146299,0,0,0,0,0.05094590038061142,0.07422170042991638,0.07422170042991638
0,0,0,82,DMC,Darmstadt,Hamburger SV,0,2,2016-12-04,3199,2016,145481,0,0,0,0,0,0.25317099690437317,0.25317099690437317
0,0,0,9,Sub,Darmstadt,Wolfsburg,3,1,2016-10-22,1392,2016,144133,0,0,0,0,0,0,0
0,0,0,89,DMC,Augsburg,Darmstadt,1,0,2016-09-24,1367,2016,143358,0,0,0,0,0,0.060083601623773575,0.060083601623773575
0,0,0,57,MC,Borussia Dortmund,Darmstadt,6,0,2016-09-17,1350,2016,142745,0,0,0,0,0,0,0
0,0,0,72,MC,Darmstadt,Eintracht Frankfurt,1,0,2016-09-10,1339,2016,142562,0,0,0,0,0,0,0
0,3,0.06722360104322433,90,MC,Darmstadt,Borussia M.Gladbach,0,2,2016-05-14,1326,2015,93197,0,0,0,0,0.06722360104322433,0.042245201766490936,0
0,0,0,90,DMC,Hertha Berlin,Darmstadt,1,2,2016-05-07,1316,2015,92932,0,0,0,0,0,0.5348640084266663,0.5348640084266663
0,0,0,90,MC,Darmstadt,Eintracht Frankfurt,1,2,2016-04-30,1304,2015,92695,0,0,0,0,0,0,0
0,1,0.008235559798777103,41,DMC,Darmstadt,Ingolstadt,2,0,2016-04-16,1284,2015,92193,0,0,0,0,0.008235559798777103,0,0
0,1,0.01596510037779808,90,DMC,Hamburger SV,Darmstadt,1,2,2016-04-09,1275,2015,91790,0,0,0,0,0.01596510037779808,0.01596510037779808,0
1,6,1.442139983177185,90,MC,Darmstadt,VfB Stuttgart,2,2,2016-04-02,1268,2015,91695,0,0,0,1,1.442139983177185,0.12132900208234787,0
0,0,0,90,MC,Wolfsburg,Darmstadt,1,1,2016-03-19,1256,2015,91267,0.09755899757146835,0,1,0,0,0.10981500148773193,0.012256399728357792
0,0,0,71,MC,Darmstadt,Augsburg,2,2,2016-03-12,1249,2015,91196,0,0,0,0,0,0,0
0,3,0.056321799755096436,90,MC,Mainz 05,Darmstadt,0,0,2016-03-06,1244,2015,90962,0,0,0,0,0.056321799755096436,0.02685689926147461,0
0,0,0,83,MC,Darmstadt,Borussia Dortmund,0,2,2016-03-02,1230,2015,90703,0,0,0,0,0,0.281374990940094,0.281374990940094
0,0,0,90,DMC,Werder Bremen,Darmstadt,2,2,2016-02-27,1220,2015,90382,0.02213289961218834,0,1,0,0,0.02213289961218834,0
0,1,0.02278519980609417,90,MC,Darmstadt,Bayer Leverkusen,1,2,2016-02-13,1202,2015,89957,0.08622089773416519,0,1,0,0.02278519980609417,0.15686500072479248,0.047859299927949905
0,0,0,90,MC,Hoffenheim,Darmstadt,0,2,2016-02-07,1200,2015,89696,0,0,0,0,0,0.4378780126571655,0.4378780126571655
0,0,0,90,MC,Darmstadt,Schalke 04,0,2,2016-01-30,1184,2015,89461,0.0359111987054348,0,1,0,0,0.0359111987054348,0
0,2,0.02276580035686493,90,DMC,Hannover 96,Darmstadt,1,2,2016-01-23,1176,2015,89142,0,0,0,0,0.02276580035686493,0.012637199833989143,0
0,2,0.09060180187225342,58,DMC,Borussia M.Gladbach,Darmstadt,3,2,2015-12-20,1173,2015,88784,0,0,0,0,0.09060180187225342,0.10686500370502472,0.07400880008935928
0,0,0,90,DMC,Eintracht Frankfurt,Darmstadt,0,1,2015-12-06,1155,2015,88394,0,0,0,0,0,0.04744169861078262,0.04744169861078262
0,0,0,90,DMC,Darmstadt,FC Cologne,0,0,2015-11-27,1138,2015,88215,0,0,0,0,0,0.1057410016655922,0.1057410016655922
0,0,0,77,DMC,Ingolstadt,Darmstadt,3,1,2015-11-22,1137,2015,87982,0,0,0,0,0,0,0
0,2,0.19389599561691284,90,MC,Darmstadt,Hamburger SV,1,1,2015-11-07,1126,2015,87718,0,0,0,0,0.19389599561691284,1.181879997253418,1.0710899829864502
0,1,0.014959599822759628,82,MC,VfB Stuttgart,Darmstadt,2,0,2015-11-01,1118,2015,87346,0,0,0,0,0.014959599822759628,0.014959599822759628,0
0,1,0.057262301445007324,83,MC,Darmstadt,Wolfsburg,0,1,2015-10-24,1104,2015,87221,0,0,0,0,0.057262301445007324,0,0
