goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Hertha Berlin,Bayer Leverkusen,1,5,2019-05-18,10638,2018,333398,0,0,0,0,0,0.011495299637317657,0.011495299637317657
0,0,0,90,DC,Augsburg,Hertha Berlin,3,4,2019-05-11,10631,2018,331662,0.051252398639917374,0,1,0,0,0.08081849664449692,0.029566099867224693
0,0,0,90,DC,Hertha Berlin,VfB Stuttgart,3,1,2019-05-04,10620,2018,330123,0,0,0,0,0,0,0
0,0,0,90,DC,Eintracht Frankfurt,Hertha Berlin,0,0,2019-04-27,10611,2018,328176,0,0,0,0,0,0,0
0,0,0,1,Sub,Hertha Berlin,Hannover 96,0,0,2019-04-21,10603,2018,326849,0,0,0,0,0,0,0
0,0,0,60,DC,RasenBallsport Leipzig,Hertha Berlin,5,0,2019-03-30,10573,2018,318150,0,0,0,0,0,0.06264189630746841,0.06264189630746841
0,0,0,1,Sub,Hertha Berlin,Borussia Dortmund,2,3,2019-03-16,10568,2018,316545,0,0,0,0,0,0,0
0,0,0,48,MC,Freiburg,Hertha Berlin,2,1,2019-03-09,10560,2018,314365,0,0,0,0,0,0,0
0,0,0,90,DC,Hertha Berlin,Mainz 05,2,1,2019-03-02,10549,2018,311440,0,0,0,0,0,0.03109869919717312,0.03109869919717312
0,0,0,90,DC,Bayern Munich,Hertha Berlin,1,0,2019-02-23,10535,2018,308641,0,0,0,0,0,0,0
0,0,0,90,MC,Hertha Berlin,Werder Bremen,1,1,2019-02-16,10530,2018,308463,0,0,0,0,0,0.32701700925827026,0.32701700925827026
0,0,0,90,DMC,Borussia M.Gladbach,Hertha Berlin,0,3,2019-02-09,10520,2018,310564,0,0,0,0,0,0.08615030348300934,0.08615030348300934
0,0,0,90,DC,Hertha Berlin,Wolfsburg,0,1,2019-02-02,10511,2018,307987,0,0,0,0,0,0.3049030005931854,0.3049030005931854
0,0,0,90,DC,Hertha Berlin,Schalke 04,2,2,2019-01-25,10502,2018,307656,0.06331110000610352,0,1,0,0,0.22404100000858307,0.1607300043106079
0,0,0,90,DC,Nuernberg,Hertha Berlin,1,3,2019-01-20,10495,2018,307616,0,0,0,0,0,0.5030450224876404,0.5030450224876404
0,1,0.03636230155825615,90,DC,Bayer Leverkusen,Hertha Berlin,3,1,2018-12-22,10484,2018,285145,0.62322998046875,1,1,0,0.03636230155825615,0.378697007894516,0.378697007894516
0,0,0,90,DC,Hertha Berlin,Augsburg,2,2,2018-12-18,10480,2018,284687,0,0,0,0,0,0.1442980021238327,0.1442980021238327
0,0,0,90,DC,VfB Stuttgart,Hertha Berlin,2,1,2018-12-15,10466,2018,284145,0,0,0,0,0,0.19000600278377533,0.19000600278377533
0,0,0,90,DC,Hertha Berlin,Eintracht Frankfurt,1,0,2018-12-08,10458,2018,284381,0,0,0,0,0,0.09377189725637436,0.09377189725637436
0,0,0,90,DC,Hannover 96,Hertha Berlin,0,2,2018-12-01,10451,2018,284005,0,0,0,0,0,0.43813300132751465,0.43813300132751465
0,0,0,90,DC,Hertha Berlin,Hoffenheim,3,3,2018-11-24,10440,2018,283713,0,0,0,0,0,0.09342840313911438,0.09342840313911438
0,0,0,90,DC,Hertha Berlin,RasenBallsport Leipzig,0,3,2018-11-03,10418,2018,283324,0,0,0,0,0,0.557174026966095,0.557174026966095
0,0,0,90,DC,Borussia Dortmund,Hertha Berlin,2,2,2018-10-27,10410,2018,282948,0,0,0,0,0,0,0
0,1,0.097645603120327,90,DC,Hertha Berlin,Freiburg,1,1,2018-10-21,10405,2018,282850,0.09265550225973129,0,1,0,0.097645603120327,0.4870539903640747,0.4870539903640747
0,0,0,43,Sub,Mainz 05,Hertha Berlin,0,0,2018-10-06,10398,2018,282513,0,0,0,0,0,0,0
0,0,0,90,DMC,Werder Bremen,Hertha Berlin,3,1,2018-09-25,10373,2018,251570,0,0,0,0,0,0.3804669976234436,0.3804669976234436
0,0,0,90,DC,Hertha Berlin,Borussia M.Gladbach,4,2,2018-09-22,10366,2018,250220,0,0,0,0,0,0.3861050009727478,0.3861050009727478
0,0,0,15,Sub,Wolfsburg,Hertha Berlin,2,2,2018-09-15,10358,2018,248713,0,0,0,0,0,0,0
0,0,0,20,Sub,Schalke 04,Hertha Berlin,0,2,2018-09-02,10354,2018,247570,0,0,0,0,0,0,0
0,0,0,67,MC,Hertha Berlin,RasenBallsport Leipzig,2,6,2018-05-12,8558,2017,238929,0,0,0,0,0,0,0
0,0,0,90,DC,Hannover 96,Hertha Berlin,3,1,2018-05-05,8548,2017,237276,0,0,0,0,0,0.018660200759768486,0.018660200759768486
0,0,0,1,Sub,Eintracht Frankfurt,Hertha Berlin,0,3,2018-04-21,8533,2017,234235,0,0,0,0,0,0,0
0,0,0,90,DMC,Borussia M.Gladbach,Hertha Berlin,2,1,2018-04-07,8515,2017,230806,0,0,0,0,0,0.9282019734382629,0.9282019734382629
0,0,0,90,DMC,Hertha Berlin,Wolfsburg,0,0,2018-03-31,8505,2017,227505,0.019316699355840683,0,1,0,0,0.061879999935626984,0.04256340116262436
