id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
24479,76,BlockedShot,0.8390000152587891,0.5359999847412109,0.024694599211215973,Sandro Wagner,h,11,FromCorner,2014,RightFoot,5450,Hertha Berlin,Werder Bremen,2,2,2014-08-23 14:30:00,,Aerial
25910,82,OwnGoal,0.034000000953674316,0.435,0,Sandro Wagner,h,11,SetPiece,2014,Head,5383,Hertha Berlin,VfB Stuttgart,3,2,2014-10-03 19:30:00,,Card
26391,79,MissedShots,0.855999984741211,0.26399999618530273,0.030824199318885803,Sandro Wagner,h,11,SetPiece,2014,LeftFoot,5405,Hertha Berlin,Hamburger SV,3,0,2014-10-25 14:30:00,Hajime Hosogai,Chipped
29482,85,MissedShots,0.7619999694824219,0.620999984741211,0.04612480103969574,Sandro Wagner,a,11,OpenPlay,2014,LeftFoot,5275,Mainz 05,Hertha Berlin,0,2,2015-02-07 14:30:00,Julian Schieber,Chipped
28620,92,MissedShots,0.7980000305175782,0.605999984741211,0.04175959900021553,Sandro Wagner,h,11,OpenPlay,2014,LeftFoot,5287,Hertha Berlin,Freiburg,0,2,2015-02-15 14:30:00,Valentin Stocker,Pass
76736,92,SavedShot,0.8880000305175781,0.27299999237060546,0.033639900386333466,Sandro Wagner,h,11,OpenPlay,2015,LeftFoot,1044,Darmstadt,Hoffenheim,0,0,2015-08-29 17:30:00,Marcel Heller,Pass
76827,87,BlockedShot,0.9580000305175781,0.585,0.06224219873547554,Sandro Wagner,a,11,OpenPlay,2015,Head,1053,Bayer Leverkusen,Darmstadt,0,1,2015-09-12 17:30:00,Marcel Heller,Aerial
77201,59,MissedShots,0.9369999694824219,0.539000015258789,0.06072689965367317,Sandro Wagner,h,11,OpenPlay,2015,Head,1058,Darmstadt,Bayern Munich,0,3,2015-09-19 17:30:00,Marcel Heller,Aerial
77422,13,MissedShots,0.919000015258789,0.5129999923706055,0.06592720001935959,Sandro Wagner,h,11,OpenPlay,2015,Head,1069,Darmstadt,Werder Bremen,2,1,2015-09-22 22:00:00,Marcel Heller,Aerial
77429,30,Goal,0.885,0.5,0.7576959729194641,Sandro Wagner,h,11,Penalty,2015,RightFoot,1069,Darmstadt,Werder Bremen,2,1,2015-09-22 22:00:00,,Standard
