id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
24340,17,SavedShot,0.8519999694824218,0.27700000762939453,0.030940599739551544,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Philipp Lahm,Pass
24342,26,BlockedShot,0.8030000305175782,0.27700000762939453,0.021718399599194527,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Holger Badstuber,Chipped
24348,46,Goal,0.870999984741211,0.5209999847412109,0.458963006734848,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Robert Lewandowski,Pass
24358,82,BlockedShot,0.77,0.4209999847412109,0.018588799983263016,Arjen Robben,h,392,FromCorner,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Sebastian Rode,TakeOn
24361,89,ShotOnPost,0.8480000305175781,0.6329999923706054,0.35505199432373047,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5447,Bayern Munich,Wolfsburg,2,1,2014-08-22 19:30:00,Sebastian Rode,Chipped
25271,31,MissedShots,0.85,0.2979999923706055,0.05514439940452576,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5430,Bayern Munich,Paderborn,4,0,2014-09-23 19:00:00,Philipp Lahm,Pass
25272,35,MissedShots,0.8130000305175781,0.725999984741211,0.05661259964108467,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5430,Bayern Munich,Paderborn,4,0,2014-09-23 19:00:00,Xabi Alonso,Chipped
25276,56,MissedShots,0.8530000305175781,0.31799999237060544,0.031031999737024307,Arjen Robben,h,392,FromCorner,2014,LeftFoot,5430,Bayern Munich,Paderborn,4,0,2014-09-23 19:00:00,,None
25278,59,MissedShots,0.815,0.6659999847412109,0.03936240077018738,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5430,Bayern Munich,Paderborn,4,0,2014-09-23 19:00:00,Mario Götze,Pass
25289,89,SavedShot,0.7440000152587891,0.5279999923706055,0.03195520117878914,Arjen Robben,h,392,OpenPlay,2014,LeftFoot,5430,Bayern Munich,Paderborn,4,0,2014-09-23 19:00:00,Philipp Lahm,Pass
