goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Lyon,Montpellier,5,2,2022-04-23,18154,2021,528724,0,0,0,0,0,0.5228390097618103,0.5228390097618103
0,0,0,90,GK,Brest,Lyon,2,1,2022-04-20,18144,2021,527986,0,0,0,0,0,0.41931799054145813,0.41931799054145813
0,0,0,90,GK,Lyon,Bordeaux,6,1,2022-04-17,18133,2021,527151,0,0,0,0,0,0.45679500699043274,0.45679500699043274
0,0,0,61,Sub,Strasbourg,Lyon,1,1,2022-04-10,18131,2021,525689,0,0,0,0,0,0.01779020018875599,0.01779020018875599
0,0,0,90,GK,Lyon,Monaco,2,0,2021-10-16,17915,2021,488420,0,0,0,0,0,0.05300319939851761,0.05300319939851761
0,0,0,11,Sub,Saint-Etienne,Lyon,1,1,2021-10-03,17911,2021,487708,0,0,0,0,0,0,0
0,0,0,90,GK,Hamburger SV,Borussia M.Gladbach,2,1,2018-05-12,8562,2017,239033,0,0,0,0,0,0.09130319952964783,0.09130319952964783
0,0,0,90,GK,Eintracht Frankfurt,Hamburger SV,3,0,2018-05-05,8555,2017,237469,0,0,0,0,0,0.02261829935014248,0.02261829935014248
0,0,0,90,GK,Wolfsburg,Hamburger SV,1,3,2018-04-28,8546,2017,235696,0,0,0,0,0,0.21709400415420532,0.21709400415420532
0,0,0,90,GK,Hamburger SV,Freiburg,1,0,2018-04-21,8535,2017,234237,0,0,0,0,0,0.03843729943037033,0.03843729943037033
0,0,0,90,GK,Hoffenheim,Hamburger SV,2,0,2018-04-14,8521,2017,231914,0,0,0,0,0,0.03645889833569527,0.03645889833569527
0,0,0,90,GK,Hamburger SV,Schalke 04,3,2,2018-04-07,8518,2017,230870,0,0,0,0,0,0.07523109763860703,0.07523109763860703
0,0,0,90,GK,VfB Stuttgart,Hamburger SV,1,1,2018-03-31,8510,2017,227429,0,0,0,0,0,0.10480300337076187,0.10480300337076187
0,0,0,90,GK,Hamburger SV,Hertha Berlin,1,2,2018-03-17,8500,2017,223900,0,0,0,0,0,0.10843300074338913,0.10843300074338913
0,0,0,90,GK,Hamburger SV,FC Cologne,0,2,2018-01-20,8427,2017,209389,0,0,0,0,0,0.1300240010023117,0.1300240010023117
0,0,0,90,GK,Augsburg,Hamburger SV,1,0,2018-01-13,8418,2017,207532,0,0,0,0,0,0.017071200534701347,0.017071200534701347
