goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,31,DC,Real Betis,Real Madrid,1,1,2026-04-24,29474,2025,785101,0,0,0,0,0,0,0
0,1,0.09174947440624237,90,DC,Girona,Real Betis,2,3,2026-04-21,29485,2025,784434,0,0,0,0,0.09174947440624237,0.3758622407913208,0.3758622407913208
0,1,0.015613388270139694,90,DC,Real Betis,Espanyol,0,0,2026-04-04,29450,2025,780233,0,0,0,0,0.015613388270139694,0.849090039730072,0.849090039730072
0,3,0.12405562400817871,90,DC,Real Betis,Celta Vigo,1,1,2026-03-15,29431,2025,777774,0.03574351966381073,0,1,0,0.12405562400817871,0.29517045617103577,0.21909990906715393
0,2,0.10961075872182846,90,DC,Getafe,Real Betis,2,0,2026-03-08,29423,2025,775865,0,0,0,0,0.10961075872182846,0.09979228675365448,0.09979228675365448
0,0,0,41,Sub,Mallorca,Real Betis,1,2,2026-02-15,29396,2025,771126,0,0,0,0,0,0.5615772604942322,0.5615772604942322
0,0,0,2,Sub,Atletico Madrid,Real Betis,0,1,2026-02-08,29380,2025,769509,0,0,0,0,0,0,0
0,1,0.014173255302011967,90,DC,Real Betis,Valencia,2,1,2026-02-01,29368,2025,767783,0,0,0,0,0.014173255302011967,0.11681011319160461,0.10263685882091522
0,0,0,90,DC,Alaves,Real Betis,2,1,2026-01-25,29359,2025,766598,0.05807116627693176,0,2,0,0,0.05807116627693176,0.019166583195328712
0,2,0.029827460646629333,90,DC,Real Betis,Villarreal,2,0,2026-01-17,29352,2025,764552,0,0,0,0,0.029827460646629333,0.07098110020160675,0.04115363955497742
0,1,0.021388987079262733,90,DC,Real Oviedo,Real Betis,1,1,2026-01-10,29343,2025,762675,0,0,0,0,0.021388987079262733,0.261918842792511,0.2405298501253128
0,0,0,90,DC,Real Madrid,Real Betis,5,1,2026-01-04,29334,2025,761669,0,0,0,0,0,0,0
0,0,0,90,DC,Real Betis,Getafe,4,0,2025-12-21,29319,2025,759798,0,0,0,0,0,0.05047989264130592,0.05047989264130592
0,1,0.011877513490617275,84,Sub,Rayo Vallecano,Real Betis,0,0,2025-12-15,29313,2025,758719,0.009200293570756912,0,1,0,0.011877513490617275,0.021077807992696762,0
0,0,0,66,DC,Real Betis,Barcelona,3,5,2025-12-06,29302,2025,756249,0,0,0,0,0,0.05321928858757019,0.05321928858757019
0,0,0,90,DC,Sevilla,Real Betis,0,2,2025-11-30,29296,2025,754352,0,0,0,0,0,0.05286490172147751,0.05286490172147751
0,2,0.06266983598470688,90,DC,Real Betis,Girona,1,1,2025-11-23,29279,2025,752736,0,0,0,0,0.06266983598470688,0.612401008605957,0.5957672595977783
0,0,0,90,DC,Valencia,Real Betis,1,1,2025-11-09,29275,2025,751296,0,0,0,0,0,0.5465443730354309,0.5465443730354309
0,0,0,90,DC,Real Betis,Mallorca,3,0,2025-11-02,29261,2025,749482,0,0,0,0,0,0.5964443683624268,0.5964443683624268
0,0,0,90,DC,Real Betis,Atletico Madrid,0,2,2025-10-27,29253,2025,747246,0,0,0,0,0,0.6730467081069946,0.6730467081069946
0,0,0,39,Sub,Real Betis,Real Sociedad,3,1,2025-09-19,29200,2025,738260,0,0,0,0,0,0,0
0,0,0,90,DC,Real Betis,Athletic Club,1,2,2025-08-31,29186,2025,736061,0,0,0,0,0,0.0780443325638771,0.0780443325638771
1,2,0.29761403799057007,90,DC,Celta Vigo,Real Betis,1,1,2025-08-27,29178,2025,734591,0.018900977447628975,0,1,1,0.29761403799057007,0.013640047051012516,0.013640047051012516
0,0,0,90,DC,Real Betis,Alaves,1,0,2025-08-22,29168,2025,732921,0,0,0,0,0,0.8201242089271545,0.8201242089271545
0,0,0,90,DC,Elche,Real Betis,1,1,2025-08-18,29166,2025,732691,0,0,0,0,0,0.30947837233543396,0.30947837233543396
0,0,0,75,DC,Real Betis,Valencia,1,1,2025-05-23,27354,2024,729409,0,0,0,0,0,0.4685820937156677,0.4685820937156677
