goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,19,Sub,PFC Sochi,FC Krasnodar,2,3,2024-05-18,21913,2023,662785,0,0,0,0,0,0.026100266724824905,0.026100266724824905
0,0,0,47,FWR,PFC Sochi,Nizhny Novgorod,6,1,2024-05-12,21904,2023,661346,0,0,0,0,0,0.6508499979972839,0.6508499979972839
0,3,0.2391415685415268,77,FWR,Dinamo Moscow,PFC Sochi,3,2,2024-05-05,21897,2023,659471,0,0,0,0,0.2391415685415268,0.2391415685415268,0.12199148535728455
0,4,0.21446673572063446,90,FW,PFC Sochi,Fakel,0,0,2024-04-29,21889,2023,658228,0.10526181757450104,0,2,0,0.21446673572063446,0.15770961344242096,0
0,0,0,27,Sub,FK Akhmat,PFC Sochi,1,0,2024-04-25,21846,2023,656523,0,0,0,0,0,0,0
0,1,0.046872321516275406,33,Sub,PFC Sochi,Ural,2,2,2024-04-21,21881,2023,655609,0.20530323684215546,1,2,0,0.046872321516275406,0.20775078237056732,0.05303514003753662
0,1,0.3484765887260437,26,Sub,PFC Sochi,Spartak Moscow,1,0,2024-04-13,21746,2023,652896,0,0,0,0,0.3484765887260437,0.3484765887260437,0
0,0,0,26,Sub,FC Rostov,PFC Sochi,2,2,2024-04-06,21864,2023,651986,0.029366863891482353,0,1,0,0,0.029366863891482353,0.029366863891482353
0,1,0.011751256883144379,79,FW,Lokomotiv Moscow,PFC Sochi,2,2,2024-03-10,21839,2023,647206,0,0,0,0,0.011751256883144379,0.5651268362998962,0.5533756017684937
0,2,0.30772924423217773,90,FW,Baltika,PFC Sochi,0,0,2024-03-03,21829,2023,645787,0,0,0,0,0.30772924423217773,0.9234586954116821,0.7127431631088257
0,1,0.037928398698568344,31,Sub,Greuther Fuerth,Augsburg,0,0,2021-12-18,17660,2021,503717,0,0,0,0,0.037928398698568344,0.2628970146179199,0.22496899962425232
0,2,0.11503899842500687,24,Sub,Augsburg,RasenBallsport Leipzig,1,1,2021-12-15,17652,2021,503229,0,0,0,0,0.11503899842500687,0.11503899842500687,0
