id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
553174,4,MissedShots,0.9359999847412109,0.605999984741211,0.041139308363199234,Yann Bisseck,h,6414,FromCorner,2023,Head,22450,Inter,Udinese,4,0,2023-12-09 19:45:00,Federico Dimarco,Cross
555061,4,BlockedShot,0.9540000152587891,0.47299999237060547,0.0815906748175621,Yann Bisseck,a,6414,FromCorner,2023,Head,22463,Lazio,Inter,0,2,2023-12-17 19:45:00,Federico Dimarco,Aerial
556348,10,MissedShots,0.8919999694824219,0.54,0.04004499316215515,Yann Bisseck,h,6414,OpenPlay,2023,Head,22467,Inter,Lecce,2,0,2023-12-23 17:00:00,Carlos Augusto,Aerial
556355,39,ShotOnPost,0.9059999847412109,0.45799999237060546,0.07242026180028915,Yann Bisseck,h,6414,FromCorner,2023,RightFoot,22467,Inter,Lecce,2,0,2023-12-23 17:00:00,Hakan Calhanoglu,Cross
556357,42,Goal,0.9169999694824219,0.5120000076293946,0.12212108820676804,Yann Bisseck,h,6414,SetPiece,2023,Head,22467,Inter,Lecce,2,0,2023-12-23 17:00:00,Hakan Calhanoglu,Cross
556364,60,SavedShot,0.89,0.4540000152587891,0.016627158969640732,Yann Bisseck,h,6414,FromCorner,2023,Head,22467,Inter,Lecce,2,0,2023-12-23 17:00:00,Hakan Calhanoglu,Aerial
568206,36,Goal,0.9259999847412109,0.4279999923706055,0.24965162575244904,Yann Bisseck,a,6414,OpenPlay,2023,Head,22575,Bologna,Inter,0,1,2024-03-09 17:00:00,Alessandro Bastoni,Cross
574460,89,MissedShots,0.76,0.3110000038146973,0.018931884318590164,Yann Bisseck,h,6414,OpenPlay,2023,RightFoot,22616,Inter,Cagliari,2,2,2024-04-14 18:45:00,Francesco Acerbi,Pass
579532,32,MissedShots,0.889000015258789,0.6969999694824218,0.06263481825590134,Yann Bisseck,a,6414,OpenPlay,2023,RightFoot,22657,Frosinone,Inter,0,5,2024-05-10 18:45:00,,None
579541,57,ShotOnPost,0.9480000305175781,0.5359999847412109,0.0721389427781105,Yann Bisseck,a,6414,FromCorner,2023,Head,22657,Frosinone,Inter,0,5,2024-05-10 18:45:00,Kristjan Asllani,Aerial
579555,89,MissedShots,0.775,0.4109999847412109,0.02297097072005272,Yann Bisseck,a,6414,OpenPlay,2023,LeftFoot,22657,Frosinone,Inter,0,5,2024-05-10 18:45:00,Juan Cuadrado,TakeOn
583627,69,SavedShot,0.9059999847412109,0.5679999923706055,0.038728926330804825,Yann Bisseck,a,6414,OpenPlay,2023,Head,22679,Verona,Inter,2,2,2024-05-26 18:45:00,Carlos Augusto,Aerial
584920,11,MissedShots,0.8980000305175782,0.5479999923706055,0.02022731490433216,Yann Bisseck,a,6414,FromCorner,2024,Head,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Marcus Thuram,Aerial
584927,39,BlockedShot,0.9119999694824219,0.38299999237060545,0.08880741149187088,Yann Bisseck,a,6414,OpenPlay,2024,RightFoot,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,,Challenge
584930,39,MissedShots,0.904000015258789,0.5270000076293946,0.06737048178911209,Yann Bisseck,a,6414,FromCorner,2024,Head,27362,Genoa,Inter,2,2,2024-08-17 16:30:00,Federico Dimarco,Cross
599550,65,MissedShots,0.879000015258789,0.48400001525878905,0.07796644419431686,Yann Bisseck,a,6414,SetPiece,2024,RightFoot,27455,Empoli,Inter,0,3,2024-10-30 17:30:00,,None
602700,40,Goal,0.9069999694824219,0.4809999847412109,0.5581164956092834,Yann Bisseck,a,6414,OpenPlay,2024,RightFoot,27485,Verona,Inter,0,5,2024-11-23 14:00:00,Joaquín Correa,None
605464,78,BlockedShot,0.9259999847412109,0.48700000762939455,0.054054901003837585,Yann Bisseck,h,6414,FromCorner,2024,Head,27507,Inter,Parma Calcio 1913,3,1,2024-12-06 17:30:00,Kristjan Asllani,Aerial
609007,36,MissedShots,0.9159999847412109,0.45099998474121095,0.07653320580720901,Yann Bisseck,h,6414,FromCorner,2024,Head,27531,Inter,Como,2,0,2024-12-23 19:45:00,Hakan Calhanoglu,Cross
609011,54,MissedShots,0.8519999694824218,0.4209999847412109,0.08420994877815247,Yann Bisseck,h,6414,OpenPlay,2024,RightFoot,27531,Inter,Como,2,0,2024-12-23 19:45:00,,None
609341,49,MissedShots,0.9180000305175782,0.4879999923706055,0.134464293718338,Yann Bisseck,a,6414,FromCorner,2024,LeftFoot,27534,Cagliari,Inter,0,3,2024-12-28 17:00:00,,Rebound
609345,62,MissedShots,0.9,0.47900001525878905,0.08972959965467453,Yann Bisseck,a,6414,OpenPlay,2024,Head,27534,Cagliari,Inter,0,3,2024-12-28 17:00:00,Alessandro Bastoni,Cross
615662,66,ShotOnPost,0.9180000305175782,0.49700000762939456,0.09912419319152832,Yann Bisseck,a,6414,FromCorner,2024,Head,27588,AC Milan,Inter,1,1,2025-02-02 17:00:00,Nicolò Barella,Cross
621600,47,SavedShot,0.8619999694824219,0.56,0.03611672297120094,Yann Bisseck,h,6414,SetPiece,2024,Head,27636,Inter,Monza,3,2,2025-03-08 19:45:00,Hakan Calhanoglu,Chipped
621602,50,MissedShots,0.93,0.4420000076293945,0.045150719583034515,Yann Bisseck,h,6414,FromCorner,2024,Head,27636,Inter,Monza,3,2,2025-03-08 19:45:00,Francesco Acerbi,Aerial
621603,60,MissedShots,0.8330000305175781,0.3189999961853027,0.038077548146247864,Yann Bisseck,h,6414,OpenPlay,2024,RightFoot,27636,Inter,Monza,3,2,2025-03-08 19:45:00,Nicolò Barella,Pass
623738,84,MissedShots,0.875,0.425,0.11306028813123703,Yann Bisseck,a,6414,OpenPlay,2024,RightFoot,27643,Atalanta,Inter,0,2,2025-03-16 19:45:00,Carlos Augusto,Cross
625824,5,SavedShot,0.905,0.524000015258789,0.05120033770799637,Yann Bisseck,a,6414,OpenPlay,2024,Head,27670,Parma Calcio 1913,Inter,2,2,2025-04-05 16:00:00,,None
625825,8,MissedShots,0.9359999847412109,0.36200000762939455,0.06239435449242592,Yann Bisseck,a,6414,OpenPlay,2024,RightFoot,27670,Parma Calcio 1913,Inter,2,2,2025-04-05 16:00:00,Federico Dimarco,Cross
625848,81,MissedShots,0.9180000305175782,0.5559999847412109,0.07457394152879715,Yann Bisseck,a,6414,FromCorner,2024,Head,27670,Parma Calcio 1913,Inter,2,2,2025-04-05 16:00:00,Henrikh Mkhitaryan,Cross
