id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
84278,73,BlockedShot,0.8530000305175781,0.54,0.012221899814903736,Yevhen Konoplyanka,h,2068,SetPiece,2015,Head,1415,Sevilla,Atletico Madrid,0,3,2015-08-30 22:30:00,,Aerial
84279,74,BlockedShot,0.8130000305175781,0.5570000076293945,0.05064760148525238,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1415,Sevilla,Atletico Madrid,0,3,2015-08-30 22:30:00,Benoît Trémoulinas,Pass
84282,79,MissedShots,0.8919999694824219,0.735999984741211,0.030606800690293312,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1415,Sevilla,Atletico Madrid,0,3,2015-08-30 22:30:00,Éver Banega,Pass
84291,89,BlockedShot,0.8069999694824219,0.62,0.03971640020608902,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1415,Sevilla,Atletico Madrid,0,3,2015-08-30 22:30:00,Fernando Llorente,Pass
85428,75,SavedShot,0.7880000305175782,0.745999984741211,0.017766200006008148,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1452,Sevilla,Rayo Vallecano,3,2,2015-09-26 22:30:00,Sebastián Cristóforo,Pass
85434,85,Goal,0.784000015258789,0.67,0.07488489896059036,Yevhen Konoplyanka,h,2068,DirectFreekick,2015,RightFoot,1452,Sevilla,Rayo Vallecano,3,2,2015-09-26 22:30:00,,Standard
85958,76,SavedShot,0.8219999694824218,0.6509999847412109,0.04055760055780411,Yevhen Konoplyanka,a,2068,OpenPlay,2015,RightFoot,1470,Eibar,Sevilla,1,1,2015-10-17 20:15:00,,None
85961,78,MissedShots,0.95,0.6719999694824219,0.06672099977731705,Yevhen Konoplyanka,a,2068,OpenPlay,2015,LeftFoot,1470,Eibar,Sevilla,1,1,2015-10-17 20:15:00,Éver Banega,TakeOn
86459,12,ShotOnPost,0.9409999847412109,0.7090000152587891,0.045694500207901,Yevhen Konoplyanka,h,2068,FromCorner,2015,RightFoot,1482,Sevilla,Getafe,5,0,2015-10-24 22:30:00,Vitolo,Pass
86462,18,SavedShot,0.9209999847412109,0.6370000076293946,0.3593350052833557,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1482,Sevilla,Getafe,5,0,2015-10-24 22:30:00,,BlockedPass
86464,21,MissedShots,0.825999984741211,0.6990000152587891,0.03457710146903992,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1482,Sevilla,Getafe,5,0,2015-10-24 22:30:00,Benoît Trémoulinas,TakeOn
86465,33,MissedShots,0.7180000305175781,0.36700000762939455,0.04474230110645294,Yevhen Konoplyanka,h,2068,DirectFreekick,2015,RightFoot,1482,Sevilla,Getafe,5,0,2015-10-24 22:30:00,,Standard
86478,80,Goal,0.885,0.5,0.7432780265808105,Yevhen Konoplyanka,h,2068,Penalty,2015,RightFoot,1482,Sevilla,Getafe,5,0,2015-10-24 22:30:00,,Standard
85849,84,SavedShot,0.9269999694824219,0.7319999694824219,0.034164901822805405,Yevhen Konoplyanka,a,2068,OpenPlay,2015,RightFoot,1491,Villarreal,Sevilla,2,1,2015-10-31 21:15:00,Vitolo,Pass
86277,45,MissedShots,0.7340000152587891,0.664000015258789,0.021082699298858643,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1508,Sevilla,Real Madrid,3,2,2015-11-08 23:30:00,Marco Andreolli,Pass
86281,52,MissedShots,0.8319999694824218,0.38,0.05029600113630295,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1508,Sevilla,Real Madrid,3,2,2015-11-08 23:30:00,,None
86295,76,SavedShot,0.9230000305175782,0.700999984741211,0.07864339649677277,Yevhen Konoplyanka,h,2068,OpenPlay,2015,RightFoot,1508,Sevilla,Real Madrid,3,2,2015-11-08 23:30:00,Benoît Trémoulinas,Pass
86816,69,MissedShots,0.715999984741211,0.5179999923706055,0.050794899463653564,Yevhen Konoplyanka,a,2068,DirectFreekick,2015,RightFoot,1509,Real Sociedad,Sevilla,2,0,2015-11-21 19:00:00,,Standard
