goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Werder Bremen,RasenBallsport Leipzig,2,1,2019-05-18,10637,2018,333436,0,0,0,0,0,0.058097101747989655,0.058097101747989655
0,0,0,18,Sub,VfB Stuttgart,Werder Bremen,2,0,2018-04-21,8537,2017,234319,0.017203299328684807,0,1,0,0,0.028653299435973167,0.01145000010728836
0,0,0,14,Sub,Werder Bremen,Eintracht Frankfurt,2,1,2018-04-01,8504,2017,227540,0,0,0,0,0,0.06559330224990845,0.06559330224990845
0,0,0,1,Sub,Augsburg,Werder Bremen,1,3,2018-03-17,8501,2017,223899,0,0,0,0,0,0,0
1,5,0.9697380065917969,44,Sub,Borussia M.Gladbach,Werder Bremen,2,2,2018-03-02,8478,2017,220635,0,0,0,1,0.9697380065917969,1.5444200038909912,0.5746790170669556
0,1,0.21018299460411072,2,Sub,Werder Bremen,Hamburger SV,1,0,2018-02-24,8470,2017,219386,0,0,0,0,0.21018299460411072,0.21018299460411072,0
0,0,0,75,MR,Freiburg,Werder Bremen,1,0,2018-02-17,8459,2017,217948,0.030870899558067322,0,1,0,0,0.05292829871177673,0.02205749973654747
0,0,0,66,MR,Werder Bremen,Wolfsburg,3,1,2018-02-11,8455,2017,216400,0.4760029911994934,0,2,0,0,0.4760029911994934,0
0,2,0.5804470181465149,34,Sub,Schalke 04,Werder Bremen,1,2,2018-02-03,8442,2017,216172,0.36076200008392334,0,2,0,0.5804470181465149,0.35772401094436646,0
0,0,0,1,Sub,Werder Bremen,Hertha Berlin,0,0,2018-01-27,8433,2017,213371,0,0,0,0,0,0.44944000244140625,0.44944000244140625
0,0,0,5,Sub,Werder Bremen,Hoffenheim,1,1,2018-01-13,8415,2017,207477,0.08054149895906448,0,1,0,0,0,0
0,1,0.021848799660801888,1,Sub,Eintracht Frankfurt,Werder Bremen,2,1,2017-11-03,8353,2017,186247,0,0,0,0,0.021848799660801888,0.021848799660801888,0
0,0,0,3,Sub,Hoffenheim,Werder Bremen,1,0,2017-08-19,8260,2017,184382,0,0,0,0,0,0,0
0,2,0.18992699682712555,16,Sub,Werder Bremen,RasenBallsport Leipzig,3,0,2017-03-18,3798,2016,147822,0,0,0,0,0.18992699682712555,0.18992699682712555,0
0,2,0.0620620995759964,9,Sub,Werder Bremen,Borussia M.Gladbach,0,1,2017-02-11,3754,2016,147849,0,0,0,0,0.0620620995759964,0.0620620995759964,0
0,3,0.4748480021953583,24,Sub,Augsburg,Werder Bremen,3,2,2017-02-05,3747,2016,147364,0.01121980044990778,0,1,0,0.4748480021953583,0.3884139955043793,0.01121980044990778
0,0,0,14,Sub,Hoffenheim,Werder Bremen,1,1,2016-12-21,3224,2016,145201,0,0,0,0,0,0.10055500268936157,0.10055500268936157
0,0,0,15,Sub,Werder Bremen,FC Cologne,1,1,2016-12-17,3212,2016,146631,0,0,0,0,0,0,0
0,1,0.017149100080132484,19,Sub,RasenBallsport Leipzig,Werder Bremen,3,1,2016-10-23,1397,2016,144203,0,0,0,0,0.017149100080132484,0.7378039956092834,0.7206550240516663
0,2,0.6973199844360352,34,Sub,Borussia M.Gladbach,Werder Bremen,4,1,2016-09-17,1351,2016,142778,0.08578920364379883,1,1,0,0.6973199844360352,1.0876100063323975,0.30449798703193665
1,1,0.7577769756317139,71,FW,Werder Bremen,Augsburg,1,2,2016-09-11,1343,2016,142511,0.12039700150489807,0,2,0,0,0.5897870063781738,0.46939000487327576
0,0,0,64,FW,Bayern Munich,Werder Bremen,6,0,2016-08-26,1327,2016,141966,0,0,0,0,0,0,0
1,6,1.0192300081253052,82,FW,Darmstadt,Werder Bremen,2,1,2015-09-22,1069,2015,86240,0.024058200418949127,0,1,1,1.0192300081253052,0.9661059975624084,0
0,1,0.04072820022702217,83,FW,Werder Bremen,Ingolstadt,0,1,2015-09-19,1061,2015,85890,0.16169099509716034,0,4,0,0.04072820022702217,0.05836610123515129,0
0,2,0.44230198860168457,65,FW,Hoffenheim,Werder Bremen,1,3,2015-09-13,1055,2015,85708,0.047807201743125916,0,2,0,0.44230198860168457,0.12073899805545807,0.01809680089354515
1,2,0.7879310250282288,71,FW,Werder Bremen,Borussia M.Gladbach,2,1,2015-08-30,1047,2015,85388,0.04906269907951355,0,1,0,0.030154500156641006,0.11489100009202957,0.06582850217819214
0,0,0,80,FW,Hertha Berlin,Werder Bremen,1,1,2015-08-21,1030,2015,85178,0,0,0,0,0,0,0
0,3,0.10057400166988373,33,Sub,Werder Bremen,Schalke 04,0,3,2015-08-15,1024,2015,84917,0,0,0,0,0.10057400166988373,0.0981357991695404,0.08961419761180878
