goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.699508011341095,90,DC,Hoffenheim,VfB Stuttgart,2,1,2022-02-25,17726,2021,515512,0,0,0,0,0.699508011341095,0,0
0,2,0.07380419969558716,90,DC,Wolfsburg,Hoffenheim,1,2,2022-02-19,17720,2021,514042,0,0,0,0,0.07380419969558716,0.06363660097122192,0.051898300647735596
1,3,0.23719899356365204,75,DC,Hoffenheim,Arminia Bielefeld,2,0,2022-02-13,17707,2021,513512,0,0,0,1,0.23719899356365204,1.0204600095748901,1.0204600095748901
0,0,0,62,DC,Mainz 05,Hoffenheim,2,0,2022-02-05,17700,2021,511073,0,0,0,0,0,0.3298259973526001,0.3298259973526001
0,1,0.017568999901413918,64,DC,Hoffenheim,Borussia Dortmund,2,3,2022-01-22,17690,2021,509640,0,0,0,0,0.017568999901413918,0.17813600599765778,0.1605670005083084
0,1,0.05008139833807945,85,DC,Borussia Dortmund,Hoffenheim,0,4,2020-06-27,12700,2019,402984,0,0,0,0,0.05008139833807945,0.2037779986858368,0.2037779986858368
0,3,0.12023799866437912,80,DC,Hoffenheim,Union Berlin,4,0,2020-06-20,12693,2019,401024,0.5260310173034668,1,1,0,0.12023799866437912,0.6248850226402283,0.0802960991859436
0,3,0.8848000168800354,90,DC,Augsburg,Hoffenheim,1,3,2020-06-17,12689,2019,400522,0,0,0,0,0.8848000168800354,0.6502280235290527,0.6502280235290527
0,0,0,8,DL,Fortuna Duesseldorf,Hoffenheim,2,2,2020-06-06,12669,2019,399292,0,0,0,0,0,0,0
0,0,0,52,DC,Hoffenheim,FC Cologne,3,1,2020-05-27,12648,2019,398721,0,0,0,0,0,0.4916419982910156,0.4916419982910156
0,0,0,90,DC,Paderborn,Hoffenheim,1,1,2020-05-23,12637,2019,398345,0.28953900933265686,0,1,0,0,0.48258501291275024,0.19304600358009338
0,1,0.026158800348639488,90,DC,Hoffenheim,Hertha Berlin,0,3,2020-05-16,12632,2019,398109,0,0,0,0,0.026158800348639488,0.4556620121002197,0.4556620121002197
0,1,0.037206098437309265,90,DC,Schalke 04,Hoffenheim,1,1,2020-03-07,12626,2019,396812,0.6535699963569641,1,1,0,0.037206098437309265,0.06483729928731918,0.06483729928731918
0,0,0,90,DC,Hoffenheim,Bayern Munich,0,6,2020-02-29,12613,2019,395663,0.0319301001727581,0,1,0,0,0,0
0,3,0.5450990200042725,90,DC,Borussia M.Gladbach,Hoffenheim,1,1,2020-02-22,12603,2019,394654,0.6229329705238342,1,1,0,0.5450990200042725,0.2979139983654022,0.2979139983654022
0,1,0.05961909890174866,90,DC,Hoffenheim,Wolfsburg,2,3,2020-02-15,12594,2019,393559,0,0,0,0,0.05961909890174866,0.2657119929790497,0.2657119929790497
0,1,0.020315399393439293,90,DC,Freiburg,Hoffenheim,1,0,2020-02-08,12590,2019,392600,0.05083499848842621,0,1,0,0.020315399393439293,0.3868600130081177,0.3157089948654175
0,0,0,90,DC,Hoffenheim,Bayer Leverkusen,2,1,2020-02-01,12576,2019,391088,0,0,0,0,0,0.05045349895954132,0.05045349895954132
0,1,0.09018079936504364,90,DC,Werder Bremen,Hoffenheim,0,3,2020-01-26,12571,2019,390713,0,0,0,0,0.09018079936504364,0,0
0,3,0.2029999941587448,90,DC,Hoffenheim,Eintracht Frankfurt,1,2,2020-01-18,12557,2019,397689,0,0,0,0,0.2029999941587448,0.036599598824977875,0.036599598824977875
0,0,0,90,DC,Hoffenheim,Borussia Dortmund,2,1,2019-12-20,12549,2019,371122,0.2489600032567978,0,1,0,0,0.35352200269699097,0.35352200269699097
0,1,0.012512500397861004,90,DC,Union Berlin,Hoffenheim,0,2,2019-12-17,12546,2019,370890,0,0,0,0,0.012512500397861004,0.03364419937133789,0.03364419937133789
0,0,0,60,DC,Hoffenheim,Mainz 05,1,5,2019-11-24,12506,2019,365599,0,0,0,0,0,0,0
0,2,0.030086999759078026,90,DC,FC Cologne,Hoffenheim,1,2,2019-11-08,12498,2019,362710,0,0,0,0,0.030086999759078026,0.058546099811792374,0.028459100052714348
