id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
219949,5,MissedShots,0.870999984741211,0.49,0.012599299661815166,Hanno Behrens,a,7035,SetPiece,2018,Head,10340,Hertha Berlin,Nuernberg,1,0,2018-08-25 16:30:00,Tim Leibold,Aerial
219961,63,MissedShots,0.7369999694824219,0.6509999847412109,0.012970199808478355,Hanno Behrens,a,7035,OpenPlay,2018,LeftFoot,10340,Hertha Berlin,Nuernberg,1,0,2018-08-25 16:30:00,,None
221542,79,MissedShots,0.7619999694824219,0.525,0.026243800297379494,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10347,Nuernberg,Mainz 05,1,1,2018-09-01 13:30:00,Yuya Kubo,HeadPass
224219,64,MissedShots,0.915,0.5420000076293945,0.05166110023856163,Hanno Behrens,a,7035,SetPiece,2018,Head,10362,Werder Bremen,Nuernberg,1,1,2018-09-16 13:30:00,Enrico Valentini,Aerial
225016,75,ShotOnPost,0.8859999847412109,0.5879999923706055,0.024373499676585197,Hanno Behrens,h,7035,FromCorner,2018,Head,10369,Nuernberg,Hannover 96,2,0,2018-09-22 13:30:00,Enrico Valentini,Cross
227926,27,Goal,0.885,0.5,0.7577769756317139,Hanno Behrens,h,7035,Penalty,2018,RightFoot,10387,Nuernberg,Fortuna Duesseldorf,3,0,2018-09-29 13:30:00,,Standard
255551,17,Goal,0.885,0.5,0.7576959729194641,Hanno Behrens,h,7035,Penalty,2018,RightFoot,10408,Nuernberg,Hoffenheim,1,3,2018-10-20 13:30:00,,Standard
255805,3,MissedShots,0.7169999694824218,0.5670000076293945,0.015495000407099724,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10417,Nuernberg,Eintracht Frankfurt,1,1,2018-10-28 11:30:00,Yuya Kubo,Pass
255915,48,SavedShot,0.93,0.534000015258789,0.11668799817562103,Hanno Behrens,a,7035,FromCorner,2018,Head,10419,Augsburg,Nuernberg,2,2,2018-11-03 14:30:00,Sebastian Kerk,Cross
256324,46,BlockedShot,0.8280000305175781,0.5420000076293945,0.0734872967004776,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10435,Nuernberg,VfB Stuttgart,0,2,2018-11-10 14:30:00,Alexander Fuchs,Pass
256577,24,MissedShots,0.889000015258789,0.580999984741211,0.5444530248641968,Hanno Behrens,a,7035,OpenPlay,2018,LeftFoot,10437,Schalke 04,Nuernberg,5,2,2018-11-24 17:30:00,,Dispossessed
256579,27,BlockedShot,0.825,0.5509999847412109,0.059350598603487015,Hanno Behrens,a,7035,OpenPlay,2018,LeftFoot,10437,Schalke 04,Nuernberg,5,2,2018-11-24 17:30:00,Tim Leibold,Pass
256588,55,MissedShots,0.7080000305175781,0.6819999694824219,0.011670799925923347,Hanno Behrens,a,7035,OpenPlay,2018,RightFoot,10437,Schalke 04,Nuernberg,5,2,2018-11-24 17:30:00,,BallTouch
256594,77,SavedShot,0.9,0.6140000152587891,0.25653499364852905,Hanno Behrens,a,7035,OpenPlay,2018,RightFoot,10437,Schalke 04,Nuernberg,5,2,2018-11-24 17:30:00,,None
256595,77,ShotOnPost,0.9569999694824218,0.5879999923706055,0.34222400188446045,Hanno Behrens,a,7035,OpenPlay,2018,LeftFoot,10437,Schalke 04,Nuernberg,5,2,2018-11-24 17:30:00,,Rebound
256943,30,BlockedShot,0.7380000305175781,0.4809999847412109,0.02064790017902851,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10453,Nuernberg,Bayer Leverkusen,1,1,2018-12-03 19:30:00,Yuya Kubo,Pass
278454,40,BlockedShot,0.8780000305175781,0.705999984741211,0.0434315986931324,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10495,Nuernberg,Hertha Berlin,1,3,2019-01-20 14:30:00,Tim Leibold,Pass
278456,41,Goal,0.965999984741211,0.48400001525878905,0.7210760116577148,Hanno Behrens,h,7035,FromCorner,2018,RightFoot,10495,Nuernberg,Hertha Berlin,1,3,2019-01-20 14:30:00,Eduard Löwen,Rebound
278469,72,BlockedShot,0.8009999847412109,0.40299999237060546,0.04782300069928169,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10495,Nuernberg,Hertha Berlin,1,3,2019-01-20 14:30:00,Enrico Valentini,Pass
278861,67,BlockedShot,0.8680000305175781,0.5179999923706055,0.06823830306529999,Hanno Behrens,h,7035,OpenPlay,2018,LeftFoot,10514,Nuernberg,Werder Bremen,1,1,2019-02-02 14:30:00,Enrico Valentini,Cross
278862,67,BlockedShot,0.8669999694824219,0.46299999237060546,0.092112697660923,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10514,Nuernberg,Werder Bremen,1,1,2019-02-02 14:30:00,,TakeOn
278864,72,MissedShots,0.9359999847412109,0.5459999847412109,0.5333830118179321,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10514,Nuernberg,Werder Bremen,1,1,2019-02-02 14:30:00,,Rebound
278866,77,MissedShots,0.924000015258789,0.485,0.10907900333404541,Hanno Behrens,h,7035,FromCorner,2018,RightFoot,10514,Nuernberg,Werder Bremen,1,1,2019-02-02 14:30:00,Enrico Valentini,Cross
279050,52,MissedShots,0.735,0.52,0.020896099507808685,Hanno Behrens,a,7035,OpenPlay,2018,RightFoot,10522,Hannover 96,Nuernberg,2,0,2019-02-09 14:30:00,Matheus Pereira,Pass
279339,27,SavedShot,0.875,0.4620000076293945,0.048089899122714996,Hanno Behrens,h,7035,OpenPlay,2018,Head,10533,Nuernberg,Borussia Dortmund,0,0,2019-02-18 19:30:00,Eduard Löwen,Cross
279340,27,MissedShots,0.919000015258789,0.4779999923706055,0.30879101157188416,Hanno Behrens,h,7035,FromCorner,2018,Head,10533,Nuernberg,Borussia Dortmund,0,0,2019-02-18 19:30:00,Tim Leibold,Cross
279606,9,ShotOnPost,0.885,0.5,0.7577769756317139,Hanno Behrens,h,7035,Penalty,2018,RightFoot,10552,Nuernberg,RasenBallsport Leipzig,0,1,2019-03-02 14:30:00,,Standard
285157,60,Goal,0.8780000305175781,0.505,0.4191249907016754,Hanno Behrens,a,7035,OpenPlay,2018,LeftFoot,10554,Hoffenheim,Nuernberg,2,1,2019-03-10 14:30:00,Mikael Ishak,Pass
286775,2,MissedShots,0.9280000305175782,0.46299999237060546,0.36383500695228577,Hanno Behrens,a,7035,OpenPlay,2018,Head,10570,Eintracht Frankfurt,Nuernberg,1,0,2019-03-17 14:30:00,Sebastian Kerk,Cross
286784,38,BlockedShot,0.85,0.31,0.032075200229883194,Hanno Behrens,a,7035,FromCorner,2018,RightFoot,10570,Eintracht Frankfurt,Nuernberg,1,0,2019-03-17 14:30:00,Mikael Ishak,LayOff
286799,82,SavedShot,0.8619999694824219,0.40900001525878904,0.07260029762983322,Hanno Behrens,a,7035,OpenPlay,2018,LeftFoot,10570,Eintracht Frankfurt,Nuernberg,1,0,2019-03-17 14:30:00,Robert Bauer,Pass
291901,41,BlockedShot,0.9130000305175782,0.42400001525878905,0.056417498737573624,Hanno Behrens,a,7035,FromCorner,2018,Head,10583,VfB Stuttgart,Nuernberg,1,1,2019-04-06 14:30:00,Robert Bauer,Cross
293165,9,BlockedShot,0.9180000305175782,0.5220000076293946,0.10066600143909454,Hanno Behrens,h,7035,FromCorner,2018,Head,10597,Nuernberg,Schalke 04,1,1,2019-04-12 19:30:00,Sebastian Kerk,Cross
293172,46,SavedShot,0.885,0.5,0.7577769756317139,Hanno Behrens,h,7035,Penalty,2018,RightFoot,10597,Nuernberg,Schalke 04,1,1,2019-04-12 19:30:00,,Standard
299159,63,MissedShots,0.9219999694824219,0.44799999237060545,0.0924919992685318,Hanno Behrens,a,7035,OpenPlay,2018,RightFoot,10624,Wolfsburg,Nuernberg,2,0,2019-05-04 14:30:00,Mikael Ishak,Cross
300627,44,BlockedShot,0.88,0.3340000152587891,0.05489850044250488,Hanno Behrens,h,7035,OpenPlay,2018,RightFoot,10633,Nuernberg,Borussia M.Gladbach,0,4,2019-05-11 14:30:00,Mikael Ishak,Pass
302392,19,BlockedShot,0.7909999847412109,0.34599998474121096,0.024711700156331062,Hanno Behrens,a,7035,OpenPlay,2018,RightFoot,10636,Freiburg,Nuernberg,5,1,2019-05-18 13:30:00,Lukas Mühl,Pass
302403,51,MissedShots,0.935,0.53,0.12316899746656418,Hanno Behrens,a,7035,FromCorner,2018,Head,10636,Freiburg,Nuernberg,5,1,2019-05-18 13:30:00,Sebastian Kerk,Cross
302419,85,BlockedShot,0.8930000305175781,0.41200000762939454,0.06553000211715698,Hanno Behrens,a,7035,OpenPlay,2018,RightFoot,10636,Freiburg,Nuernberg,5,1,2019-05-18 13:30:00,Timothy Tillman,HeadPass
