goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Augsburg,Greuther Fuerth,2,1,2022-05-14,17814,2021,535484,0,0,0,0,0,0,0
0,0,0,14,Sub,Augsburg,Hertha Berlin,0,1,2022-04-16,17778,2021,526348,0,0,0,0,0,0,0
0,0,0,25,Sub,Bayern Munich,Augsburg,1,0,2022-04-09,17776,2021,524477,0,0,0,0,0,0,0
0,0,0,1,Sub,Augsburg,Mainz 05,2,1,2022-04-06,17742,2021,524108,0,0,0,0,0,0,0
0,0,0,1,Sub,Augsburg,Wolfsburg,3,0,2022-04-03,17760,2021,523501,0,0,0,0,0,0,0
0,0,0,1,Sub,Arminia Bielefeld,Augsburg,0,1,2022-03-04,17734,2021,517153,0,0,0,0,0,0,0
0,0,0,29,Sub,Augsburg,Freiburg,1,2,2022-02-19,17717,2021,514097,0,0,0,0,0,0.04145989939570427,0.04145989939570427
0,0,0,64,DMC,Borussia M.Gladbach,Augsburg,3,2,2022-02-12,17709,2021,512603,0,0,0,0,0,0.21664200723171234,0.21664200723171234
0,0,0,3,Sub,Augsburg,Union Berlin,2,0,2022-02-05,17699,2021,511098,0.16227500140666962,0,2,0,0,0.16227500140666962,0
0,0,0,19,Sub,Hoffenheim,Augsburg,3,1,2022-01-08,17672,2021,506803,0,0,0,0,0,0.11936900019645691,0.11936900019645691
0,1,0.044662799686193466,46,MC,Augsburg,RasenBallsport Leipzig,1,1,2021-12-15,17652,2021,503220,0,0,0,0,0.044662799686193466,0.044662799686193466,0
0,0,0,59,MC,FC Cologne,Augsburg,0,2,2021-12-10,17644,2021,501214,0.10787300020456314,0,2,0,0,0.15286900103092194,0.044996101409196854
0,1,0.6422380208969116,42,Sub,Augsburg,Bochum,2,3,2021-12-04,17634,2021,499867,0.36994698643684387,0,3,0,0.6422380208969116,1.1007800102233887,0.0885964035987854
0,0,0,15,Sub,Augsburg,Bayern Munich,2,1,2021-11-19,17616,2021,495257,0,0,0,0,0,0,0
0,0,0,23,Sub,Augsburg,Arminia Bielefeld,1,1,2021-10-17,17580,2021,489043,0,0,0,0,0,0,0
0,0,0,51,AMC,Eintracht Frankfurt,Augsburg,0,0,2021-08-21,17530,2021,476771,0,0,0,0,0,0,0
0,0,0,60,DMC,Augsburg,Hoffenheim,0,4,2021-08-14,17518,2021,475384,0,0,0,0,0,0.37008801102638245,0.37008801102638245
0,0,0,74,DMC,Augsburg,Werder Bremen,2,0,2021-05-15,15435,2020,470918,0,0,0,0,0,0.018202999606728554,0.018202999606728554
0,0,0,70,MC,VfB Stuttgart,Augsburg,2,1,2021-05-07,15427,2020,468224,0,0,0,0,0,0.04693390056490898,0.04693390056490898
0,0,0,49,Sub,Augsburg,FC Cologne,2,3,2021-04-23,15418,2020,464986,0,0,0,0,0,0.0884523019194603,0.0884523019194603
0,1,0.07203440368175507,64,MC,Eintracht Frankfurt,Augsburg,2,0,2021-04-20,15404,2020,464087,0.03398760035634041,0,1,0,0.07203440368175507,0.10602200031280518,0.03398760035634041
0,0,0,17,Sub,Augsburg,Bayer Leverkusen,1,1,2021-02-21,15336,2020,451096,0,0,0,0,0,0,0
0,0,0,20,Sub,Schalke 04,Augsburg,0,3,2020-05-24,12644,2019,398499,0,0,0,0,0,0.020230799913406372,0.020230799913406372
0,0,0,27,Sub,RasenBallsport Leipzig,Augsburg,3,1,2019-12-21,12548,2019,371422,0,0,0,0,0,0,0
0,0,0,64,Sub,Augsburg,Mainz 05,2,1,2019-12-07,12527,2019,368201,0.013011500239372253,0,1,0,0,0.013011500239372253,0
0,0,0,30,Sub,FC Cologne,Augsburg,1,1,2019-11-30,12516,2019,366091,0,0,0,0,0,0.02434450015425682,0.02434450015425682
0,0,0,1,Sub,Augsburg,Hertha Berlin,4,0,2019-11-24,12510,2019,365471,0,0,0,0,0,0,0
