goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.32234781980514526,90,FW,Dinamo Moscow,FC Krasnodar,2,1,2026-05-11,28764,2025,790099,0.4721313714981079,0,1,0,0.32234781980514526,0.7317718267440796,0.2596404552459717
1,3,0.46715474128723145,90,FW,Akron,FC Krasnodar,0,1,2026-05-03,28752,2025,787831,0.04989168420433998,0,1,1,0.46715474128723145,0.5170464515686035,0
1,8,1.0976454019546509,90,FW,FC Krasnodar,Dynamo Makhachkala,2,1,2026-04-26,28744,2025,786136,0.04740547016263008,0,1,1,1.0976454019546509,0.8543748259544373,0
0,1,0.04176453500986099,90,FW,Spartak Moscow,FC Krasnodar,1,2,2026-04-23,28741,2025,784844,0.0405799001455307,0,1,0,0.04176453500986099,0.0823444351553917,0
0,2,0.16284725069999695,90,FW,FC Krasnodar,Baltika,2,2,2026-04-19,28726,2025,784088,0.1627381294965744,0,3,0,0.16284725069999695,0.24995918571949005,0
0,2,0.06445371359586716,90,FW,Zenit St. Petersburg,FC Krasnodar,1,1,2026-04-12,28723,2025,782607,0.1870913952589035,1,3,0,0.06445371359586716,0.18094195425510406,0.04201995208859444
1,1,0.3418765068054199,90,FW,FK Akhmat,FC Krasnodar,0,1,2026-04-04,28706,2025,780314,0,0,0,1,0.3418765068054199,0.4527578055858612,0.11088132113218307
4,6,1.9662989377975464,90,FW,FC Krasnodar,Nizhny Novgorod,5,0,2026-03-21,28703,2025,778529,0.8991184830665588,0,2,4,1.9662989377975464,2.893601894378662,0.45829105377197266
0,5,0.5464770197868347,90,FW,PFC Sochi,FC Krasnodar,1,2,2026-03-14,28693,2025,776495,0.14327330887317657,0,1,0,0.5464770197868347,1.113448143005371,0.5010079741477966
1,2,0.8508683443069458,90,FW,Rubin Kazan,FC Krasnodar,2,1,2026-03-08,28686,2025,775720,0.06066097319126129,0,1,1,0.8508683443069458,0.9115293025970459,0
0,3,0.1546913981437683,90,FW,FC Krasnodar,FC Rostov,2,1,2026-02-28,28671,2025,772980,0,0,0,0,0.1546913981437683,0.22297869622707367,0.1217084601521492
1,3,1.0490808486938477,90,FW,FC Krasnodar,CSKA Moscow,3,2,2025-12-07,28664,2025,756789,0,0,0,1,1.0490808486938477,1.395818829536438,0.3467380106449127
1,2,0.18897587060928345,90,FW,FC Krasnodar,Krylya Sovetov Samara,5,0,2025-11-30,28658,2025,754100,0.019902769476175308,1,1,1,0.18897587060928345,0.5657391548156738,0.4167773723602295
0,3,0.20631355047225952,90,FW,Lokomotiv Moscow,FC Krasnodar,1,1,2025-11-23,28646,2025,752938,0.05606729909777641,0,1,0,0.20631355047225952,0.26238083839416504,0
1,5,1.0155223608016968,90,FW,FC Krasnodar,Spartak Moscow,2,1,2025-11-02,28629,2025,749274,0.5525187253952026,1,2,1,1.0155223608016968,1.6309064626693726,0.0992361381649971
0,1,0.020458528771996498,90,FW,FC Krasnodar,Rubin Kazan,1,0,2025-10-26,28620,2025,747005,0,0,0,0,0.020458528771996498,0.2405664026737213,0.22010788321495056
0,2,0.18850640952587128,90,FW,Dynamo Makhachkala,FC Krasnodar,0,2,2025-10-18,28609,2025,744337,0.18855038285255432,1,3,0,0.18850640952587128,0.336984783411026,0.0327991247177124
1,2,0.07322689145803452,90,FW,FC Krasnodar,FK Akhmat,2,0,2025-10-04,28601,2025,742501,0.140385240316391,0,1,1,0.07322689145803452,0.2136121243238449,0
0,1,0.09636043757200241,90,FW,FC Rostov,FC Krasnodar,0,0,2025-09-27,28594,2025,740805,0.11448430269956589,0,2,0,0.09636043757200241,0.2108447402715683,0
0,3,0.17846475541591644,90,FW,FC Krasnodar,Zenit St. Petersburg,0,2,2025-09-21,28583,2025,739695,0.1982390582561493,0,3,0,0.17846475541591644,0.37670382857322693,0.08830089122056961
1,1,0.08612550050020218,61,FW,CSKA Moscow,FC Krasnodar,1,1,2025-08-31,28569,2025,735831,0,0,0,1,0.08612550050020218,0.1256880909204483,0.1256880909204483
2,5,1.986545205116272,90,FW,Krylya Sovetov Samara,FC Krasnodar,0,6,2025-08-24,28406,2025,733788,0,0,0,2,1.986545205116272,2.230170726776123,0.243625670671463
0,7,1.561805009841919,90,FW,FC Krasnodar,PFC Sochi,5,1,2025-08-17,28398,2025,732494,0,0,0,0,1.561805009841919,1.566491961479187,0.022221233695745468
0,3,0.7593212127685547,90,FW,FC Orenburg,FC Krasnodar,0,1,2025-08-10,28387,2025,731503,0,0,0,0,0.7593212127685547,0.8144335150718689,0.1349422037601471
1,6,0.48911604285240173,90,FW,FC Krasnodar,Dinamo Moscow,1,0,2025-08-02,28375,2025,731154,0.08113907277584076,0,1,1,0.48911604285240173,0.4990420341491699,0.11382695287466049
0,1,0.05456287041306496,90,FW,FC Krasnodar,Lokomotiv Moscow,1,2,2025-07-26,28367,2025,730910,0.09272409230470657,0,1,0,0.05456287041306496,0.18879126012325287,0.04150429368019104
0,2,0.2115582823753357,90,FW,Nizhny Novgorod,FC Krasnodar,0,3,2025-07-20,28461,2025,730706,0.5188016891479492,1,2,0,0.2115582823753357,0.7303599715232849,0
1,2,0.9246798157691956,90,FW,FC Krasnodar,Dinamo Moscow,3,0,2025-05-24,26595,2024,729511,0,0,0,1,0.9246798157691956,0.9975576400756836,0.07287782430648804
1,8,1.270175576210022,90,FW,FC Orenburg,FC Krasnodar,1,2,2025-05-17,26592,2024,727588,0.23996080458164215,0,3,1,1.270175576210022,1.2840720415115356,0
0,0,0,90,FW,CSKA Moscow,FC Krasnodar,1,0,2025-05-10,26584,2024,725922,0,0,0,0,0,0.02161644585430622,0.02161644585430622
0,2,0.18633750081062317,90,FW,FC Krasnodar,Rubin Kazan,2,1,2025-05-03,26574,2024,724302,0.07511763274669647,0,1,0,0.18633750081062317,0.26145511865615845,0
0,1,0.06315917521715164,90,FW,Dynamo Makhachkala,FC Krasnodar,2,3,2025-04-25,26564,2024,722237,0,0,0,0,0.06315917521715164,0.12375370413064957,0.060594525188207626
1,4,1.0899615287780762,90,FW,FC Krasnodar,FK Akhmat,3,1,2025-04-19,26555,2024,720591,0.17855751514434814,0,2,1,1.0899615287780762,1.2439663410186768,0.10541842132806778
0,0,0,90,FW,Zenit St. Petersburg,FC Krasnodar,4,1,2025-04-13,26546,2024,719418,0.5797118544578552,1,2,0,0,0.5797118544578552,0
0,1,0.02077084593474865,90,FW,FC Krasnodar,Akron,1,0,2025-04-05,26540,2024,717148,0.5456804037094116,0,2,0,0.02077084593474865,0.5664512515068054,0
0,2,0.6810662746429443,90,FW,FC Rostov,FC Krasnodar,0,1,2025-03-16,26527,2024,713829,0.01471687015146017,0,1,0,0.6810662746429443,0.7527864575386047,0.05700335651636124
