goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.05683399364352226,12,Sub,RasenBallsport Leipzig,Schalke 04,4,2,2023-05-27,19640,2022,599954,0,0,0,0,0.05683399364352226,0.05683399364352226,0
0,1,0.07980953902006149,90,AML,Schalke 04,Eintracht Frankfurt,2,2,2023-05-20,19637,2022,598004,0,0,0,0,0.07980953902006149,0.07980953902006149,0
0,0,0,90,AMR,Bayern Munich,Schalke 04,6,0,2023-05-13,19621,2022,596294,0.04859347641468048,0,1,0,0,0.11589954048395157,0.06730606406927109
0,1,0.07237903028726578,75,AMR,Mainz 05,Schalke 04,2,3,2023-05-05,19615,2022,594478,0.0884949266910553,1,1,0,0.07237903028726578,0.34093591570854187,0.2685568630695343
0,2,0.2101951539516449,80,AMR,Schalke 04,Werder Bremen,2,1,2023-04-29,19611,2022,592576,0.08241255581378937,0,1,0,0.2101951539516449,0.34276729822158813,0.050159599632024765
0,1,0.01546188909560442,90,AMR,Freiburg,Schalke 04,4,0,2023-04-23,19596,2022,590939,0.10062021017074585,0,1,0,0.01546188909560442,0.21718837320804596,0.10110627114772797
0,2,0.41196200251579285,40,Sub,Schalke 04,Hertha Berlin,5,2,2023-04-14,19592,2022,587952,0.6466169953346252,1,1,0,0.41196200251579285,1.1898800134658813,0.131305992603302
0,0,0,71,FWR,Augsburg,Schalke 04,1,1,2023-03-18,19565,2022,582942,0,0,0,0,0,0.03161520138382912,0.03161520138382912
1,1,0.07464870065450668,21,Sub,Schalke 04,Borussia Dortmund,2,2,2023-03-11,19556,2022,581516,0,0,0,1,0.07464870065450668,0.07464870065450668,0
0,0,0,17,Sub,Schalke 04,VfB Stuttgart,2,1,2023-02-25,19538,2022,578026,0,0,0,0,0,0,0
0,0,0,9,Sub,Union Berlin,Schalke 04,0,0,2023-02-19,19524,2022,577117,0,0,0,0,0,0,0
0,1,0.1402219980955124,14,Sub,Eintracht Frankfurt,Schalke 04,3,0,2023-01-21,19482,2022,570145,0,0,0,0,0.1402219980955124,0.1402219980955124,0
0,2,0.10386499762535095,60,AMR,Schalke 04,Bayern Munich,0,2,2022-11-12,19475,2022,564693,0,0,0,0,0.10386499762535095,0.10386499762535095,0
