id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
129575,15,MissedShots,0.8430000305175781,0.3920000076293945,0.039369501173496246,Milos Veljkovic,a,2691,FromCorner,2016,LeftFoot,2814,Schalke 04,Werder Bremen,3,1,2016-11-06 20:30:00,Serge Gnabry,BallTouch
130388,79,BlockedShot,0.9159999847412109,0.5629999923706055,0.042921099811792374,Milos Veljkovic,a,2691,FromCorner,2016,OtherBodyPart,3224,Hoffenheim,Werder Bremen,1,1,2016-12-21 23:00:00,Max Kruse,Cross
133353,73,BlockedShot,0.9159999847412109,0.48200000762939454,0.1168069988489151,Milos Veljkovic,h,2691,FromCorner,2016,RightFoot,3871,Werder Bremen,Hoffenheim,3,5,2017-05-13 14:30:00,Robert Bauer,Pass
165796,15,MissedShots,0.91,0.5729999923706055,0.017932100221514702,Milos Veljkovic,a,2691,FromCorner,2017,Head,8260,Hoffenheim,Werder Bremen,1,0,2017-08-19 14:30:00,Florian Kainz,Aerial
166575,21,OwnGoal,0.05,0.47200000762939454,0,Milos Veljkovic,h,2691,FromCorner,2017,Head,8287,Werder Bremen,Schalke 04,1,2,2017-09-16 14:30:00,,Punch
166582,36,MissedShots,0.9219999694824219,0.4929999923706055,0.1109360009431839,Milos Veljkovic,h,2691,FromCorner,2017,Head,8287,Werder Bremen,Schalke 04,1,2,2017-09-16 14:30:00,Florian Kainz,Cross
201002,32,Goal,0.905,0.5729999923706055,0.05698530003428459,Milos Veljkovic,h,2691,FromCorner,2017,RightFoot,8491,Werder Bremen,FC Cologne,3,1,2018-03-12 19:30:00,Zlatko Junuzovic,Cross
212545,77,MissedShots,0.9209999847412109,0.41900001525878905,0.037872299551963806,Milos Veljkovic,h,2691,FromCorner,2017,Head,8542,Werder Bremen,Borussia Dortmund,1,1,2018-04-29 16:00:00,Zlatko Junuzovic,Rebound
219973,15,MissedShots,0.950999984741211,0.5970000076293945,0.08082929998636246,Milos Veljkovic,h,2691,SetPiece,2018,Head,10341,Werder Bremen,Hannover 96,1,1,2018-08-25 16:30:00,Max Kruse,Cross
226154,44,Goal,0.925,0.5479999923706055,0.04329239949584007,Milos Veljkovic,h,2691,FromCorner,2018,Head,10373,Werder Bremen,Hertha Berlin,3,1,2018-09-25 16:30:00,Nuri Sahin,Aerial
256231,27,MissedShots,0.865999984741211,0.475,0.02342510037124157,Milos Veljkovic,h,2691,FromCorner,2018,Head,10431,Werder Bremen,Borussia M.Gladbach,1,3,2018-11-10 14:30:00,Max Kruse,Cross
256256,87,MissedShots,0.8919999694824219,0.5320000076293945,0.11042200028896332,Milos Veljkovic,h,2691,FromCorner,2018,RightFoot,10431,Werder Bremen,Borussia M.Gladbach,1,3,2018-11-10 14:30:00,,Rebound
257766,53,SavedShot,0.96,0.61,0.07563869655132294,Milos Veljkovic,a,2691,SetPiece,2018,LeftFoot,10485,RasenBallsport Leipzig,Werder Bremen,3,2,2018-12-22 14:30:00,,None
279769,57,MissedShots,0.8969999694824219,0.61,0.020311400294303894,Milos Veljkovic,a,2691,FromCorner,2018,Head,10551,Wolfsburg,Werder Bremen,1,1,2019-03-03 17:00:00,Niklas Moisander,Chipped
284233,79,SavedShot,0.8780000305175781,0.525,0.015513299964368343,Milos Veljkovic,h,2691,FromCorner,2018,Head,10557,Werder Bremen,Schalke 04,4,2,2019-03-08 19:30:00,Philipp Bargfrede,Aerial
293496,4,MissedShots,0.9580000305175781,0.539000015258789,0.13458900153636932,Milos Veljkovic,h,2691,FromCorner,2018,Head,10594,Werder Bremen,Freiburg,2,1,2019-04-13 14:30:00,Milot Rashica,Cross
299434,45,MissedShots,0.9209999847412109,0.5629999923706055,0.07842849940061569,Milos Veljkovic,h,2691,FromCorner,2018,Head,10621,Werder Bremen,Borussia Dortmund,2,2,2019-05-04 17:30:00,Milot Rashica,Cross
325479,59,MissedShots,0.9290000152587891,0.629000015258789,0.03517179936170578,Milos Veljkovic,h,2691,FromCorner,2019,Head,12472,Werder Bremen,Hertha Berlin,1,1,2019-10-19 14:30:00,,None
336947,19,MissedShots,0.91,0.6,0.03414810076355934,Milos Veljkovic,a,2691,FromCorner,2019,Head,12529,Bayern Munich,Werder Bremen,6,1,2019-12-14 14:30:00,Nuri Sahin,Cross
361718,64,MissedShots,0.9159999847412109,0.4490000152587891,0.2930159866809845,Milos Veljkovic,a,2691,FromCorner,2019,Head,12623,Hertha Berlin,Werder Bremen,2,2,2020-03-07 14:30:00,Niklas Moisander,Cross
363383,79,MissedShots,0.874000015258789,0.5370000076293945,0.06501910090446472,Milos Veljkovic,h,2691,FromCorner,2019,LeftFoot,12647,Werder Bremen,Borussia M.Gladbach,0,0,2020-05-26 18:30:00,Davie Selke,HeadPass
363979,31,MissedShots,0.8909999847412109,0.5,0.0182413998991251,Milos Veljkovic,h,2691,FromCorner,2019,Head,12668,Werder Bremen,Wolfsburg,0,1,2020-06-07 11:30:00,Ludwig Augustinsson,Aerial
363985,53,MissedShots,0.855999984741211,0.5790000152587891,0.008582590147852898,Milos Veljkovic,h,2691,SetPiece,2019,Head,12668,Werder Bremen,Wolfsburg,0,1,2020-06-07 11:30:00,Ludwig Augustinsson,Aerial
365345,3,BlockedShot,0.8880000305175781,0.46299999237060546,0.0870824009180069,Milos Veljkovic,a,2691,FromCorner,2019,RightFoot,12696,Mainz 05,Werder Bremen,3,1,2020-06-20 13:30:00,,None
378992,45,BlockedShot,0.81,0.51,0.06684049963951111,Milos Veljkovic,a,2691,OpenPlay,2020,LeftFoot,14188,Schalke 04,Werder Bremen,1,3,2020-09-26 16:30:00,,Dispossessed
384581,2,MissedShots,0.8719999694824219,0.43400001525878906,0.08120139688253403,Milos Veljkovic,a,2691,FromCorner,2020,LeftFoot,15189,Eintracht Frankfurt,Werder Bremen,1,1,2020-10-31 14:30:00,Christian Groß,Rebound
404238,35,SavedShot,0.9469999694824218,0.485,0.4937039911746979,Milos Veljkovic,h,2691,FromCorner,2020,Head,15327,Werder Bremen,Freiburg,0,0,2021-02-13 14:30:00,Theodor Gebre Selassie,Aerial
488717,59,MissedShots,0.9309999847412109,0.4470000076293945,0.10654400289058685,Milos Veljkovic,a,2691,FromCorner,2022,Head,19398,Bayer Leverkusen,Werder Bremen,1,1,2022-09-17 13:30:00,Marvin Ducksch,Cross
488728,81,Goal,0.9819999694824219,0.44099998474121094,0.6156190037727356,Milos Veljkovic,a,2691,FromCorner,2022,RightFoot,19398,Bayer Leverkusen,Werder Bremen,1,1,2022-09-17 13:30:00,,Rebound
520731,29,MissedShots,0.91,0.4229999923706055,0.05154981091618538,Milos Veljkovic,a,2691,FromCorner,2022,Head,19602,Hertha Berlin,Werder Bremen,2,4,2023-04-22 13:30:00,Marvin Ducksch,Cross
529115,43,SavedShot,0.8730000305175781,0.46599998474121096,0.09350202232599258,Milos Veljkovic,a,2691,SetPiece,2022,RightFoot,19641,Union Berlin,Werder Bremen,1,0,2023-05-27 13:30:00,,Rebound
541844,78,Goal,0.9269999694824219,0.49400001525878906,0.5184935331344604,Milos Veljkovic,a,2691,OpenPlay,2023,LeftFoot,23117,Darmstadt,Werder Bremen,4,2,2023-10-01 13:30:00,Marvin Ducksch,Pass
541848,94,SavedShot,0.9319999694824219,0.4159999847412109,0.04287360981106758,Milos Veljkovic,a,2691,SetPiece,2023,Head,23117,Darmstadt,Werder Bremen,4,2,2023-10-01 13:30:00,,Aerial
552785,92,MissedShots,0.5309999847412109,0.21,0.010790680535137653,Milos Veljkovic,h,2691,OpenPlay,2023,RightFoot,23188,Werder Bremen,Augsburg,2,0,2023-12-09 14:30:00,,BallRecovery
553990,87,MissedShots,0.894000015258789,0.4370000076293945,0.042101193219423294,Milos Veljkovic,a,2691,FromCorner,2023,Head,23196,Borussia M.Gladbach,Werder Bremen,2,2,2023-12-15 19:30:00,Marvin Ducksch,Cross
572060,54,BlockedShot,0.915,0.47900001525878905,0.08386647701263428,Milos Veljkovic,a,2691,SetPiece,2023,RightFoot,23311,Eintracht Frankfurt,Werder Bremen,1,1,2024-04-05 18:30:00,,None
572064,61,Goal,0.950999984741211,0.4620000076293945,0.623823344707489,Milos Veljkovic,a,2691,SetPiece,2023,RightFoot,23311,Eintracht Frankfurt,Werder Bremen,1,1,2024-04-05 18:30:00,,Rebound
