goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,25,Sub,Paderborn,Borussia M.Gladbach,1,3,2020-06-20,12699,2019,401216,0,0,0,0,0,0.2548539936542511,0.2548539936542511
0,0,0,69,FW,Union Berlin,Paderborn,1,0,2020-06-16,12690,2019,400254,0,0,0,0,0,0.05701829865574837,0.05701829865574837
0,0,0,64,FW,RasenBallsport Leipzig,Paderborn,1,1,2020-06-06,12665,2019,399205,0.017355600371956825,0,1,0,0,0.059894900768995285,0.04253929853439331
0,0,0,66,FW,Paderborn,Borussia Dortmund,1,6,2020-05-31,12663,2019,399066,0,0,0,0,0,0.10057099908590317,0.10057099908590317
0,2,0.5078089833259583,62,FW,Augsburg,Paderborn,0,0,2020-05-27,12650,2019,398803,0,0,0,0,0.5078089833259583,0.5078089833259583,0
0,0,0,25,Sub,Paderborn,Hoffenheim,1,1,2020-05-23,12637,2019,398339,0,0,0,0,0,0,0
0,1,0.09985779970884323,55,FW,Bayern Munich,Paderborn,3,2,2020-02-21,12601,2019,394497,0,0,0,0,0.09985779970884323,0.09985779970884323,0
0,0,0,90,FW,Paderborn,Hertha Berlin,1,2,2020-02-15,12599,2019,393620,0,0,0,0,0,0,0
0,2,0.06991349905729294,90,FW,Schalke 04,Paderborn,1,1,2020-02-08,12591,2019,392633,0,0,0,0,0.06991349905729294,0.06991349905729294,0
0,0,0,26,Sub,Paderborn,Wolfsburg,2,4,2020-02-02,12582,2019,391817,0,0,0,0,0,0,0
0,1,0.051128700375556946,23,Sub,Paderborn,Bayer Leverkusen,1,4,2020-01-19,12564,2019,389706,0,0,0,0,0.051128700375556946,0.051128700375556946,0
0,2,0.21844199299812317,70,FW,Paderborn,Eintracht Frankfurt,2,1,2019-12-22,12555,2019,372292,0.23824499547481537,0,3,0,0.21844199299812317,0.45668599009513855,0
0,0,0,90,FW,Borussia M.Gladbach,Paderborn,2,0,2019-12-18,12540,2019,370979,0,0,1,0,0,0.07368440181016922,0.07368440181016922
0,1,0.02264080010354519,68,FW,Paderborn,Union Berlin,1,1,2019-12-14,12537,2019,369611,0,0,0,0,0.02264080010354519,0.9599639773368835,0.9373229742050171
0,1,0.0239741001278162,90,FW,Werder Bremen,Paderborn,0,1,2019-12-08,12525,2019,369265,0.4419980049133301,1,2,0,0.0239741001278162,0.581076979637146,0.11510399729013443
1,2,0.5702130198478699,90,FW,Paderborn,RasenBallsport Leipzig,2,3,2019-11-30,12517,2019,366104,0.09542910009622574,0,1,1,0.5702130198478699,0.7490540146827698,0.08341149985790253
2,4,1.5743600130081177,90,FW,Borussia Dortmund,Paderborn,3,3,2019-11-22,12502,2019,364290,0.03251710161566734,0,1,2,1.5743600130081177,1.6068799495697021,0
0,2,0.10260500013828278,90,FW,Paderborn,Augsburg,0,1,2019-11-09,12499,2019,362978,0,0,0,0,0.10260500013828278,0.10260500013828278,0
0,0,0,44,Sub,Hoffenheim,Paderborn,3,0,2019-11-01,12489,2019,361139,0,0,0,0,0,0.007968519814312458,0.007968519814312458
0,1,0.09595829993486404,28,Sub,Paderborn,Fortuna Duesseldorf,2,0,2019-10-26,12477,2019,359347,0,0,0,0,0.09595829993486404,0.09595829993486404,0
0,1,0.023272700607776642,76,FW,Paderborn,Schalke 04,1,5,2019-09-15,12438,2019,349910,0,0,0,0,0.023272700607776642,0.023272700607776642,0
0,1,0.0999004989862442,69,FW,Wolfsburg,Paderborn,1,1,2019-08-31,12422,2019,347339,0.05106690153479576,1,1,0,0.0999004989862442,0.18389500677585602,0.03292759880423546
1,1,0.3318760097026825,76,FW,Paderborn,Freiburg,1,3,2019-08-24,12413,2019,343849,0,0,0,1,0.3318760097026825,0.49069100618362427,0.15881499648094177
1,1,0.7823309898376465,61,FW,Bayer Leverkusen,Paderborn,3,2,2019-08-17,12407,2019,342029,0,0,0,1,0.7823309898376465,0.7823309898376465,0
