goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,15,Sub,Arminia Bielefeld,Union Berlin,1,0,2022-02-19,17715,2021,514148,0,0,0,0,0,0,0
0,1,0.053809501230716705,15,Sub,Augsburg,Union Berlin,2,0,2022-02-05,17699,2021,511118,0,0,0,0,0.053809501230716705,0.053809501230716705,0.053809501230716705
0,1,0.02696789987385273,8,Sub,Greuther Fuerth,Union Berlin,1,0,2021-12-12,17642,2021,502457,0.026890000328421593,0,1,0,0.02696789987385273,0.026890000328421593,0
0,0,0,13,Sub,Borussia Dortmund,Union Berlin,4,2,2021-09-19,17559,2021,482971,0,0,0,0,0,0,0
0,0,0,26,Sub,Union Berlin,RasenBallsport Leipzig,2,1,2021-05-22,15442,2020,472734,0,0,0,0,0,0,0
0,0,0,43,Sub,Wolfsburg,Union Berlin,3,0,2021-05-08,15422,2020,468595,0,0,0,0,0,0,0
0,2,0.10054700076580048,59,AML,Borussia Dortmund,Union Berlin,2,0,2021-04-21,15402,2020,464360,0.06442099809646606,0,1,0,0.10054700076580048,0.16496799886226654,0
0,0,0,81,AML,Bayern Munich,Union Berlin,1,1,2021-04-10,15383,2020,461139,0.15483500063419342,0,1,0,0,0.15483500063419342,0
0,1,0.1056940034031868,26,Sub,Eintracht Frankfurt,Union Berlin,5,2,2021-03-20,15368,2020,458112,0.6216859817504883,0,1,0,0.1056940034031868,0.7273799777030945,0.6216859817504883
0,0,0,63,MC,Union Berlin,FC Cologne,2,1,2021-03-13,15360,2020,456247,0.4654189944267273,0,2,0,0,0.4654189944267273,0.39392900466918945
0,2,0.7878770232200623,18,Sub,Arminia Bielefeld,Union Berlin,0,0,2021-03-07,15350,2020,455332,0,0,0,0,0.7878770232200623,0.7878770232200623,0
0,0,0,14,Sub,Freiburg,Union Berlin,0,1,2021-02-20,15331,2020,450670,0.3730120062828064,0,1,0,0,0,0
0,0,0,8,Sub,Mainz 05,Union Berlin,1,0,2021-02-06,15317,2020,447572,0,0,0,0,0,0.2736400067806244,0.2736400067806244
0,0,0,9,Sub,RasenBallsport Leipzig,Union Berlin,1,0,2021-01-20,15284,2020,443568,0,0,0,0,0,0.029092099517583847,0.029092099517583847
0,0,0,24,Sub,Union Berlin,Borussia Dortmund,2,1,2020-12-18,15253,2020,435687,0,0,0,0,0,0,0
0,1,0.08915259689092636,16,Sub,Union Berlin,Bayern Munich,1,1,2020-12-12,15236,2020,433210,0.02409910038113594,0,1,0,0.08915259689092636,0.11325199902057648,0.02409910038113594
1,2,0.4239029884338379,19,AML,Union Berlin,Arminia Bielefeld,5,0,2020-11-07,15197,2020,426162,0,0,0,1,0.4239029884338379,0.3915809988975525,0
0,0,0,18,Sub,Union Berlin,Freiburg,1,1,2020-10-24,15177,2020,422712,0,0,0,0,0,0,0
0,0,0,1,Sub,Schalke 04,Union Berlin,1,1,2020-10-18,15175,2020,422131,0,0,0,0,0,0,0
0,0,0,8,Sub,Union Berlin,Mainz 05,4,0,2020-10-02,15158,2020,419112,0,0,0,0,0,0,0
