goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Barcelona,Mallorca,2,1,2022-05-01,17468,2021,531532,0,0,0,0,0,0,0
0,0,0,19,Sub,Mallorca,Real Sociedad,0,2,2022-03-02,17341,2021,517106,0,0,0,0,0,0,0
0,1,0.030062099918723106,16,Sub,Levante,Mallorca,2,0,2022-01-08,17329,2021,506715,0.020669000223279,0,1,0,0.030062099918723106,0.020669000223279,0
0,1,0.044716399163007736,60,FW,Real Madrid,Mallorca,6,1,2021-09-22,17190,2021,484082,0.08595059812068939,1,1,0,0.044716399163007736,0.2703680098056793,0.2703680098056793
0,0,0,25,Sub,Mallorca,Villarreal,0,0,2021-09-19,17181,2021,482559,0.014340500347316265,0,1,0,0,0.014340500347316265,0
0,2,0.09542129933834076,90,FW,FC Cologne,Schalke 04,1,0,2021-05-22,15443,2020,472717,0,0,0,0,0.09542129933834076,0.08077149838209152,0
1,1,0.3153820037841797,42,Sub,Schalke 04,Eintracht Frankfurt,4,3,2021-05-15,15433,2020,470895,0.3989560008049011,1,1,1,0.3153820037841797,0.9833210110664368,0.26898300647735596
0,1,0.09320119768381119,90,FW,Schalke 04,Hertha Berlin,1,2,2021-05-12,15416,2020,470053,0.1219249963760376,0,1,0,0.09320119768381119,0.21512599289417267,0
0,0,0,2,Sub,Hoffenheim,Schalke 04,4,2,2021-05-08,15421,2020,468626,0,0,0,0,0,0,0
0,0,0,2,Sub,Freiburg,Schalke 04,4,0,2021-04-17,15397,2020,462884,0,0,0,0,0,0,0
0,0,0,5,Sub,Schalke 04,Augsburg,1,0,2021-04-11,15387,2020,461912,0,0,0,0,0,0,0
0,0,0,77,FW,Schalke 04,Borussia M.Gladbach,0,3,2021-03-20,15370,2020,458269,0,0,0,0,0,0,0
0,1,0.054982300847768784,18,Sub,Wolfsburg,Schalke 04,5,0,2021-03-13,15359,2020,456237,0,0,0,0,0.054982300847768784,0.054982300847768784,0
0,0,0,61,FW,Schalke 04,Mainz 05,0,0,2021-03-05,15348,2020,454287,0,0,0,0,0,0,0
0,0,0,75,FW,VfB Stuttgart,Schalke 04,5,1,2021-02-27,15346,2020,452187,0,0,0,0,0,0,0
0,1,0.2924700081348419,69,FW,Schalke 04,Borussia Dortmund,0,4,2021-02-20,15334,2020,450828,0,0,0,0,0.2924700081348419,0.2924700081348419,0
0,0,0,90,FW,Union Berlin,Schalke 04,0,0,2021-02-13,15326,2020,449164,0,0,0,0,0,0,0
0,1,0.0754041001200676,81,FW,Schalke 04,RasenBallsport Leipzig,0,3,2021-02-06,15316,2020,447523,0,0,0,0,0.0754041001200676,0.0754041001200676,0
0,1,0.28873300552368164,80,FW,Werder Bremen,Schalke 04,1,1,2021-01-30,15309,2020,445493,0,0,0,0,0.28873300552368164,0.3830130100250244,0.0942801982164383
0,0,0,73,FW,Schalke 04,Bayern Munich,0,4,2021-01-24,15298,2020,444662,0,0,0,0,0,0.03863200172781944,0.03863200172781944
1,1,0.3727110028266907,90,FW,Schalke 04,FC Cologne,1,2,2021-01-20,15289,2020,443368,0.09784600138664246,0,1,1,0.3727110028266907,0.49287399649620056,0.02231759950518608
1,1,0.059922199696302414,89,FW,Eintracht Frankfurt,Schalke 04,3,1,2021-01-17,15279,2020,442913,0.02875480055809021,0,1,1,0.059922199696302414,0.08867699652910233,0
3,6,1.5798499584197998,89,FW,Schalke 04,Hoffenheim,4,0,2021-01-09,15271,2020,440768,0,0,0,3,1.5798499584197998,1.5889300107955933,0.02805439941585064
0,1,0.054238200187683105,82,FW,Hertha Berlin,Schalke 04,3,0,2021-01-02,15261,2020,439188,0.07855209708213806,0,2,0,0.054238200187683105,0.1327899992465973,0.07800749689340591
0,0,0,4,Sub,Schalke 04,Freiburg,0,2,2020-12-16,15240,2020,434623,0,0,0,0,0,0,0
0,1,0.0731407031416893,24,Sub,Schalke 04,Bayer Leverkusen,0,3,2020-12-06,15226,2020,432243,0.015975799411535263,0,1,0,0.0731407031416893,0.08911649882793427,0.015975799411535263
0,2,0.09305810183286667,82,FW,Borussia M.Gladbach,Schalke 04,4,1,2020-11-28,15214,2020,429813,0.022679299116134644,0,1,0,0.09305810183286667,0.11573699861764908,0
