id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
10086,88,SavedShot,0.8140000152587891,0.664000015258789,0.03346800059080124,Steven Zuber,h,254,OpenPlay,2014,RightFoot,6420,CSKA Moscow,Torpedo Moscow,4,1,2014-08-02 18:30:00,Seydou Doumbia,Pass
8983,82,MissedShots,0.8519999694824218,0.635,0.07797879725694656,Steven Zuber,a,254,OpenPlay,2014,LeftFoot,6427,Mordovya,CSKA Moscow,0,1,2014-08-09 10:30:00,Seydou Doumbia,Pass
25566,79,MissedShots,0.9369999694824219,0.29700000762939455,0.05174180120229721,Steven Zuber,a,254,OpenPlay,2014,RightFoot,5438,Mainz 05,Hoffenheim,0,0,2014-09-26 19:30:00,Roberto Firmino,Pass
25890,86,SavedShot,0.894000015258789,0.38799999237060545,0.3549180030822754,Steven Zuber,h,254,OpenPlay,2014,RightFoot,5388,Hoffenheim,Schalke 04,2,1,2014-10-04 14:30:00,Roberto Firmino,Throughball
26367,87,MissedShots,0.875999984741211,0.664000015258789,0.07608380168676376,Steven Zuber,h,254,OpenPlay,2014,LeftFoot,5404,Hoffenheim,Paderborn,1,0,2014-10-25 14:30:00,Roberto Firmino,Pass
26523,4,MissedShots,0.8390000152587891,0.6040000152587891,0.03857620060443878,Steven Zuber,a,254,FromCorner,2014,LeftFoot,5353,Borussia M.Gladbach,Hoffenheim,3,1,2014-11-02 14:30:00,,Foul
26535,36,BlockedShot,0.8019999694824219,0.27399999618530274,0.018107499927282333,Steven Zuber,a,254,OpenPlay,2014,LeftFoot,5353,Borussia M.Gladbach,Hoffenheim,3,1,2014-11-02 14:30:00,Eugen Polanski,Chipped
26536,36,BlockedShot,0.725,0.27100000381469724,0.014076000079512596,Steven Zuber,a,254,OpenPlay,2014,RightFoot,5353,Borussia M.Gladbach,Hoffenheim,3,1,2014-11-02 14:30:00,Sebastian Rudy,Pass
27664,22,MissedShots,0.82,0.4209999847412109,0.13513199985027313,Steven Zuber,h,254,OpenPlay,2014,RightFoot,5380,Hoffenheim,Hannover 96,4,3,2014-11-29 17:30:00,Roberto Firmino,Throughball
29365,45,MissedShots,0.8669999694824219,0.6730000305175782,0.026604700833559036,Steven Zuber,a,254,OpenPlay,2014,LeftFoot,5276,Wolfsburg,Hoffenheim,3,0,2015-02-07 14:30:00,Roberto Firmino,HeadPass
29370,70,BlockedShot,0.860999984741211,0.5690000152587891,0.11847300082445145,Steven Zuber,a,254,OpenPlay,2014,RightFoot,5276,Wolfsburg,Hoffenheim,3,0,2015-02-07 14:30:00,,Rebound
29373,77,SavedShot,0.7319999694824219,0.515,0.05643720179796219,Steven Zuber,a,254,DirectFreekick,2014,RightFoot,5276,Wolfsburg,Hoffenheim,3,0,2015-02-07 14:30:00,,Standard
29738,6,SavedShot,0.6430000305175781,0.36400001525878906,0.024729400873184204,Steven Zuber,a,254,OpenPlay,2014,RightFoot,5238,Schalke 04,Hoffenheim,3,1,2015-03-07 14:30:00,Roberto Firmino,Pass
29750,45,SavedShot,0.9030000305175782,0.539000015258789,0.04717560112476349,Steven Zuber,a,254,OpenPlay,2014,Head,5238,Schalke 04,Hoffenheim,3,1,2015-03-07 14:30:00,Roberto Firmino,HeadPass
30217,41,MissedShots,0.6890000152587891,0.375,0.00861515011638403,Steven Zuber,h,254,OpenPlay,2014,RightFoot,5198,Hoffenheim,Borussia M.Gladbach,1,4,2015-04-04 14:30:00,Kevin Volland,Pass
30226,70,MissedShots,0.815,0.3189999961853027,0.02692670002579689,Steven Zuber,h,254,OpenPlay,2014,LeftFoot,5198,Hoffenheim,Borussia M.Gladbach,1,4,2015-04-04 14:30:00,Roberto Firmino,Pass
30230,78,MissedShots,0.7819999694824219,0.2589999961853027,0.013264999724924564,Steven Zuber,h,254,OpenPlay,2014,RightFoot,5198,Hoffenheim,Borussia M.Gladbach,1,4,2015-04-04 14:30:00,Nadiem Amiri,BallRecovery
30231,79,BlockedShot,0.8780000305175781,0.595999984741211,0.0482512004673481,Steven Zuber,h,254,OpenPlay,2014,RightFoot,5198,Hoffenheim,Borussia M.Gladbach,1,4,2015-04-04 14:30:00,Jin-Su Kim,Cross
31477,91,MissedShots,0.92,0.6359999847412109,0.012672699987888336,Steven Zuber,a,254,OpenPlay,2014,Head,5211,FC Cologne,Hoffenheim,3,2,2015-04-12 14:30:00,Kevin Volland,Aerial
31712,63,SavedShot,0.7569999694824219,0.73,0.013327199965715408,Steven Zuber,a,254,OpenPlay,2014,RightFoot,5173,Eintracht Frankfurt,Hoffenheim,3,1,2015-05-09 14:30:00,Roberto Firmino,Pass
76108,4,Goal,0.8959999847412109,0.3160000038146973,0.3129029870033264,Steven Zuber,a,254,OpenPlay,2015,LeftFoot,1022,Bayer Leverkusen,Hoffenheim,2,1,2015-08-15 17:30:00,Eugen Polanski,Throughball
76114,30,MissedShots,0.905,0.5820000076293945,0.0716727003455162,Steven Zuber,a,254,OpenPlay,2015,Head,1022,Bayer Leverkusen,Hoffenheim,2,1,2015-08-15 17:30:00,Kevin Volland,Cross
76120,43,SavedShot,0.765,0.49599998474121093,0.023534100502729416,Steven Zuber,a,254,SetPiece,2015,LeftFoot,1022,Bayer Leverkusen,Hoffenheim,2,1,2015-08-15 17:30:00,Pirmin Schwegler,Pass
76485,47,BlockedShot,0.8280000305175781,0.48700000762939455,0.04278840124607086,Steven Zuber,h,254,SetPiece,2015,LeftFoot,1031,Hoffenheim,Bayern Munich,1,2,2015-08-22 17:30:00,Kevin Volland,Pass
76718,4,BlockedShot,0.7730000305175782,0.6990000152587891,0.022215699777007103,Steven Zuber,a,254,OpenPlay,2015,RightFoot,1044,Darmstadt,Hoffenheim,0,0,2015-08-29 17:30:00,Kevin Volland,Pass
76726,46,MissedShots,0.845,0.7030000305175781,0.025102699175477028,Steven Zuber,a,254,FromCorner,2015,LeftFoot,1044,Darmstadt,Hoffenheim,0,0,2015-08-29 17:30:00,,None
76727,52,MissedShots,0.705999984741211,0.4879999923706055,0.04291120171546936,Steven Zuber,a,254,DirectFreekick,2015,RightFoot,1044,Darmstadt,Hoffenheim,0,0,2015-08-29 17:30:00,,Standard
76934,35,BlockedShot,0.914000015258789,0.3729999923706055,0.07963129878044128,Steven Zuber,h,254,OpenPlay,2015,RightFoot,1055,Hoffenheim,Werder Bremen,1,3,2015-09-13 17:30:00,Kevin Kurányi,HeadPass
77398,82,MissedShots,0.765,0.5479999923706055,0.028149699792265892,Steven Zuber,h,254,OpenPlay,2015,RightFoot,1070,Hoffenheim,Borussia Dortmund,1,1,2015-09-23 22:00:00,Kevin Volland,Pass
77585,92,BlockedShot,0.874000015258789,0.685,0.07228849828243256,Steven Zuber,a,254,OpenPlay,2015,LeftFoot,1078,Augsburg,Hoffenheim,1,3,2015-09-26 17:30:00,Kevin Volland,Pass
79257,10,Goal,0.96,0.40799999237060547,0.23045000433921814,Steven Zuber,h,254,FromCorner,2015,Head,1141,Hoffenheim,Borussia M.Gladbach,3,3,2015-11-28 18:30:00,Nadiem Amiri,Cross
79259,23,MissedShots,0.8090000152587891,0.7569999694824219,0.012768300250172615,Steven Zuber,h,254,OpenPlay,2015,RightFoot,1141,Hoffenheim,Borussia M.Gladbach,3,3,2015-11-28 18:30:00,Nadiem Amiri,TakeOn
79261,26,SavedShot,0.8519999694824218,0.6459999847412109,0.05906509980559349,Steven Zuber,h,254,OpenPlay,2015,RightFoot,1141,Hoffenheim,Borussia M.Gladbach,3,3,2015-11-28 18:30:00,Kevin Volland,Pass
79585,19,MissedShots,0.9230000305175782,0.4620000076293945,0.1307940036058426,Steven Zuber,a,254,OpenPlay,2015,Head,1152,Ingolstadt,Hoffenheim,1,1,2015-12-05 18:30:00,Tobias Strobl,Cross
79595,69,MissedShots,0.7390000152587891,0.504000015258789,0.021171899512410164,Steven Zuber,a,254,SetPiece,2015,LeftFoot,1152,Ingolstadt,Hoffenheim,1,1,2015-12-05 18:30:00,Tobias Strobl,Pass
80706,60,BlockedShot,0.784000015258789,0.6079999923706054,0.030069500207901,Steven Zuber,h,254,OpenPlay,2015,RightFoot,1200,Hoffenheim,Darmstadt,0,2,2016-02-07 20:30:00,Tobias Strobl,Pass
80710,76,BlockedShot,0.8730000305175781,0.6969999694824218,0.04092559963464737,Steven Zuber,h,254,OpenPlay,2015,LeftFoot,1200,Hoffenheim,Darmstadt,0,2,2016-02-07 20:30:00,,None
129317,59,Goal,0.7759999847412109,0.5709999847412109,0.271928995847702,Steven Zuber,a,254,OpenPlay,2016,RightFoot,1395,Bayer Leverkusen,Hoffenheim,0,3,2016-10-22 17:30:00,,None
129499,4,MissedShots,0.8019999694824219,0.3920000076293945,0.05123019963502884,Steven Zuber,h,254,OpenPlay,2016,LeftFoot,3306,Hoffenheim,Hertha Berlin,1,0,2016-10-30 18:30:00,Sandro Wagner,TakeOn
129512,39,MissedShots,0.7330000305175781,0.66,0.020166300237178802,Steven Zuber,h,254,OpenPlay,2016,RightFoot,3306,Hoffenheim,Hertha Berlin,1,0,2016-10-30 18:30:00,Andrej Kramaric,Pass
129531,33,OwnGoal,0.07099999904632569,0.48700000762939455,0,Steven Zuber,a,254,OpenPlay,2016,RightFoot,2809,Bayern Munich,Hoffenheim,1,1,2016-11-05 18:30:00,,Challenge
130784,39,BlockedShot,0.8,0.675,0.024668199941515923,Steven Zuber,h,254,OpenPlay,2016,RightFoot,2822,Hoffenheim,Hamburger SV,2,2,2016-11-20 18:30:00,,None
130788,48,Goal,0.8719999694824219,0.595999984741211,0.05321209877729416,Steven Zuber,h,254,OpenPlay,2016,LeftFoot,2822,Hoffenheim,Hamburger SV,2,2,2016-11-20 18:30:00,Pavel Kaderábek,Cross
130796,89,MissedShots,0.7959999847412109,0.6809999847412109,0.022213900461792946,Steven Zuber,h,254,OpenPlay,2016,RightFoot,2822,Hoffenheim,Hamburger SV,2,2,2016-11-20 18:30:00,,None
130664,29,SavedShot,0.7519999694824219,0.38799999237060545,0.013067999854683876,Steven Zuber,a,254,SetPiece,2016,RightFoot,3725,Augsburg,Hoffenheim,0,2,2017-01-21 17:30:00,,None
130665,29,BlockedShot,0.7609999847412109,0.40400001525878904,0.015866199508309364,Steven Zuber,a,254,SetPiece,2016,LeftFoot,3725,Augsburg,Hoffenheim,0,2,2017-01-21 17:30:00,,Rebound
131463,6,MissedShots,0.675,0.3840000152587891,0.01139769982546568,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3732,RasenBallsport Leipzig,Hoffenheim,2,1,2017-01-28 17:30:00,Nadiem Amiri,Pass
132318,17,MissedShots,0.769000015258789,0.669000015258789,0.022014200687408447,Steven Zuber,h,254,OpenPlay,2016,RightFoot,3742,Hoffenheim,Mainz 05,4,0,2017-02-04 14:30:00,Kerem Demirbay,Pass
132329,41,BlockedShot,0.82,0.705999984741211,0.03532110154628754,Steven Zuber,h,254,OpenPlay,2016,RightFoot,3742,Hoffenheim,Mainz 05,4,0,2017-02-04 14:30:00,Mark Uth,Pass
132560,7,BlockedShot,0.7290000152587891,0.775,0.012366199865937233,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3756,Wolfsburg,Hoffenheim,2,1,2017-02-12 14:30:00,Kerem Demirbay,Pass
132565,25,Goal,0.8830000305175781,0.6659999847412109,0.11501500010490417,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3756,Wolfsburg,Hoffenheim,2,1,2017-02-12 14:30:00,Kerem Demirbay,Throughball
132568,38,MissedShots,0.84,0.6409999847412109,0.06086599826812744,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3756,Wolfsburg,Hoffenheim,2,1,2017-02-12 14:30:00,Marco Terrazzino,Pass
131797,52,BlockedShot,0.7380000305175781,0.6759999847412109,0.01585870049893856,Steven Zuber,h,254,OpenPlay,2016,RightFoot,3760,Hoffenheim,Darmstadt,2,0,2017-02-18 14:30:00,Andrej Kramaric,Pass
131805,73,BlockedShot,0.8619999694824219,0.6309999847412109,0.07699059695005417,Steven Zuber,h,254,OpenPlay,2016,LeftFoot,3760,Hoffenheim,Darmstadt,2,0,2017-02-18 14:30:00,Ádám Szalai,Pass
131988,18,BlockedShot,0.7980000305175782,0.6530000305175782,0.02455589920282364,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3775,Schalke 04,Hoffenheim,1,1,2017-02-26 16:30:00,Sebastian Rudy,Chipped
131989,25,MissedShots,0.86,0.43099998474121093,0.05643409863114357,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3775,Schalke 04,Hoffenheim,1,1,2017-02-26 16:30:00,Ermin Bicakcic,Cross
133294,83,SavedShot,0.8680000305175781,0.6580000305175782,0.096116803586483,Steven Zuber,h,254,OpenPlay,2016,LeftFoot,3780,Hoffenheim,Ingolstadt,5,2,2017-03-04 14:30:00,Andrej Kramaric,Chipped
134121,6,BlockedShot,0.7909999847412109,0.6680000305175782,0.02532839961349964,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3788,Freiburg,Hoffenheim,1,1,2017-03-11 14:30:00,Kevin Vogt,Pass
134132,30,MissedShots,0.8390000152587891,0.73,0.020530199632048607,Steven Zuber,a,254,FromCorner,2016,LeftFoot,3788,Freiburg,Hoffenheim,1,1,2017-03-11 14:30:00,,None
134133,32,BlockedShot,0.8090000152587891,0.649000015258789,0.03561130166053772,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3788,Freiburg,Hoffenheim,1,1,2017-03-11 14:30:00,Andrej Kramaric,Pass
134136,47,SavedShot,0.7730000305175782,0.6609999847412109,0.01925159990787506,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3788,Freiburg,Hoffenheim,1,1,2017-03-11 14:30:00,Jeremy Toljan,Pass
134146,83,MissedShots,0.7980000305175782,0.4520000076293945,0.0417385995388031,Steven Zuber,a,254,OpenPlay,2016,RightFoot,3788,Freiburg,Hoffenheim,1,1,2017-03-11 14:30:00,Jeremy Toljan,Pass
132727,20,BlockedShot,0.8059999847412109,0.4909999847412109,0.05655689910054207,Steven Zuber,h,254,OpenPlay,2016,RightFoot,3799,Hoffenheim,Bayer Leverkusen,1,0,2017-03-18 14:30:00,Sebastian Rudy,Pass
