goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.19388695061206818,90,AMC,Augsburg,Borussia M.Gladbach,3,1,2026-05-09,30512,2025,788654,0.08225791156291962,0,1,0,0.19388695061206818,0.6998206973075867,0.4236758351325989
2,3,0.9814848899841309,90,AMC,Werder Bremen,Augsburg,1,3,2026-05-02,30511,2025,786961,0.33612313866615295,0,2,2,0.9814848899841309,1.5198441743850708,0.202236145734787
1,3,0.8118146657943726,90,AMC,Augsburg,Eintracht Frankfurt,1,1,2026-04-25,30494,2025,785451,0.13887958228588104,0,1,1,0.8118146657943726,0.9779948592185974,0.02730056829750538
0,1,0.045051414519548416,83,AMC,Bayer Leverkusen,Augsburg,1,2,2026-04-18,30485,2025,783178,0.13471901416778564,0,2,0,0.045051414519548416,0.17977042496204376,0
0,3,0.5109061598777771,90,AMC,Augsburg,Hoffenheim,2,2,2026-04-10,30476,2025,781189,0.4931575059890747,0,1,0,0.5109061598777771,1.0040637254714966,0
0,4,0.2158934772014618,83,AMC,Hamburger SV,Augsburg,1,1,2026-04-04,30471,2025,780100,0.06175629049539566,0,1,0,0.2158934772014618,0.27764976024627686,0
1,1,0.4277500510215759,39,Sub,Augsburg,VfB Stuttgart,2,5,2026-03-22,30458,2025,779590,0,0,0,1,0.4277500510215759,0.44425252079963684,0.01650247350335121
0,3,0.1674661636352539,29,Sub,Borussia Dortmund,Augsburg,2,0,2026-03-14,30451,2025,776686,0,0,0,0,0.1674661636352539,0.14425964653491974,0
0,2,0.3946481943130493,40,Sub,RasenBallsport Leipzig,Augsburg,2,1,2026-03-07,30445,2025,775218,0.3260689675807953,0,1,0,0.3946481943130493,0.720717191696167,0
0,0,0,7,Sub,Augsburg,FC Cologne,2,0,2026-02-27,30431,2025,772800,0.10270322859287262,0,1,0,0,0.10270322859287262,0.10270322859287262
0,0,0,59,DMR,Augsburg,FC Heidenheim,1,0,2026-02-15,30413,2025,770815,0,0,0,0,0,0.13906432688236237,0.13906432688236237
0,0,0,30,Sub,Mainz 05,Augsburg,2,0,2026-02-07,30409,2025,768584,0.6707340478897095,0,2,0,0,0.6707340478897095,0.32611560821533203
0,0,0,27,Sub,Augsburg,St. Pauli,2,1,2026-01-31,30395,2025,767083,0,0,0,0,0,0,0
0,1,0.03539496660232544,66,FW,Bayern Munich,Augsburg,1,2,2026-01-24,30387,2025,765560,0,0,0,0,0.03539496660232544,0.03539496660232544,0
0,0,0,7,Sub,Augsburg,Freiburg,2,2,2026-01-18,30377,2025,764863,0,0,0,0,0,0,0
0,1,0.1461993008852005,82,AMC,Augsburg,Union Berlin,1,1,2026-01-15,30368,2025,763733,0,0,0,0,0.1461993008852005,0.1461993008852005,0
0,4,0.29819953441619873,65,FW,Borussia M.Gladbach,Augsburg,4,0,2026-01-11,30361,2025,763121,0.12995831668376923,0,2,0,0.29819953441619873,0.36084532737731934,0.09484726935625076
0,0,0,90,FW,Eintracht Frankfurt,Augsburg,1,0,2025-12-13,30344,2025,757577,0,0,0,0,0,0.2587359845638275,0.2587359845638275
1,4,0.6350906491279602,90,FW,Augsburg,Bayer Leverkusen,2,0,2025-12-06,30334,2025,755823,0.1569521278142929,0,2,1,0.6350906491279602,0.7233049869537354,0
0,1,0.07300923764705658,84,DMR,Hoffenheim,Augsburg,3,0,2025-11-29,30329,2025,753584,0.19597336649894714,0,3,0,0.07300923764705658,0.38108131289482117,0.11209869384765625
1,2,0.7153943181037903,90,DMR,Augsburg,Hamburger SV,1,0,2025-11-22,30314,2025,751932,0.07422001659870148,0,2,1,0.7153943181037903,0.7896143198013306,0
0,4,0.1864369511604309,87,AMC,VfB Stuttgart,Augsburg,3,2,2025-11-09,30311,2025,751206,0.1077287569642067,0,1,0,0.1864369511604309,0.294165700674057,0
0,2,0.6017844676971436,25,Sub,Augsburg,Borussia Dortmund,0,1,2025-10-31,30296,2025,747940,0,0,0,0,0.6017844676971436,0.6017844676971436,0
0,0,0,79,DMR,Augsburg,RasenBallsport Leipzig,0,6,2025-10-25,30287,2025,745836,0.04589463770389557,0,2,0,0,0.04589463770389557,0.011185325682163239
0,1,0.018386952579021454,90,DMR,FC Cologne,Augsburg,1,1,2025-10-18,30279,2025,743994,0,0,0,0,0.018386952579021454,0.018386952579021454,0
0,0,0,16,Sub,Augsburg,Wolfsburg,3,1,2025-10-04,30276,2025,742319,0.03707163780927658,0,1,0,0,0.03707163780927658,0
0,1,0.017675844952464104,22,Sub,Augsburg,Bayern Munich,2,3,2025-08-30,30238,2025,735326,0,0,0,0,0.017675844952464104,0.12844811379909515,0.12844811379909515
0,0,0,18,Sub,Augsburg,Hertha Berlin,0,1,2022-04-16,17778,2021,526367,0,0,0,0,0,0,0
0,0,0,6,Sub,Hertha Berlin,Hoffenheim,3,0,2022-03-19,17753,2021,521212,0,0,0,0,0,0,0
0,0,0,28,Sub,Borussia M.Gladbach,Hertha Berlin,2,0,2022-03-12,17745,2021,519590,0,0,0,0,0,0,0
0,1,0.29408198595046997,13,Sub,Hertha Berlin,RasenBallsport Leipzig,1,6,2022-02-20,17716,2021,515118,0,0,0,0,0.29408198595046997,0.29408198595046997,0
