goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.11033499985933304,90,DC,Augsburg,Greuther Fuerth,2,1,2022-05-14,17814,2021,535491,0,0,0,0,0.11033499985933304,0.02996700070798397,0.02996700070798397
0,0,0,90,DC,Greuther Fuerth,Borussia Dortmund,1,3,2022-05-07,17804,2021,534375,0,0,0,0,0,0,0
0,0,0,90,DC,Union Berlin,Greuther Fuerth,1,1,2022-04-29,17801,2021,530034,0,0,0,0,0,0.038534700870513916,0.038534700870513916
0,0,0,90,DC,Greuther Fuerth,Bayer Leverkusen,1,4,2022-04-23,17786,2021,528614,0,0,0,0,0,0.014929600059986115,0.014929600059986115
0,0,0,90,DC,Hoffenheim,Greuther Fuerth,0,0,2022-04-17,17780,2021,527201,0,0,0,0,0,0,0
0,0,0,90,DC,Greuther Fuerth,Borussia M.Gladbach,0,2,2022-04-09,17768,2021,524546,0,0,0,0,0,0.15355099737644196,0.15355099737644196
0,0,0,90,DC,Eintracht Frankfurt,Greuther Fuerth,0,0,2022-04-02,17766,2021,522586,0,0,0,0,0,0.023389900103211403,0.023389900103211403
0,0,0,90,DC,Greuther Fuerth,Freiburg,0,0,2022-03-19,17750,2021,521231,0,0,0,0,0,0.24622799456119537,0.24622799456119537
0,0,0,90,DC,Greuther Fuerth,RasenBallsport Leipzig,1,6,2022-03-13,17741,2021,520453,0,0,0,0,0,0.20858700573444366,0.20858700573444366
0,1,0.12215600162744522,90,DC,Bochum,Greuther Fuerth,2,1,2022-03-05,17732,2021,517480,0,0,0,0,0.12215600162744522,0.03922870010137558,0.03922870010137558
0,0,0,90,DC,Greuther Fuerth,FC Cologne,1,1,2022-02-26,17723,2021,515966,0,0,0,0,0,0.17434999346733093,0.17434999346733093
0,0,0,90,DC,Bayern Munich,Greuther Fuerth,4,1,2022-02-20,17722,2021,514882,0,0,0,0,0,0.05897749960422516,0.05897749960422516
0,0,0,90,DC,Greuther Fuerth,Hertha Berlin,2,1,2022-02-12,17705,2021,512524,0,0,0,0,0,0.017900099977850914,0.017900099977850914
0,0,0,90,DC,Wolfsburg,Greuther Fuerth,4,1,2022-02-06,17702,2021,511838,0,0,0,0,0,0,0
0,0,0,90,DC,Greuther Fuerth,Mainz 05,2,1,2022-01-22,17687,2021,509672,0,0,0,0,0,0.4557049870491028,0.4557049870491028
0,0,0,90,DC,Arminia Bielefeld,Greuther Fuerth,2,2,2022-01-16,17679,2021,508689,0,0,0,0,0,0.19632500410079956,0.19632500410079956
0,0,0,90,DC,Greuther Fuerth,VfB Stuttgart,0,0,2022-01-08,17669,2021,506750,0.569678008556366,0,1,0,0,0.569678008556366,0
0,0,0,66,DC,Freiburg,Greuther Fuerth,3,1,2021-10-30,17600,2021,492076,0,0,0,0,0,0,0
0,0,0,90,DC,RasenBallsport Leipzig,Greuther Fuerth,4,1,2021-10-23,17595,2021,489833,0,0,0,0,0,0.00977076031267643,0.00977076031267643
0,0,0,90,DC,Greuther Fuerth,Bochum,0,1,2021-10-16,17579,2021,487923,0,0,0,0,0,0.04693960025906563,0.04693960025906563
0,0,0,90,DC,FC Cologne,Greuther Fuerth,3,1,2021-10-01,17570,2021,486055,0,0,0,0,0,0,0
0,0,0,90,DC,Greuther Fuerth,Bayern Munich,1,3,2021-09-24,17561,2021,484308,0,0,0,0,0,0.07916650176048279,0.07916650176048279
0,0,0,90,DC,Hertha Berlin,Greuther Fuerth,2,1,2021-09-17,17552,2021,481650,0,0,0,0,0,0.08432909846305847,0.08432909846305847
0,0,0,90,DC,Greuther Fuerth,Wolfsburg,0,2,2021-09-11,17543,2021,480081,0,0,0,0,0,0,0
