goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.012017657049000263,10,Sub,VfB Stuttgart,Borussia M.Gladbach,4,0,2024-05-18,23369,2023,662707,0,0,0,0,0.012017657049000263,0.1031893938779831,0.0911717340350151
0,0,0,1,Sub,Borussia M.Gladbach,Eintracht Frankfurt,1,1,2024-05-11,23357,2023,660453,0,0,0,0,0,0,0
0,0,0,1,Sub,Borussia M.Gladbach,Borussia Dortmund,1,2,2024-04-13,23321,2023,653054,0,0,0,0,0,0,0
0,1,0.12462636083364487,1,Sub,Borussia M.Gladbach,Bochum,5,2,2024-02-24,23266,2023,643155,0,0,0,0,0.12462636083364487,0.12462636083364487,0
0,0,0,1,Sub,Borussia M.Gladbach,Darmstadt,0,0,2024-02-10,23245,2023,640068,0.016932649537920952,0,1,0,0,0,0
0,0,0,16,Sub,Union Berlin,Borussia M.Gladbach,3,1,2023-12-09,23183,2023,628627,0,0,0,0,0,0.31353703141212463,0.31353703141212463
0,0,0,5,Sub,Borussia M.Gladbach,Hoffenheim,2,1,2023-12-02,23177,2023,626571,0,0,0,0,0,0,0
0,1,0.0638817548751831,13,Sub,Borussia M.Gladbach,FC Heidenheim,2,1,2023-10-28,23141,2023,619689,0.052701957523822784,0,1,0,0.0638817548751831,0.11658371239900589,0
0,0,0,1,Sub,Borussia M.Gladbach,Augsburg,2,0,2023-05-27,19643,2022,600124,0.10374300181865692,0,1,0,0,0.10374300181865692,0
0,0,0,3,Sub,Bayer Leverkusen,Borussia M.Gladbach,2,2,2023-05-21,19631,2022,599184,0,0,0,0,0,0,0
0,0,0,1,Sub,VfB Stuttgart,Borussia M.Gladbach,2,1,2023-04-29,19610,2022,592351,0,0,0,0,0,0,0
0,0,0,1,Sub,RasenBallsport Leipzig,Borussia M.Gladbach,3,0,2023-03-11,19550,2022,581164,0,0,0,0,0,0,0
0,0,0,1,Sub,Borussia M.Gladbach,Bayern Munich,3,2,2023-02-18,19525,2022,576305,0,0,0,0,0,0,0
0,0,0,1,Sub,Hertha Berlin,Borussia M.Gladbach,4,1,2023-02-12,19519,2022,575515,0,0,0,0,0,0,0
0,0,0,12,Sub,Augsburg,Borussia M.Gladbach,1,0,2023-01-25,19491,2022,571269,0,0,0,0,0,0,0
0,0,0,11,Sub,Borussia M.Gladbach,Bayer Leverkusen,2,3,2023-01-22,19481,2022,570701,0.12601600587368011,0,1,0,0,0.1171569973230362,0.1171569973230362
0,2,0.03316570073366165,43,Sub,Borussia M.Gladbach,Borussia Dortmund,4,2,2022-11-11,19472,2022,564057,0,0,0,0,0.03316570073366165,0.6211119890213013,0.6211119890213013
0,0,0,8,Sub,Bochum,Borussia M.Gladbach,2,1,2022-11-08,19465,2022,563296,0,0,0,0,0,0,0
1,1,0.08967330306768417,1,Sub,Borussia M.Gladbach,VfB Stuttgart,3,1,2022-11-04,19453,2022,561402,0,0,0,1,0.08967330306768417,0.08967330306768417,0
0,0,0,15,Sub,Union Berlin,Borussia M.Gladbach,2,1,2022-10-30,19443,2022,560929,0,0,0,0,0,0,0
0,0,0,1,Sub,Borussia M.Gladbach,Eintracht Frankfurt,1,3,2022-10-22,19437,2022,558457,0,0,0,0,0,0,0
0,0,0,1,Sub,Wolfsburg,Borussia M.Gladbach,2,2,2022-10-15,19428,2022,555865,0,0,0,0,0,0,0
0,0,0,3,Sub,Borussia M.Gladbach,FC Cologne,5,2,2022-10-09,19418,2022,554907,0.1014610007405281,0,1,0,0,0.1014610007405281,0
0,2,0.10480999946594238,13,Sub,Werder Bremen,Borussia M.Gladbach,5,1,2022-10-01,19413,2022,552575,0,0,0,0,0.10480999946594238,0.08571109920740128,0
0,0,0,3,Sub,Borussia M.Gladbach,RasenBallsport Leipzig,3,0,2022-09-17,19401,2022,550841,0,0,0,0,0,0.3252989947795868,0.3252989947795868
0,1,0.03848490118980408,3,Sub,Bayern Munich,Borussia M.Gladbach,1,1,2022-08-27,19375,2022,544763,0.08349759876728058,0,1,0,0.03848490118980408,0.12198200076818466,0
0,0,0,1,Sub,Borussia M.Gladbach,Hertha Berlin,1,0,2022-08-19,19360,2022,542010,0,0,0,0,0,0,0
0,0,0,1,Sub,Schalke 04,Borussia M.Gladbach,2,2,2022-08-13,19357,2022,540915,0,0,0,0,0,0,0
0,0,0,1,Sub,Borussia M.Gladbach,Hoffenheim,3,1,2022-08-06,19344,2022,539286,0,0,0,0,0,0,0
0,1,0.45992401242256165,15,Sub,Borussia M.Gladbach,Hoffenheim,5,1,2022-05-14,17817,2021,535328,0,0,0,0,0.45992401242256165,0.45992401242256165,0
0,0,0,3,Sub,Eintracht Frankfurt,Borussia M.Gladbach,1,1,2022-05-08,17810,2021,533599,0,0,0,0,0,0,0
0,0,0,3,Sub,Freiburg,Borussia M.Gladbach,3,3,2022-04-23,17790,2021,528577,0.038637999445199966,1,1,0,0,0.038637999445199966,0.038637999445199966
0,0,0,1,Sub,Greuther Fuerth,Borussia M.Gladbach,0,2,2022-04-09,17768,2021,524573,0,0,0,0,0,0,0
0,0,0,6,Sub,Borussia M.Gladbach,Wolfsburg,2,2,2022-02-26,17728,2021,515915,0,0,0,0,0,0,0
0,0,0,5,Sub,Borussia M.Gladbach,Augsburg,3,2,2022-02-12,17709,2021,512594,0,0,0,0,0,0.6815469861030579,0.6815469861030579
