id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
127544,41,BlockedShot,0.6940000152587891,0.5279999923706055,0.012648600153625011,Stefan Ilsanker,a,5242,FromCorner,2016,RightFoot,1335,Hoffenheim,RasenBallsport Leipzig,2,2,2016-08-28 19:30:00,,None
127549,56,MissedShots,0.754000015258789,0.42700000762939455,0.01990720070898533,Stefan Ilsanker,a,5242,OpenPlay,2016,RightFoot,1335,Hoffenheim,RasenBallsport Leipzig,2,2,2016-08-28 19:30:00,,None
130298,0,SavedShot,0.894000015258789,0.4209999847412109,0.0135733000934124,Stefan Ilsanker,a,5242,SetPiece,2016,Head,2824,Freiburg,RasenBallsport Leipzig,1,4,2016-11-25 23:30:00,Emil Forsberg,Aerial
130316,63,SavedShot,0.8540000152587891,0.6,0.031696200370788574,Stefan Ilsanker,a,5242,SetPiece,2016,Head,2824,Freiburg,RasenBallsport Leipzig,1,4,2016-11-25 23:30:00,Emil Forsberg,Chipped
130989,65,MissedShots,0.9069999694824219,0.4779999923706055,0.0789496973156929,Stefan Ilsanker,h,5242,FromCorner,2016,Head,3728,RasenBallsport Leipzig,Eintracht Frankfurt,3,0,2017-01-21 20:30:00,Marcel Halstenberg,Cross
132415,56,MissedShots,0.885,0.45099998474121095,0.03624660149216652,Stefan Ilsanker,h,5242,FromCorner,2016,Head,3769,RasenBallsport Leipzig,FC Cologne,3,1,2017-02-25 14:30:00,Emil Forsberg,Cross
132715,88,MissedShots,0.894000015258789,0.485,0.08926930278539658,Stefan Ilsanker,a,5242,FromCorner,2016,LeftFoot,3776,Augsburg,RasenBallsport Leipzig,2,2,2017-03-03 19:30:00,Timo Werner,Pass
134919,41,MissedShots,0.6769999694824219,0.2,0.0076191299594938755,Stefan Ilsanker,h,5242,OpenPlay,2016,RightFoot,3823,RasenBallsport Leipzig,Bayer Leverkusen,1,0,2017-04-08 14:30:00,,None
134938,9,SavedShot,0.8909999847412109,0.24700000762939453,0.029114700853824615,Stefan Ilsanker,a,5242,OpenPlay,2016,RightFoot,3862,Hertha Berlin,RasenBallsport Leipzig,1,4,2017-05-06 17:30:00,Marcel Sabitzer,Pass
184103,4,MissedShots,0.749000015258789,0.4640000152587891,0.018871599808335304,Stefan Ilsanker,a,5242,OpenPlay,2017,RightFoot,8402,Wolfsburg,RasenBallsport Leipzig,1,1,2017-12-12 17:30:00,,None
184167,33,BlockedShot,0.9530000305175781,0.5690000152587891,0.05601879954338074,Stefan Ilsanker,h,5242,FromCorner,2017,Head,8404,RasenBallsport Leipzig,Hertha Berlin,2,3,2017-12-17 17:00:00,Marcel Halstenberg,Aerial
197006,82,BlockedShot,0.7290000152587891,0.4809999847412109,0.01777159981429577,Stefan Ilsanker,a,5242,OpenPlay,2017,LeftFoot,8462,Eintracht Frankfurt,RasenBallsport Leipzig,2,1,2018-02-19 19:30:00,,Rebound
207494,83,SavedShot,0.9490000152587891,0.4909999847412109,0.6263039708137512,Stefan Ilsanker,h,5242,SetPiece,2017,RightFoot,8512,RasenBallsport Leipzig,Bayer Leverkusen,1,4,2018-04-09 18:30:00,Willi Orban,Pass
210321,26,MissedShots,0.9359999847412109,0.46900001525878904,0.06183350086212158,Stefan Ilsanker,h,5242,FromCorner,2017,OtherBodyPart,8530,RasenBallsport Leipzig,Hoffenheim,2,5,2018-04-21 13:30:00,Timo Werner,Aerial
255496,86,BlockedShot,0.759000015258789,0.4520000076293945,0.025340700522065163,Stefan Ilsanker,a,5242,OpenPlay,2018,RightFoot,10406,Augsburg,RasenBallsport Leipzig,0,0,2018-10-20 13:30:00,Diego Demme,Pass
255497,86,BlockedShot,0.899000015258789,0.46099998474121096,0.046111900359392166,Stefan Ilsanker,a,5242,FromCorner,2018,Head,10406,Augsburg,RasenBallsport Leipzig,0,0,2018-10-20 13:30:00,Marcel Sabitzer,Chipped
279013,6,MissedShots,0.924000015258789,0.5309999847412109,0.10645700246095657,Stefan Ilsanker,h,5242,FromCorner,2018,Head,10519,RasenBallsport Leipzig,Eintracht Frankfurt,0,0,2019-02-09 14:30:00,Marcel Halstenberg,Cross
279015,16,MissedShots,0.9490000152587891,0.505,0.3070850074291229,Stefan Ilsanker,h,5242,FromCorner,2018,RightFoot,10519,RasenBallsport Leipzig,Eintracht Frankfurt,0,0,2019-02-09 14:30:00,Marcel Halstenberg,CornerAwarded
333551,21,BlockedShot,0.919000015258789,0.5270000076293946,0.04508129879832268,Stefan Ilsanker,a,5242,FromCorner,2019,Head,12517,Paderborn,RasenBallsport Leipzig,2,3,2019-11-30 14:30:00,Christopher Nkunku,Aerial
335610,48,MissedShots,0.9,0.45799999237060546,0.02432839944958687,Stefan Ilsanker,h,5242,FromCorner,2019,Head,12521,RasenBallsport Leipzig,Hoffenheim,3,1,2019-12-07 14:30:00,,Aerial
337199,12,MissedShots,0.9519999694824218,0.605,0.020319700241088867,Stefan Ilsanker,a,5242,FromCorner,2019,Head,12532,Fortuna Duesseldorf,RasenBallsport Leipzig,0,3,2019-12-14 17:30:00,Dayotchanculle Upamecano,Aerial
337202,20,MissedShots,0.9319999694824219,0.5379999923706055,0.5417619943618774,Stefan Ilsanker,a,5242,SetPiece,2019,LeftFoot,12532,Fortuna Duesseldorf,RasenBallsport Leipzig,0,3,2019-12-14 17:30:00,Lukas Klostermann,None
337212,53,MissedShots,0.9290000152587891,0.48700000762939455,0.13988499343395233,Stefan Ilsanker,a,5242,SetPiece,2019,Head,12532,Fortuna Duesseldorf,RasenBallsport Leipzig,0,3,2019-12-14 17:30:00,Christopher Nkunku,Cross
337219,73,MissedShots,0.9130000305175782,0.47,0.0875181034207344,Stefan Ilsanker,a,5242,FromCorner,2019,Head,12532,Fortuna Duesseldorf,RasenBallsport Leipzig,0,3,2019-12-14 17:30:00,Marcel Halstenberg,Cross
363022,22,MissedShots,0.97,0.3890000152587891,0.09536190330982208,Stefan Ilsanker,h,5242,SetPiece,2019,RightFoot,12630,Eintracht Frankfurt,Borussia M.Gladbach,1,3,2020-05-16 16:30:00,,Rebound
363430,45,MissedShots,0.9469999694824218,0.37,0.0133670000359416,Stefan Ilsanker,h,5242,FromCorner,2019,Head,12646,Eintracht Frankfurt,Freiburg,3,3,2020-05-26 18:30:00,Sebastian Rode,Aerial
363801,80,Goal,0.9719999694824218,0.5309999847412109,0.5952439904212952,Stefan Ilsanker,a,5242,FromCorner,2019,RightFoot,12612,Werder Bremen,Eintracht Frankfurt,0,3,2020-06-03 18:30:00,Bas Dost,HeadPass
363804,89,Goal,0.94,0.544000015258789,0.40307098627090454,Stefan Ilsanker,a,5242,SetPiece,2019,Head,12612,Werder Bremen,Eintracht Frankfurt,0,3,2020-06-03 18:30:00,Jonathan de Guzmán,Cross
364677,4,BlockedShot,0.88,0.48,0.017749100923538208,Stefan Ilsanker,h,5242,FromCorner,2019,Head,12686,Eintracht Frankfurt,Schalke 04,2,1,2020-06-17 16:30:00,,Aerial
364693,68,MissedShots,0.7869999694824219,0.435,0.04056749865412712,Stefan Ilsanker,h,5242,OpenPlay,2019,RightFoot,12686,Eintracht Frankfurt,Schalke 04,2,1,2020-06-17 16:30:00,Sebastian Rode,Pass
377379,83,SavedShot,0.895,0.6140000152587891,0.02015409991145134,Stefan Ilsanker,h,5242,FromCorner,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Daichi Kamada,Cross
378551,10,MissedShots,0.730999984741211,0.3189999961853027,0.01314220018684864,Stefan Ilsanker,a,5242,FromCorner,2020,RightFoot,14182,Hertha Berlin,Eintracht Frankfurt,1,3,2020-09-25 18:30:00,,None
382583,57,MissedShots,0.7190000152587891,0.53,0.012556299567222595,Stefan Ilsanker,a,5242,OpenPlay,2020,RightFoot,15174,FC Cologne,Eintracht Frankfurt,1,1,2020-10-18 13:30:00,,None
384587,41,MissedShots,0.9890000152587891,0.629000015258789,0.06359930336475372,Stefan Ilsanker,h,5242,SetPiece,2020,LeftFoot,15189,Eintracht Frankfurt,Werder Bremen,1,1,2020-10-31 14:30:00,Martin Hinteregger,BallTouch
385972,65,MissedShots,0.9369999694824219,0.48700000762939455,0.12782500684261322,Stefan Ilsanker,a,5242,FromCorner,2020,Head,15195,VfB Stuttgart,Eintracht Frankfurt,2,2,2020-11-07 14:30:00,Daichi Kamada,Cross
388641,22,MissedShots,0.8730000305175781,0.59,0.07487370073795319,Stefan Ilsanker,a,5242,FromCorner,2020,RightFoot,15217,Union Berlin,Eintracht Frankfurt,3,3,2020-11-28 14:30:00,,Rebound
393952,86,Goal,0.8969999694824219,0.5259999847412109,0.46336299180984497,Stefan Ilsanker,a,5242,OpenPlay,2020,LeftFoot,15256,Augsburg,Eintracht Frankfurt,0,2,2020-12-19 14:30:00,Steven Zuber,Pass
408543,9,MissedShots,0.8980000305175782,0.46299999237060546,0.0192974004894495,Stefan Ilsanker,h,5242,FromCorner,2020,Head,15355,Eintracht Frankfurt,VfB Stuttgart,1,1,2021-03-06 14:30:00,Filip Kostic,Aerial
408562,85,BlockedShot,0.7469999694824219,0.295,0.01871499978005886,Stefan Ilsanker,h,5242,OpenPlay,2020,RightFoot,15355,Eintracht Frankfurt,VfB Stuttgart,1,1,2021-03-06 14:30:00,Djibril Sow,Pass
413767,47,MissedShots,0.894000015258789,0.48200000762939454,0.062113501131534576,Stefan Ilsanker,h,5242,SetPiece,2020,Head,15385,Eintracht Frankfurt,Wolfsburg,4,3,2021-04-10 13:30:00,Filip Kostic,Chipped
415337,23,SavedShot,0.8880000305175781,0.455,0.041193198412656784,Stefan Ilsanker,a,5242,FromCorner,2020,Head,15394,Borussia M.Gladbach,Eintracht Frankfurt,4,0,2021-04-17 13:30:00,Daichi Kamada,Cross
417413,57,SavedShot,0.9319999694824219,0.51,0.08471749722957611,Stefan Ilsanker,a,5242,FromCorner,2020,RightFoot,15412,Bayer Leverkusen,Eintracht Frankfurt,3,1,2021-04-24 16:30:00,Aymen Barkok,Aerial
464603,89,BlockedShot,0.7759999847412109,0.3729999923706055,0.01825840026140213,Stefan Ilsanker,a,5242,OpenPlay,2021,RightFoot,17757,RasenBallsport Leipzig,Eintracht Frankfurt,0,0,2022-03-20 14:30:00,,Rebound
