goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.4301014542579651,71,ML,Wolfsburg,Borussia M.Gladbach,0,0,2026-04-25,30502,2025,785325,0,0,0,0,0.4301014542579651,0.6044795513153076,0.17437812685966492
0,1,0.020900622010231018,90,DML,Union Berlin,Wolfsburg,1,2,2026-04-18,30492,2025,783143,0,0,0,0,0.020900622010231018,0.028548065572977066,0.028548065572977066
0,1,0.3744467794895172,87,DML,Wolfsburg,Eintracht Frankfurt,1,2,2026-04-11,30484,2025,781530,0,0,0,0,0.3744467794895172,0.5449161529541016,0.17046937346458435
0,0,0,3,Sub,VfB Stuttgart,Wolfsburg,4,0,2026-03-01,30438,2025,773983,0.08160262554883957,0,1,0,0,0.08160262554883957,0
0,0,0,1,Sub,FC Cologne,Wolfsburg,1,0,2026-01-30,30398,2025,766790,0,0,0,0,0,0,0
0,0,0,90,DL,Mainz 05,Wolfsburg,3,1,2026-01-24,30392,2025,765460,0,0,0,0,0,0,0
0,0,0,47,DL,Wolfsburg,FC Heidenheim,1,1,2026-01-17,30385,2025,763974,0,0,0,0,0,0.0465531200170517,0.0465531200170517
0,0,0,87,DL,Wolfsburg,St. Pauli,2,1,2026-01-14,30376,2025,763508,0.08534133434295654,0,2,0,0,0.49598047137260437,0.4106391370296478
0,0,0,90,DL,Wolfsburg,Freiburg,3,4,2025-12-20,30358,2025,758903,0.1608293503522873,0,2,0,0,0.16360069811344147,0.10242651402950287
0,0,0,90,DL,Borussia M.Gladbach,Wolfsburg,1,3,2025-12-13,30343,2025,757602,0,0,0,0,0,0.04868757352232933,0.04868757352232933
0,1,0.08204251527786255,90,DL,Wolfsburg,Union Berlin,3,1,2025-12-06,30333,2025,755848,0,0,0,0,0.08204251527786255,0.30180683732032776,0.2197643220424652
1,2,0.31813937425613403,90,DL,Eintracht Frankfurt,Wolfsburg,1,1,2025-11-30,30326,2025,754442,0.061490487307310104,0,1,1,0.31813937425613403,0.6957224607467651,0.3160926103591919
0,0,0,90,DL,Wolfsburg,Bayer Leverkusen,1,3,2025-11-22,30322,2025,751806,0.27030396461486816,0,4,0,0,0.27030396461486816,0
0,0,0,90,DL,Werder Bremen,Wolfsburg,2,1,2025-11-07,30313,2025,749719,0.13041748106479645,0,3,0,0,0.18094944953918457,0.0838170200586319
0,1,0.01292602252215147,90,DL,Wolfsburg,Hoffenheim,2,3,2025-11-02,30304,2025,749331,0,0,0,0,0.01292602252215147,0.16644573211669922,0.16644573211669922
0,1,0.5149303078651428,90,DL,Hamburger SV,Wolfsburg,0,1,2025-10-25,30292,2025,745789,0,0,0,0,0.5149303078651428,0.5717440247535706,0.056813713163137436
0,1,0.008115431293845177,90,DL,Wolfsburg,VfB Stuttgart,0,3,2025-10-18,30286,2025,744040,0.033904001116752625,0,1,0,0.008115431293845177,0.008115431293845177,0
0,0,0,1,Sub,Wolfsburg,RasenBallsport Leipzig,0,1,2025-09-27,30264,2025,740481,0,0,0,0,0,0,0
1,2,0.04801663011312485,90,DL,Wolfsburg,Mainz 05,1,1,2025-08-31,30239,2025,735748,0.1100708395242691,0,1,1,0.04801663011312485,0.35287952423095703,0.19479204714298248
0,0,0,90,DL,FC Heidenheim,Wolfsburg,1,3,2025-08-23,30225,2025,733093,0.11992887407541275,0,1,0,0,1.2040698528289795,1.0841410160064697
0,0,0,1,Sub,Augsburg,Bayer Leverkusen,1,0,2023-02-03,19511,2022,572884,0,0,0,0,0,0,0
