goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,3,Sub,Wolfsburg,Bayern Munich,0,1,2026-05-09,30520,2025,789015,0,0,0,0,0,0,0
0,0,0,80,DC,Bayern Munich,FC Heidenheim,3,3,2026-05-02,30504,2025,787002,0,0,0,0,0,0.4936496317386627,0.4936496317386627
0,0,0,9,Sub,Mainz 05,Bayern Munich,3,4,2026-04-25,30499,2025,785375,0,0,0,0,0,0,0
0,0,0,22,Sub,St. Pauli,Bayern Munich,0,5,2026-04-11,30482,2025,781897,0,0,0,0,0,0.23884819447994232,0.23884819447994232
0,0,0,58,DC,Freiburg,Bayern Munich,2,3,2026-04-04,30470,2025,780062,0,0,0,0,0,0.11555036902427673,0.11555036902427673
0,0,0,90,DC,Bayer Leverkusen,Bayern Munich,1,1,2026-03-14,30449,2025,776707,0,0,0,0,0,0.6969925165176392,0.6969925165176392
0,0,0,90,DC,Borussia Dortmund,Bayern Munich,2,3,2026-02-28,30434,2025,773534,0,0,0,0,0,0.32738086581230164,0.32738086581230164
0,0,0,1,Sub,Bayern Munich,Eintracht Frankfurt,3,2,2026-02-21,30422,2025,771576,0,0,0,0,0,0,0
0,0,0,90,DC,Werder Bremen,Bayern Munich,0,3,2026-02-14,30421,2025,770359,0,0,0,0,0,0.2659912109375,0.2659912109375
0,0,0,67,DC,Bayern Munich,Hoffenheim,5,1,2026-02-08,30404,2025,769393,0,0,0,0,0,1.4975999593734741,1.4975999593734741
0,1,0.13511602580547333,19,Sub,Hamburger SV,Bayern Munich,2,2,2026-01-31,30399,2025,767379,0,0,0,0,0.13511602580547333,0,0
0,0,0,90,DC,Bayern Munich,Augsburg,1,2,2026-01-24,30387,2025,765536,0.29601889848709106,0,1,0,0,0.45146170258522034,0.15544281899929047
1,1,0.07172201573848724,90,DC,RasenBallsport Leipzig,Bayern Munich,1,5,2026-01-17,30382,2025,764507,0,0,0,1,0.07172201573848724,0.5769017934799194,0.5769017934799194
0,0,0,79,DC,FC Cologne,Bayern Munich,1,3,2026-01-14,30370,2025,763616,0,0,0,0,0,0.09879351407289505,0.09879351407289505
0,0,0,90,DC,Bayern Munich,Wolfsburg,8,1,2026-01-11,30360,2025,763225,0.16072437167167664,1,2,0,0,0.8338801860809326,0.8338801860809326
0,2,0.3173377513885498,90,DC,FC Heidenheim,Bayern Munich,0,4,2025-12-21,30354,2025,759687,0,0,0,0,0.3173377513885498,0.3449360430240631,0.3449360430240631
0,1,0.011948689818382263,90,DC,Bayern Munich,St. Pauli,3,1,2025-11-29,30324,2025,753629,0,0,0,0,0.011948689818382263,1.0332306623458862,1.0212819576263428
0,0,0,90,DC,Bayern Munich,Freiburg,6,2,2025-11-22,30315,2025,751899,0,0,0,0,0,0.5893091559410095,0.5893091559410095
0,1,0.026027992367744446,90,DC,Union Berlin,Bayern Munich,2,2,2025-11-08,30312,2025,750056,0.13149677217006683,0,2,0,0.026027992367744446,0.42197662591934204,0.3342937231063843
0,0,0,90,DC,Bayern Munich,Bayer Leverkusen,3,0,2025-11-01,30297,2025,748644,0,0,0,0,0,0.08923152089118958,0.08923152089118958
0,0,0,90,DC,Bayern Munich,Borussia Dortmund,2,1,2025-10-18,30278,2025,744438,0,0,0,0,0,0.27757176756858826,0.27757176756858826
0,1,0.010985353030264378,90,DC,Eintracht Frankfurt,Bayern Munich,0,3,2025-10-04,30272,2025,742669,0,0,0,0,0.010985353030264378,0.03959836810827255,0.03959836810827255
1,1,0.09066862612962723,90,DC,Bayern Munich,Werder Bremen,4,0,2025-09-26,30260,2025,740218,0,0,0,1,0.09066862612962723,0.10053837299346924,0.10053837299346924
0,0,0,90,DC,Hoffenheim,Bayern Munich,1,4,2025-09-20,30255,2025,738481,0,0,0,0,0,0.40983134508132935,0.40983134508132935
0,0,0,90,DC,Bayern Munich,Hamburger SV,5,0,2025-09-13,30248,2025,737211,0,0,0,0,0,0.6764286160469055,0.6764286160469055
0,0,0,90,DC,Augsburg,Bayern Munich,2,3,2025-08-30,30238,2025,735331,0,0,0,0,0,0.5418536067008972,0.5418536067008972
