id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
27020,41,MissedShots,0.7440000152587891,0.26399999618530273,0.010182900354266167,Nicolas Höfler,a,4250,OpenPlay,2014,RightFoot,5368,Mainz 05,Freiburg,2,2,2014-11-22 14:30:00,,None
27219,45,SavedShot,0.825,0.6759999847412109,0.0363692007958889,Nicolas Höfler,h,4250,OpenPlay,2014,LeftFoot,5374,Freiburg,VfB Stuttgart,1,4,2014-11-28 19:30:00,Christian Günter,Pass
28283,17,BlockedShot,0.7880000305175782,0.34900001525878904,0.025997500866651535,Nicolas Höfler,h,4250,OpenPlay,2014,RightFoot,5326,Freiburg,Hamburger SV,0,0,2014-12-13 14:30:00,Sascha Riether,Pass
31993,34,BlockedShot,0.9119999694824219,0.4640000152587891,0.031919799745082855,Nicolas Höfler,h,4250,FromCorner,2014,Head,5255,Freiburg,Augsburg,2,0,2015-03-21 14:30:00,Jonathan Schmid,Aerial
127666,92,Goal,0.9369999694824219,0.5629999923706055,0.10416799783706665,Nicolas Höfler,a,4250,FromCorner,2016,Head,1334,Hertha Berlin,Freiburg,2,1,2016-08-28 17:30:00,Vincenzo Grifo,Cross
129910,24,SavedShot,0.769000015258789,0.3220000076293945,0.017527999356389046,Nicolas Höfler,a,4250,OpenPlay,2016,RightFoot,2817,Mainz 05,Freiburg,4,2,2016-11-19 18:30:00,Pascal Stenzel,Pass
130314,57,ShotOnPost,0.97,0.3920000076293945,0.09579460322856903,Nicolas Höfler,h,4250,FromCorner,2016,RightFoot,2824,Freiburg,RasenBallsport Leipzig,1,4,2016-11-25 23:30:00,,Rebound
130327,19,BlockedShot,0.750999984741211,0.5629999923706055,0.022960299625992775,Nicolas Höfler,a,4250,FromCorner,2016,RightFoot,3223,Ingolstadt,Freiburg,1,2,2016-12-21 23:00:00,Vincenzo Grifo,Pass
133398,70,MissedShots,0.7959999847412109,0.34200000762939453,0.03472629934549332,Nicolas Höfler,a,4250,OpenPlay,2016,RightFoot,3783,Eintracht Frankfurt,Freiburg,1,2,2017-03-05 14:30:00,Janik Haberer,Pass
133541,47,BlockedShot,0.8530000305175781,0.4620000076293945,0.07258260250091553,Nicolas Höfler,h,4250,SetPiece,2016,LeftFoot,3873,Freiburg,Ingolstadt,1,1,2017-05-13 14:30:00,,Rebound
