goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,7,Sub,Hamburger SV,Freiburg,3,2,2026-05-10,30515,2025,789273,0,0,0,0,0,0.05815192312002182,0.05815192312002182
0,0,0,5,Sub,Eintracht Frankfurt,Hamburger SV,1,2,2026-05-02,30506,2025,787059,0,0,0,0,0,0,0
0,0,0,17,Sub,Wolfsburg,Hamburger SV,1,2,2026-03-07,30448,2025,775249,0,0,0,0,0,0,0
0,0,0,19,Sub,Hamburger SV,RasenBallsport Leipzig,1,2,2026-03-01,30436,2025,774274,0,0,0,0,0,0,0
0,0,0,23,Sub,Mainz 05,Hamburger SV,1,1,2026-02-20,30426,2025,771367,0,0,0,0,0,0,0
0,0,0,14,Sub,Hamburger SV,Union Berlin,3,2,2026-02-14,30417,2025,770289,0.2370055764913559,0,1,0,0,0.2370055764913559,0
0,0,0,10,Sub,Hoffenheim,Hamburger SV,4,1,2025-12-13,30346,2025,757546,0.04328596591949463,0,1,0,0,0.04328596591949463,0
1,1,0.34577131271362305,5,Sub,Hamburger SV,Werder Bremen,3,2,2025-12-07,30337,2025,756698,0,0,0,1,0.34577131271362305,0.34577131271362305,0
0,1,0.023260023444890976,63,FW,Hamburger SV,Borussia Dortmund,1,1,2025-11-08,30309,2025,750109,0,0,0,0,0.023260023444890976,0.023260023444890976,0
0,0,0,28,Sub,FC Cologne,Hamburger SV,4,1,2025-11-02,30298,2025,749104,0,0,0,0,0,0,0
0,2,0.171591654419899,23,Sub,Hamburger SV,Wolfsburg,0,1,2025-10-25,30292,2025,745780,0,0,0,0,0.171591654419899,0.06981020420789719,0.02896745502948761
0,2,0.08825702965259552,13,Sub,RasenBallsport Leipzig,Hamburger SV,2,1,2025-10-18,30283,2025,744094,0,0,0,0,0.08825702965259552,0.08825702965259552,0.029946597293019295
0,0,0,33,Sub,Hamburger SV,St. Pauli,0,2,2025-08-29,30233,2025,734679,0,0,0,0,0,0.5349349975585938,0.5349349975585938
0,1,0.062158361077308655,15,Sub,Borussia M.Gladbach,Hamburger SV,0,0,2025-08-24,30232,2025,734131,0,0,0,0,0.062158361077308655,0.12203037738800049,0.059872016310691833
0,1,0.07160115987062454,20,Sub,RasenBallsport Leipzig,VfB Stuttgart,2,3,2025-05-17,28039,2024,727798,0,0,0,0,0.07160115987062454,0.07160115987062454,0
0,2,0.5267267823219299,17,Sub,Werder Bremen,RasenBallsport Leipzig,0,0,2025-05-10,28034,2024,725673,0.013778739608824253,0,1,0,0.5267267823219299,0.8229974508285522,0.28249192237854004
1,1,0.35123008489608765,19,Sub,RasenBallsport Leipzig,Bayern Munich,3,3,2025-05-03,28021,2024,724025,0,0,0,1,0.35123008489608765,0.35123008489608765,0
0,1,0.06952950358390808,1,Sub,RasenBallsport Leipzig,Holstein Kiel,1,1,2025-04-19,28003,2024,720216,0,0,0,0,0.06952950358390808,0.06952950358390808,0
0,0,0,11,Sub,Wolfsburg,RasenBallsport Leipzig,2,3,2025-04-11,27999,2024,718183,0.27953869104385376,0,2,0,0,0.8549261689186096,0.5753874778747559
1,3,0.695865273475647,7,Sub,RasenBallsport Leipzig,Hoffenheim,3,1,2025-04-05,27985,2024,716773,0,0,0,1,0.695865273475647,0.695865273475647,0
0,0,0,5,Sub,Borussia M.Gladbach,RasenBallsport Leipzig,1,0,2025-03-29,27980,2024,714863,0,0,0,0,0,0,0
0,0,0,11,Sub,Freiburg,RasenBallsport Leipzig,0,0,2025-03-08,27963,2024,711594,0.5596641898155212,0,2,0,0,0.5596641898155212,0
