id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
548306,70,MissedShots,0.78,0.33299999237060546,0.02481880411505699,Julian Justvan,a,8392,OpenPlay,2023,LeftFoot,23161,Augsburg,Hoffenheim,1,1,2023-11-11 14:30:00,Grischa Prömel,Pass
558989,61,Goal,0.8730000305175781,0.5059999847412109,0.08077386766672134,Julian Justvan,h,8392,OpenPlay,2023,LeftFoot,23226,Darmstadt,Eintracht Frankfurt,2,2,2024-01-20 14:30:00,,Rebound
560272,38,MissedShots,0.894000015258789,0.385,0.06136650592088699,Julian Justvan,a,8392,OpenPlay,2023,Head,23228,Union Berlin,Darmstadt,1,0,2024-01-28 14:30:00,Tim Skarke,Chipped
560296,88,BlockedShot,0.7219999694824218,0.514000015258789,0.014559026807546616,Julian Justvan,a,8392,FromCorner,2023,LeftFoot,23228,Union Berlin,Darmstadt,1,0,2024-01-28 14:30:00,,None
562432,71,MissedShots,0.7330000305175781,0.6370000076293946,0.019187357276678085,Julian Justvan,a,8392,OpenPlay,2023,LeftFoot,23245,Borussia M.Gladbach,Darmstadt,0,0,2024-02-10 14:30:00,Fabian Holland,TakeOn
563806,49,MissedShots,0.7880000305175782,0.19600000381469726,0.013583868741989136,Julian Justvan,h,8392,OpenPlay,2023,LeftFoot,23262,Darmstadt,VfB Stuttgart,1,2,2024-02-17 14:30:00,Christoph Zimmermann,HeadPass
563813,58,SavedShot,0.855999984741211,0.34200000762939453,0.05188314989209175,Julian Justvan,h,8392,OpenPlay,2023,LeftFoot,23262,Darmstadt,VfB Stuttgart,1,2,2024-02-17 14:30:00,Marvin Mehlem,Pass
563809,62,BlockedShot,0.8780000305175781,0.43,0.06755402684211731,Julian Justvan,h,8392,OpenPlay,2023,LeftFoot,23262,Darmstadt,VfB Stuttgart,1,2,2024-02-17 14:30:00,Emir Karic,Cross
565074,11,BlockedShot,0.775,0.6580000305175782,0.02174353413283825,Julian Justvan,a,8392,OpenPlay,2023,LeftFoot,23265,Werder Bremen,Darmstadt,1,1,2024-02-24 14:30:00,Marvin Mehlem,Pass
565080,32,Goal,0.7909999847412109,0.7080000305175781,0.011121315881609917,Julian Justvan,a,8392,OpenPlay,2023,LeftFoot,23265,Werder Bremen,Darmstadt,1,1,2024-02-24 14:30:00,Matthias Bader,Chipped
567965,51,BlockedShot,0.87,0.56,0.10143981873989105,Julian Justvan,a,8392,OpenPlay,2023,LeftFoot,23282,RasenBallsport Leipzig,Darmstadt,2,0,2024-03-09 14:30:00,Emir Karic,Pass
567966,51,SavedShot,0.8590000152587891,0.5209999847412109,0.06828055530786514,Julian Justvan,a,8392,OpenPlay,2023,RightFoot,23282,RasenBallsport Leipzig,Darmstadt,2,0,2024-03-09 14:30:00,,Rebound
572289,8,MissedShots,0.85,0.6509999847412109,0.05277440696954727,Julian Justvan,a,8392,OpenPlay,2023,RightFoot,23313,Mainz 05,Darmstadt,4,0,2024-04-06 13:30:00,Oscar Vilhelmsson,Pass
572293,21,MissedShots,0.72,0.5820000076293945,0.016815271228551865,Julian Justvan,a,8392,OpenPlay,2023,LeftFoot,23313,Mainz 05,Darmstadt,4,0,2024-04-06 13:30:00,Braydon Manu,Pass
577668,84,MissedShots,0.74,0.5420000076293945,0.01785108633339405,Julian Justvan,h,8392,OpenPlay,2023,LeftFoot,23343,Darmstadt,FC Heidenheim,0,1,2024-04-28 17:30:00,Mathias Honsak,Pass
580382,24,BlockedShot,0.79,0.3579999923706055,0.029079696163535118,Julian Justvan,h,8392,FromCorner,2023,LeftFoot,23361,Darmstadt,Hoffenheim,0,6,2024-05-12 13:30:00,Fabian Nürnberger,Pass
580398,73,BlockedShot,0.855999984741211,0.720999984741211,0.03094738908112049,Julian Justvan,h,8392,OpenPlay,2023,RightFoot,23361,Darmstadt,Hoffenheim,0,6,2024-05-12 13:30:00,Klaus Gjasula,TakeOn
