goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,6,Sub,Bayern Munich,FC Heidenheim,3,3,2026-05-02,30504,2025,787027,0,0,0,0,0,0,0
0,0,0,5,Sub,Borussia M.Gladbach,FC Heidenheim,2,2,2026-04-04,30468,2025,780040,0,0,0,0,0,0,0
0,0,0,27,Sub,Eintracht Frankfurt,FC Heidenheim,1,0,2026-03-14,30452,2025,776652,0,0,0,0,0,0.0514470636844635,0.0514470636844635
0,1,0.5720474720001221,5,Sub,Borussia Dortmund,FC Heidenheim,3,2,2026-02-01,30396,2025,767959,0.050615936517715454,0,1,0,0.5720474720001221,0.050615936517715454,0
0,1,0.05794448032975197,3,Sub,Wolfsburg,FC Heidenheim,1,1,2026-01-17,30385,2025,763996,0,0,0,0,0.05794448032975197,0.05794448032975197,0
0,1,0.031234851107001305,62,FW,Mainz 05,FC Heidenheim,2,1,2026-01-13,30373,2025,763434,0,0,0,0,0.031234851107001305,0.031234851107001305,0
0,0,0,3,Sub,FC Heidenheim,FC Cologne,2,2,2026-01-10,30364,2025,762793,0,0,0,0,0,0,0
0,0,0,23,Sub,FC Heidenheim,Bayern Munich,0,4,2025-12-21,30354,2025,759679,0.30809301137924194,0,1,0,0,0.30809301137924194,0
0,0,0,22,Sub,St. Pauli,FC Heidenheim,2,1,2025-12-13,30347,2025,757515,0,0,0,0,0,0,0
0,1,0.08877824991941452,32,FW,FC Heidenheim,Werder Bremen,2,2,2025-10-18,30281,2025,744015,0,0,0,0,0.08877824991941452,0,0
0,2,0.18250252306461334,90,FW,VfB Stuttgart,FC Heidenheim,1,0,2025-10-05,30275,2025,743195,0,0,0,0,0.18250252306461334,0.18250252306461334,0
1,1,0.0629906952381134,70,FW,FC Heidenheim,Augsburg,2,1,2025-09-27,30261,2025,740572,0.5550158619880676,1,1,1,0.0629906952381134,0.6180065274238586,0
0,3,0.24402466416358948,81,FW,Hamburger SV,FC Heidenheim,2,1,2025-09-20,30254,2025,738425,0.36034032702445984,0,1,0,0.24402466416358948,0.607413113117218,0.10937948524951935
0,1,0.13604898750782013,14,Sub,FC Heidenheim,Borussia Dortmund,0,2,2025-09-13,30244,2025,736729,0,0,0,0,0.13604898750782013,0,0
0,0,0,59,FW,RasenBallsport Leipzig,FC Heidenheim,2,0,2025-08-30,30235,2025,734937,0,0,0,0,0,0,0
0,0,0,17,Sub,FC Heidenheim,Wolfsburg,1,3,2025-08-23,30225,2025,733085,0,0,0,0,0,0,0
0,1,0.06314965337514877,43,Sub,Bochum,FC Heidenheim,2,0,2024-12-22,27875,2024,695807,0,0,0,0,0.06314965337514877,0.06314965337514877,0
0,0,0,42,Sub,FC Heidenheim,VfB Stuttgart,1,3,2024-12-15,27861,2024,694293,0,0,0,0,0,0.47398972511291504,0.47398972511291504
0,1,0.37499380111694336,69,FW,FC Heidenheim,Eintracht Frankfurt,0,4,2024-12-01,27843,2024,691020,0,0,0,0,0.37499380111694336,0.37499380111694336,0
0,0,0,22,Sub,Bayer Leverkusen,FC Heidenheim,5,2,2024-11-23,27832,2024,688323,0.02600497007369995,0,1,0,0,0.02600497007369995,0
0,0,0,13,Sub,Holstein Kiel,FC Heidenheim,1,0,2024-11-02,27822,2024,684773,0,0,0,0,0,0,0
0,1,0.04282812029123306,20,Sub,Borussia M.Gladbach,FC Heidenheim,3,2,2024-10-19,27803,2024,681126,0,0,0,0,0.04282812029123306,0.04282812029123306,0
0,0,0,67,FW,FC Heidenheim,RasenBallsport Leipzig,0,1,2024-10-06,27788,2024,680271,0,0,0,0,0,0.0850520133972168,0.0850520133972168
0,0,0,61,AML,Mainz 05,FC Heidenheim,0,2,2024-09-28,27781,2024,677704,0.06864528357982635,0,1,0,0,0.08031100034713745,0.011665715835988522
0,0,0,20,Sub,Borussia Dortmund,FC Heidenheim,4,2,2024-09-13,27760,2024,673230,0.07186885178089142,0,1,0,0,0.07186885178089142,0
0,1,0.087486632168293,3,Sub,Borussia M.Gladbach,Union Berlin,0,0,2024-04-28,23340,2023,657694,0,0,0,0,0.087486632168293,0.087486632168293,0
0,1,0.059022724628448486,29,Sub,Union Berlin,Bayern Munich,1,5,2024-04-20,23327,2023,655028,0,0,0,0,0.059022724628448486,0.059022724628448486,0
0,3,0.1731657236814499,67,FW,Augsburg,Union Berlin,2,0,2024-04-12,23323,2023,652781,0.5527137517929077,0,1,0,0.1731657236814499,0.7258794903755188,0.5527137517929077
0,0,0,37,Sub,Union Berlin,Bayer Leverkusen,0,1,2024-04-06,23309,2023,651630,0.02718728594481945,0,1,0,0,0.02718728594481945,0
0,2,0.37117159366607666,65,FW,Eintracht Frankfurt,Union Berlin,0,0,2024-03-30,23302,2023,649670,0,0,0,0,0.37117159366607666,0.4862403869628906,0.11506877094507217
0,2,0.11979464441537857,70,FW,Union Berlin,Werder Bremen,2,1,2024-03-16,23291,2023,648156,0.37407350540161133,0,1,0,0.11979464441537857,0.4938681721687317,0
0,1,0.06584955751895905,15,Sub,Union Berlin,FC Heidenheim,2,2,2024-02-24,23269,2023,643124,0.10993386805057526,0,1,0,0.06584955751895905,0.26212650537490845,0.08634309470653534
0,0,0,1,Sub,Union Berlin,Wolfsburg,1,0,2024-02-10,23248,2023,640189,0,0,0,0,0,0,0
0,1,0.07533290982246399,1,Sub,Union Berlin,Darmstadt,1,0,2024-01-28,23228,2023,637419,0,0,0,0,0.07533290982246399,0.07533290982246399,0
0,0,0,69,FW,Freiburg,Union Berlin,0,0,2024-01-13,23211,2023,634788,0,0,0,0,0,0.0387406162917614,0.0387406162917614
0,0,0,10,Sub,Bochum,Union Berlin,3,0,2023-12-16,23197,2023,630233,0,0,0,0,0,0,0
1,2,0.11296358704566956,12,Sub,Union Berlin,Borussia M.Gladbach,3,1,2023-12-09,23183,2023,628609,0,0,0,1,0.11296358704566956,0.11296358704566956,0
0,1,0.13220247626304626,9,Sub,Union Berlin,Augsburg,1,1,2023-11-25,23165,2023,624788,0,0,0,0,0.13220247626304626,0.13220247626304626,0
0,0,0,10,Sub,Werder Bremen,Union Berlin,2,0,2023-10-28,23142,2023,619797,0,0,0,0,0,0.026354355737566948,0.026354355737566948
0,0,0,16,Sub,FC Heidenheim,Union Berlin,1,0,2023-09-30,23112,2023,614532,0,0,0,0,0,0,0
0,1,0.02474464848637581,5,Sub,Union Berlin,Hoffenheim,0,2,2023-09-23,23106,2023,611973,0,0,0,0,0.02474464848637581,0.02474464848637581,0
0,0,0,2,Sub,Wolfsburg,Union Berlin,2,1,2023-09-16,23095,2023,610239,0,0,0,0,0,0.27579572796821594,0.27579572796821594
0,0,0,3,Sub,Union Berlin,RasenBallsport Leipzig,0,3,2023-09-03,23091,2023,609624,0,0,0,0,0,0,0
