h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.11281,2.51995,2.11281,1.0044,"{'att': 260, 'def': 16}","{'att': 238, 'def': 25}",3,4,4,1,1.0337,w,2023-08-20 13:30:00,1,0,0,3,1.1084100000000001
a,1.6379,2.59994,1.6379,2.59994,"{'att': 310, 'def': 22}","{'att': 97, 'def': 17}",4,5,4,1,0.7795000000000001,w,2023-08-26 13:30:00,1,0,0,3,-0.9620400000000002
h,0.17815,1.21402,0.17815,1.21402,"{'att': 438, 'def': 29}","{'att': 189, 'def': 27}",1,3,0,3,0.4213,l,2023-09-03 15:30:00,0,0,1,0,-1.03587
a,1.56941,0.566932,1.56941,0.566932,"{'att': 239, 'def': 24}","{'att': 321, 'def': 17}",3,4,1,2,2.1719999999999997,l,2023-09-16 13:30:00,0,0,1,0,1.002478
h,1.62442,2.15364,1.62442,1.39586,"{'att': 237, 'def': 17}","{'att': 240, 'def': 24}",5,3,0,2,0.9631,l,2023-09-23 13:30:00,0,0,1,0,0.22855999999999987
a,2.1613,0.542933,2.1613,0.542933,"{'att': 243, 'def': 22}","{'att': 249, 'def': 15}",9,3,0,1,2.5571,l,2023-09-30 13:30:00,0,0,1,0,1.618367
a,1.5245,1.76935,0.766724,1.76935,"{'att': 379, 'def': 25}","{'att': 151, 'def': 11}",8,4,2,4,1.1323,l,2023-10-07 13:30:00,0,0,1,0,-1.002626
h,0.573025,1.87513,0.573025,1.87513,"{'att': 355, 'def': 31}","{'att': 238, 'def': 9}",2,5,0,3,0.41459999999999997,l,2023-10-21 13:30:00,0,0,1,0,-1.302105
a,0.368624,0.690799,0.368624,0.690799,"{'att': 402, 'def': 22}","{'att': 245, 'def': 19}",6,7,0,2,0.9330999999999999,l,2023-10-28 13:30:00,0,0,1,0,-0.32217500000000004
h,1.066,1.56887,1.066,1.56887,"{'att': 324, 'def': 28}","{'att': 220, 'def': 17}",5,3,0,3,0.8445,l,2023-11-04 14:30:00,0,0,1,0,-0.5028699999999999
a,0.0283806,3.04223,0.0283806,3.04223,"{'att': 525, 'def': 5}","{'att': 218, 'def': 15}",0,10,0,4,0.0271,l,2023-11-12 14:30:00,0,0,1,0,-3.0138494
h,2.40798,1.84043,1.6502,1.08265,"{'att': 201, 'def': 26}","{'att': 376, 'def': 22}",9,2,1,1,1.7684,d,2023-11-25 14:30:00,0,1,0,1,0.56755
h,2.5675,1.03267,1.80972,1.03267,"{'att': 348, 'def': 25}","{'att': 182, 'def': 20}",10,2,3,1,2.4444000000000004,w,2023-12-09 14:30:00,1,0,0,3,0.77705
a,0.670719,3.57797,0.670719,2.8202,"{'att': 214, 'def': 14}","{'att': 234, 'def': 17}",6,9,0,3,0.0931,l,2023-12-16 14:30:00,0,0,1,0,-2.1494809999999998
h,1.86539,0.897866,1.86539,0.897866,"{'att': 324, 'def': 24}","{'att': 198, 'def': 24}",2,2,2,0,2.1749,w,2023-12-20 17:30:00,1,0,0,3,0.967524
a,0.424997,2.1675,0.424997,2.1675,"{'att': 410, 'def': 17}","{'att': 314, 'def': 17}",1,10,0,0,0.2536,d,2024-01-13 14:30:00,0,1,0,1,-1.742503
a,0.477644,2.172,0.477644,2.172,"{'att': 364, 'def': 9}","{'att': 175, 'def': 12}",2,15,0,1,0.258,l,2024-01-24 18:30:00,0,0,1,0,-1.6943560000000002
h,3.54733,1.00135,3.54733,1.00135,"{'att': 266, 'def': 26}","{'att': 282, 'def': 15}",8,7,1,0,2.7348,w,2024-01-28 14:30:00,1,0,0,3,2.54598
a,0.65912,1.7598,0.65912,1.7598,"{'att': 418, 'def': 13}","{'att': 223, 'def': 23}",5,7,0,2,0.5386,l,2024-02-04 16:30:00,0,0,1,0,-1.10068
a,1.53583,1.37814,1.53583,1.37814,"{'att': 116, 'def': 14}","{'att': 171, 'def': 25}",6,2,1,1,1.472,d,2024-02-07 17:30:00,0,1,0,1,0.1576900000000001
h,0.575454,1.08099,0.575454,1.08099,"{'att': 223, 'def': 17}","{'att': 191, 'def': 19}",4,9,1,0,0.8953,w,2024-02-10 14:30:00,1,0,0,3,-0.5055359999999999
a,2.1649,1.24508,2.1649,1.24508,"{'att': 396, 'def': 16}","{'att': 181, 'def': 20}",5,13,1,0,2.0913,w,2024-02-17 14:30:00,1,0,0,3,0.9198199999999999
h,1.20933,1.33022,1.20933,1.33022,"{'att': 191, 'def': 19}","{'att': 295, 'def': 22}",3,2,2,2,1.2541,d,2024-02-24 14:30:00,0,1,0,1,-0.12088999999999994
h,0.999042,1.63921,0.999042,1.63921,"{'att': 369, 'def': 27}","{'att': 206, 'def': 21}",6,8,0,2,0.8371,l,2024-03-02 14:30:00,0,0,1,0,-0.6401680000000001
a,0.839212,1.30933,0.839212,1.30933,"{'att': 523, 'def': 25}","{'att': 232, 'def': 21}",3,11,0,2,0.9526,l,2024-03-08 19:30:00,0,0,1,0,-0.47011800000000015
h,1.42836,0.833042,1.42836,0.833042,"{'att': 247, 'def': 37}","{'att': 240, 'def': 23}",5,2,2,1,1.8868999999999998,w,2024-03-16 14:30:00,1,0,0,3,0.5953180000000001
a,1.07679,1.3089,1.07679,1.3089,"{'att': 316, 'def': 21}","{'att': 190, 'def': 28}",3,19,0,0,1.1892,d,2024-03-30 14:30:00,0,1,0,1,-0.23211000000000004
h,0.269865,2.7617,0.269865,2.00393,"{'att': 363, 'def': 18}","{'att': 194, 'def': 20}",2,11,0,1,0.0859,l,2024-04-06 13:30:00,0,0,1,0,-1.734065
