id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
594686,33,MissedShots,0.8380000305175781,0.5829999923706055,0.05261797457933426,Aurèle Amenda,a,12955,SetPiece,2024,LeftFoot,27785,Holstein Kiel,Eintracht Frankfurt,2,4,2024-09-29 13:30:00,,None
648168,73,MissedShots,0.9209999847412109,0.5890000152587891,0.04961979389190674,Aurèle Amenda,a,12955,OpenPlay,2025,Head,30280,Freiburg,Eintracht Frankfurt,2,2,2025-10-19 13:30:00,Arthur Theate,Aerial
664786,64,OwnGoal,0.02700000047683716,0.67,0,Aurèle Amenda,h,12955,OpenPlay,2025,LeftFoot,30389,Eintracht Frankfurt,Hoffenheim,1,3,2026-01-24 14:30:00,,None
665988,49,MissedShots,0.9580000305175781,0.45599998474121095,0.32491087913513184,Aurèle Amenda,h,12955,FromCorner,2025,Head,30397,Eintracht Frankfurt,Bayer Leverkusen,1,3,2026-01-31 14:30:00,Ritsu Doan,Aerial
665998,88,MissedShots,0.9259999847412109,0.49700000762939456,0.05787071958184242,Aurèle Amenda,h,12955,FromCorner,2025,Head,30397,Eintracht Frankfurt,Bayer Leverkusen,1,3,2026-01-31 14:30:00,Ayoube Amaimouni-Echghouyab,Aerial
668645,49,SavedShot,0.9490000152587891,0.5,0.413394957780838,Aurèle Amenda,h,12955,FromCorner,2025,Head,30416,Eintracht Frankfurt,Borussia M.Gladbach,3,0,2026-02-14 14:30:00,Hugo Larsson,Aerial
673149,93,MissedShots,0.915,0.46599998474121096,0.05483973026275635,Aurèle Amenda,a,12955,SetPiece,2025,Head,30446,St. Pauli,Eintracht Frankfurt,0,0,2026-03-08 14:30:00,Jean Négoce,Aerial
677130,80,MissedShots,0.695,0.34799999237060547,0.014639554545283318,Aurèle Amenda,h,12955,OpenPlay,2025,RightFoot,30469,Eintracht Frankfurt,FC Cologne,2,2,2026-04-05 15:30:00,Arnaud Kalimuendo Muinga,Pass
677135,93,MissedShots,0.87,0.4490000152587891,0.021921982988715172,Aurèle Amenda,h,12955,OpenPlay,2025,Head,30469,Eintracht Frankfurt,FC Cologne,2,2,2026-04-05 15:30:00,Arnaud Kalimuendo Muinga,Aerial
679386,65,MissedShots,0.8859999847412109,0.575,0.02893855795264244,Aurèle Amenda,h,12955,FromCorner,2025,Head,30488,Eintracht Frankfurt,RasenBallsport Leipzig,1,3,2026-04-18 16:30:00,Farès Chaïbi,Cross
680958,12,SavedShot,0.9380000305175781,0.34599998474121096,0.0215266402810812,Aurèle Amenda,a,12955,SetPiece,2025,Head,30494,Augsburg,Eintracht Frankfurt,1,1,2026-04-25 13:30:00,Can Uzun,Cross
680988,81,MissedShots,0.895,0.47700000762939454,0.021433822810649872,Aurèle Amenda,a,12955,FromCorner,2025,Head,30494,Augsburg,Eintracht Frankfurt,1,1,2026-04-25 13:30:00,Ellyes Skhiri,Aerial
