goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,1,0.036517124623060226,61,AML,Hoffenheim,Werder Bremen,1,0,2026-05-09,30516,2025,788687,0,0,0,1,0.036517124623060226,0.47375378012657166,0.47375378012657166
1,5,0.29949381947517395,90,AML,Hoffenheim,VfB Stuttgart,3,3,2026-05-02,30508,2025,787072,0.8019437789916992,1,3,1,0.29949381947517395,1.2098816633224487,0.4798606336116791
0,3,0.31725457310676575,90,DML,Hamburger SV,Hoffenheim,1,2,2026-04-25,30497,2025,785771,0.8119245171546936,0,3,0,0.31725457310676575,1.0939892530441284,0.03901829198002815
0,0,0,66,AML,Hoffenheim,Borussia Dortmund,2,1,2026-04-18,30490,2025,783193,0.02102045901119709,0,1,0,0,0.02102045901119709,0
1,2,0.08445368707180023,90,ML,Augsburg,Hoffenheim,2,2,2026-04-10,30476,2025,781203,0.024070797488093376,0,1,1,0.08445368707180023,0.10852448642253876,0
0,3,0.2819459140300751,90,FW,Hoffenheim,Mainz 05,1,2,2026-04-04,30472,2025,779963,0.056163057684898376,1,2,0,0.2819459140300751,0.36008888483047485,0.021979929879307747
0,1,0.027689451351761818,77,ML,RasenBallsport Leipzig,Hoffenheim,5,0,2026-03-20,30464,2025,778075,0.12711101770401,0,1,0,0.027689451351761818,0.22921428084373474,0.07441379874944687
0,2,0.1777833104133606,90,ML,Hoffenheim,Wolfsburg,1,1,2026-03-14,30455,2025,776604,0.379085898399353,1,4,0,0.1777833104133606,1.2462742328643799,1.021978497505188
0,1,0.058481842279434204,90,AML,FC Heidenheim,Hoffenheim,2,4,2026-03-07,30443,2025,775151,1.0392544269561768,1,3,0,0.058481842279434204,1.4877408742904663,1.316123366355896
0,2,0.48461028933525085,90,ML,Hoffenheim,St. Pauli,0,1,2026-02-28,30437,2025,773162,0,0,0,0,0.48461028933525085,0.48461028933525085,0
0,4,0.35813549160957336,90,DML,FC Cologne,Hoffenheim,2,2,2026-02-21,30423,2025,771520,0.07616617530584335,0,1,0,0.35813549160957336,0.4569494426250458,0.03483382239937782
0,1,0.03871584311127663,77,FWL,Hoffenheim,Freiburg,3,0,2026-02-14,30418,2025,770320,0.1385158896446228,0,2,0,0.03871584311127663,0.21288083493709564,0.07436494529247284
0,1,0.4523773491382599,75,ML,Bayern Munich,Hoffenheim,5,1,2026-02-08,30404,2025,769414,0,0,0,0,0.4523773491382599,1.2888165712356567,0.8364392518997192
0,0,0,90,FWL,Hoffenheim,Union Berlin,3,1,2026-01-31,30400,2025,767018,0.4067477285861969,1,3,0,0,0.5174046754837036,0.11065694689750671
0,1,0.1191495731472969,21,Sub,Hoffenheim,Borussia M.Gladbach,5,1,2026-01-14,30372,2025,763580,0.44180089235305786,0,1,0,0.1191495731472969,0.5609504580497742,0
0,1,0.010674173943698406,69,ML,Hoffenheim,Hamburger SV,4,1,2025-12-13,30346,2025,757527,0.4538933038711548,1,1,0,0.010674173943698406,1.1565977334976196,0.6920301914215088
0,1,0.016120219603180885,83,FW,Borussia Dortmund,Hoffenheim,2,0,2025-12-07,30335,2025,756929,0.018361490219831467,0,1,0,0.016120219603180885,0.1261204332113266,0.10775893926620483
1,3,0.38487619161605835,61,FW,Hoffenheim,Augsburg,3,0,2025-11-29,30329,2025,753574,0.1466377079486847,0,2,1,0.38487619161605835,0.6131801605224609,0.13613788783550262
0,1,0.07907679677009583,81,FW,Mainz 05,Hoffenheim,1,1,2025-11-21,30319,2025,751547,0.0824127122759819,0,1,0,0.07907679677009583,0.2613740861415863,0.09988457709550858
0,0,0,78,DML,Hoffenheim,RasenBallsport Leipzig,3,1,2025-11-08,30310,2025,750073,0.10735680162906647,0,1,0,0,0.04428635537624359,0.04428635537624359
0,0,0,64,DML,Wolfsburg,Hoffenheim,2,3,2025-11-02,30304,2025,749346,0.04476306587457657,0,1,0,0,0.04476306587457657,0
0,0,0,69,AML,Hoffenheim,FC Heidenheim,3,1,2025-10-25,30293,2025,745746,1.2578704357147217,2,2,0,0,1.3541452884674072,0.09627486020326614
1,1,0.4228910505771637,79,ML,St. Pauli,Hoffenheim,0,3,2025-10-19,30284,2025,745113,0.10398758947849274,0,1,1,0.4228910505771637,0.5268786549568176,0
0,5,0.598075807094574,90,AML,Hoffenheim,FC Cologne,0,1,2025-10-03,30274,2025,741943,0.020357387140393257,0,1,0,0.598075807094574,0.6005976796150208,0.04372718930244446
0,0,0,90,AML,Freiburg,Hoffenheim,1,1,2025-09-28,30266,2025,741370,0,0,0,0,0,0.06275458633899689,0.06275458633899689
0,1,0.01842527464032173,90,MR,Hoffenheim,Bayern Munich,1,4,2025-09-20,30255,2025,738468,0.10385231673717499,0,2,0,0.01842527464032173,0.049133457243442535,0
0,1,0.10996674746274948,81,FWL,Union Berlin,Hoffenheim,2,4,2025-09-13,30247,2025,736649,0.312856525182724,0,1,0,0.10996674746274948,0.52691650390625,0.10409322381019592
0,3,0.5472062230110168,90,FWL,Hoffenheim,Eintracht Frankfurt,1,3,2025-08-30,30234,2025,734953,0.13223254680633545,0,3,0,0.5472062230110168,0.7101027965545654,0.030664004385471344
0,2,0.06710314750671387,90,ML,Bayer Leverkusen,Hoffenheim,1,2,2025-08-23,30226,2025,733065,0.0646873190999031,1,1,0,0.06710314750671387,0.24828453361988068,0.1164940744638443
0,1,0.08257436007261276,22,Sub,Hoffenheim,Bayern Munich,0,4,2025-05-17,28041,2024,727736,0,0,0,0,0.08257436007261276,0.0970563068985939,0.014481950551271439
0,3,0.13663330674171448,72,FW,Wolfsburg,Hoffenheim,2,2,2025-05-09,28035,2024,725388,0,0,0,0,0.13663330674171448,0.3115214705467224,0.17488817870616913
0,0,0,90,DML,Borussia M.Gladbach,Hoffenheim,4,4,2025-05-03,28027,2024,724004,0.211615651845932,0,4,0,0,0.19484667479991913,0.07288359105587006
0,3,0.09574075788259506,90,AMC,Hoffenheim,Borussia Dortmund,2,3,2025-04-26,28016,2024,722563,0,0,0,0,0.09574075788259506,0.09574075788259506,0
0,1,0.06473270803689957,65,AMC,Freiburg,Hoffenheim,3,2,2025-04-19,28007,2024,720166,0,0,0,0,0.06473270803689957,0.06473270803689957,0
0,0,0,70,AMR,Hoffenheim,Mainz 05,2,0,2025-04-12,27998,2024,718541,1.1149390935897827,2,2,0,0,1.1149390935897827,0
0,2,0.5349564552307129,84,AMR,RasenBallsport Leipzig,Hoffenheim,3,1,2025-04-05,27985,2024,716784,0.08994992077350616,1,3,0,0.5349564552307129,0.6249064207077026,0
0,5,0.7538199424743652,69,AMR,Hoffenheim,Augsburg,1,1,2025-03-29,27983,2024,714750,0.19999700784683228,0,2,0,0.7538199424743652,0.8436543941497803,0.08983439952135086
0,2,0.07392261177301407,18,Sub,St. Pauli,Hoffenheim,1,0,2025-03-14,27975,2024,712611,0,0,0,0,0.07392261177301407,0.07392261177301407,0
0,1,0.0509476363658905,8,Sub,Hoffenheim,FC Heidenheim,1,1,2025-03-09,27962,2024,712222,0.06420498341321945,0,1,0,0.0509476363658905,0.3550575077533722,0.3041098713874817
0,1,0.037802767008543015,5,Sub,Bochum,Hoffenheim,0,1,2025-03-01,27957,2024,709639,0,0,0,0,0.037802767008543015,0.037802767008543015,0
0,0,0,5,Sub,Hoffenheim,VfB Stuttgart,1,1,2025-02-23,27943,2024,708824,0.06400145590305328,0,1,0,0,0.06400145590305328,0
