goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.041828397661447525,90,MC,RasenBallsport Leipzig,St. Pauli,2,1,2026-05-09,30518,2025,788730,0.2350149005651474,1,1,0,0.041828397661447525,0.392597496509552,0.11575420945882797
0,1,0.07789502292871475,86,MC,St. Pauli,Mainz 05,1,2,2026-05-03,30509,2025,787780,0,0,1,0,0.07789502292871475,0,0
0,0,0,90,MC,FC Heidenheim,St. Pauli,2,0,2026-04-25,30498,2025,785400,0.033200569450855255,0,1,0,0,0.7005634903907776,0.6673629283905029
0,0,0,90,MC,St. Pauli,FC Cologne,1,1,2026-04-17,30491,2025,782915,0.11866379529237747,0,2,0,0,0.47282710671424866,0.411993145942688
0,1,0.06981750577688217,90,MC,Union Berlin,St. Pauli,1,1,2026-04-05,30474,2025,780616,0,0,0,0,0.06981750577688217,0,0
0,0,0,90,MC,St. Pauli,Freiburg,1,2,2026-03-22,30465,2025,779487,0,0,0,0,0,0.2149328589439392,0.2149328589439392
0,2,0.1202116459608078,90,MC,Borussia M.Gladbach,St. Pauli,2,0,2026-03-13,30450,2025,776366,0,0,0,0,0.1202116459608078,0.4622458815574646,0.342034250497818
0,2,0.09673254191875458,90,MC,St. Pauli,Eintracht Frankfurt,0,0,2026-03-08,30446,2025,775825,0,0,0,0,0.09673254191875458,0,0
0,1,0.04957672581076622,90,MC,Hoffenheim,St. Pauli,0,1,2026-02-28,30437,2025,773175,0,0,0,0,0.04957672581076622,0.06964641064405441,0.06964641064405441
0,0,0,81,MC,St. Pauli,Werder Bremen,2,1,2026-02-22,30428,2025,772398,0,0,0,0,0,0.08990529179573059,0.08990529179573059
0,1,0.06252807378768921,70,MC,Bayer Leverkusen,St. Pauli,4,0,2026-02-14,30414,2025,770238,0.026839200407266617,0,1,0,0.06252807378768921,0.08936727792024612,0.026839200407266617
0,1,0.061532072722911835,90,MC,St. Pauli,VfB Stuttgart,2,1,2026-02-07,30410,2025,768469,0.03127042576670647,0,1,0,0.061532072722911835,0.33723142743110657,0.33723142743110657
0,2,0.10228840261697769,16,Sub,Augsburg,St. Pauli,2,1,2026-01-31,30395,2025,767096,0,0,0,0,0.10228840261697769,0.20428413152694702,0.10199572890996933
0,0,0,11,Sub,St. Pauli,RasenBallsport Leipzig,1,1,2026-01-27,30365,2025,766711,0,0,0,0,0,0.07470016181468964,0.07470016181468964
0,0,0,20,Sub,St. Pauli,Hamburger SV,0,0,2026-01-23,30393,2025,765266,0,0,0,0,0,0,0
0,2,0.0943479910492897,90,MC,Mainz 05,St. Pauli,0,0,2025-12-21,30355,2025,759599,0,0,0,0,0.0943479910492897,0.1319980025291443,0.10790165513753891
0,1,0.08328650891780853,90,MC,St. Pauli,FC Heidenheim,2,1,2025-12-13,30347,2025,757495,0.3899043798446655,0,1,0,0.08328650891780853,0.47319087386131287,0
0,0,0,90,MC,FC Cologne,St. Pauli,1,1,2025-12-06,30336,2025,755804,0.019099129363894463,0,1,0,0,0.019099129363894463,0
0,1,0.02123495750129223,70,MC,Bayern Munich,St. Pauli,3,1,2025-11-29,30324,2025,753650,0.03809553012251854,0,1,0,0.02123495750129223,0.02123495750129223,0
0,0,0,67,MC,St. Pauli,Union Berlin,0,1,2025-11-23,30321,2025,752890,0.016468748450279236,0,1,0,0,0.016468748450279236,0
0,2,0.11302860081195831,21,Sub,Freiburg,St. Pauli,2,1,2025-11-09,30308,2025,750991,0,0,0,0,0.11302860081195831,0.20606929063796997,0.09304068982601166
0,0,0,2,Sub,St. Pauli,Borussia M.Gladbach,0,4,2025-11-01,30302,2025,748064,0,0,0,0,0,0,0
0,0,0,3,Sub,Eintracht Frankfurt,St. Pauli,2,0,2025-10-25,30291,2025,745828,0,0,0,0,0,0,0
0,2,0.21248401701450348,90,MC,Holstein Kiel,St. Pauli,1,2,2025-04-12,28002,2024,718463,0.1295327991247177,0,2,0,0.21248401701450348,0.1295327991247177,0
0,2,0.03013361059129238,90,MC,St. Pauli,Borussia M.Gladbach,1,1,2025-04-06,27993,2024,717641,0.08033978939056396,0,3,0,0.03013361059129238,0.16391976177692413,0.10437016934156418
0,2,0.07787570357322693,90,MC,Bayern Munich,St. Pauli,3,2,2025-03-29,27977,2024,714826,0,0,0,0,0.07787570357322693,0.11704421788454056,0.10075505077838898
0,4,0.35595566034317017,90,MC,St. Pauli,Hoffenheim,1,0,2025-03-14,27975,2024,712586,0.02906796708703041,0,1,0,0.35595566034317017,0.06595901399850845,0
0,3,0.07476645708084106,90,MC,Wolfsburg,St. Pauli,1,1,2025-03-08,27964,2024,711182,0.7377380728721619,1,1,0,0.07476645708084106,0.014564811252057552,0
0,1,0.065538190305233,90,MC,St. Pauli,Borussia Dortmund,0,2,2025-03-01,27956,2024,709646,0.007102825213223696,0,1,0,0.065538190305233,0.07250205427408218,0.06539922952651978
0,2,0.31442877650260925,90,MC,Mainz 05,St. Pauli,2,0,2025-02-22,27946,2024,707720,0.10252072662115097,0,2,0,0.31442877650260925,0.487603098154068,0.07065360993146896
0,1,0.07345251739025116,90,MC,St. Pauli,Freiburg,0,1,2025-02-15,27939,2024,706033,0,0,0,0,0.07345251739025116,0,0
0,2,0.20174852013587952,90,MC,RasenBallsport Leipzig,St. Pauli,2,0,2025-02-09,27923,2024,705295,0.06540695577859879,0,1,0,0.20174852013587952,0.06540695577859879,0.06540695577859879
0,0,0,90,MC,St. Pauli,Augsburg,1,1,2025-02-01,27915,2024,703270,0,0,0,0,0,0.6013520956039429,0.6013520956039429
0,1,0.05102846771478653,90,MC,St. Pauli,Union Berlin,3,0,2025-01-26,27907,2024,702239,0.3344082832336426,1,1,0,0.05102846771478653,0.49899864196777344,0.11356189101934433
0,0,0,90,MC,FC Heidenheim,St. Pauli,0,2,2025-01-18,27899,2024,699922,0,0,0,0,0,0,0
