goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.011264178901910782,90,DC,Borussia M.Gladbach,Wolfsburg,0,1,2025-05-17,28046,2024,727628,0.08056260645389557,0,1,0,0.011264178901910782,0.22469110786914825,0.132864311337471
0,1,0.054608553647994995,90,DC,Borussia M.Gladbach,Hoffenheim,4,4,2025-05-03,28027,2024,723986,0,0,0,0,0.054608553647994995,0.5259447693824768,0.5259447693824768
0,1,0.25873926281929016,90,DC,Holstein Kiel,Borussia M.Gladbach,4,3,2025-04-26,28020,2024,722541,0,0,0,0,0.25873926281929016,0.04799352213740349,0.04799352213740349
1,1,0.35924115777015686,90,DC,Borussia Dortmund,Borussia M.Gladbach,3,2,2025-04-20,28004,2024,721326,0,0,0,1,0.35924115777015686,0.35924115777015686,0
0,2,0.07014153897762299,90,DC,Borussia M.Gladbach,Freiburg,1,2,2025-04-12,28000,2024,718504,0,0,0,0,0.07014153897762299,0.12906353175640106,0.10609347373247147
1,1,0.025884948670864105,90,DC,St. Pauli,Borussia M.Gladbach,1,1,2025-04-06,27993,2024,717653,0,0,0,1,0.025884948670864105,0.11443834751844406,0.11443834751844406
0,1,0.060133788734674454,90,DC,Borussia M.Gladbach,RasenBallsport Leipzig,1,0,2025-03-29,27980,2024,714838,0,0,0,0,0.060133788734674454,0.06272033601999283,0.06272033601999283
0,0,0,90,DC,Werder Bremen,Borussia M.Gladbach,2,4,2025-03-15,27970,2024,712904,0,0,0,0,0,0.48464474081993103,0.48464474081993103
0,0,0,90,DC,FC Heidenheim,Borussia M.Gladbach,0,3,2025-03-01,27952,2024,709720,0,0,0,0,0,0.26610496640205383,0.26610496640205383
0,1,0.19330660998821259,90,DC,Borussia M.Gladbach,Augsburg,0,3,2025-02-22,27947,2024,707669,0,0,0,0,0.19330660998821259,0.44891947507858276,0.44891947507858276
0,0,0,90,DC,Union Berlin,Borussia M.Gladbach,1,2,2025-02-15,27937,2024,706106,0,0,0,0,0,1.1955076456069946,1.1955076456069946
0,1,0.019401080906391144,90,DC,Borussia M.Gladbach,Eintracht Frankfurt,1,1,2025-02-08,27929,2024,704939,0,0,0,0,0.019401080906391144,0.01960442028939724,0.01960442028939724
0,0,0,90,DC,VfB Stuttgart,Borussia M.Gladbach,1,2,2025-02-01,27917,2024,703250,0.27875038981437683,0,1,0,0,0.46556583046913147,0.18681544065475464
0,1,0.01859196648001671,90,DC,Bayer Leverkusen,Borussia M.Gladbach,3,1,2025-01-18,27895,2024,700250,0,0,0,0,0.01859196648001671,0,0
0,0,0,90,DC,Wolfsburg,Borussia M.Gladbach,5,1,2025-01-14,27891,2024,699037,0,0,0,0,0,0.108147531747818,0.108147531747818
0,0,0,90,DC,Borussia M.Gladbach,Bayern Munich,0,1,2025-01-11,27884,2024,698352,0,0,0,0,0,0.20677565038204193,0.20677565038204193
0,0,0,90,DC,Hoffenheim,Borussia M.Gladbach,1,2,2024-12-21,27872,2024,695151,0.03942731022834778,0,1,0,0,0,0
0,0,0,90,DC,Borussia M.Gladbach,Holstein Kiel,4,1,2024-12-14,27865,2024,693663,0.10627949237823486,0,1,0,0,0.6960813999176025,0.6960813999176025
0,1,0.012284921482205391,90,DC,Borussia M.Gladbach,Borussia Dortmund,1,1,2024-12-07,27854,2024,692439,0,0,0,0,0.012284921482205391,0,0
0,0,0,90,DC,Freiburg,Borussia M.Gladbach,3,1,2024-11-30,27845,2024,690129,0,0,0,0,0,0.47614434361457825,0.47614434361457825
0,1,0.043998800218105316,90,DC,Borussia M.Gladbach,St. Pauli,2,0,2024-11-24,27839,2024,689277,0.0683089941740036,0,2,0,0.043998800218105316,0.7355872392654419,0.6804738640785217
