id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
594676,2,BlockedShot,0.875,0.6320000076293946,0.07652762532234192,Lasse Rosenboom,h,12939,OpenPlay,2024,RightFoot,27785,Holstein Kiel,Eintracht Frankfurt,2,4,2024-09-29 13:30:00,Timo Becker,Pass
607037,64,SavedShot,0.8680000305175781,0.585,0.008871136233210564,Lasse Rosenboom,a,12939,SetPiece,2024,Head,27865,Borussia M.Gladbach,Holstein Kiel,4,1,2024-12-14 14:30:00,Alexander Bernhardsson,Aerial
608202,11,Goal,0.9030000305175782,0.425,0.40570613741874695,Lasse Rosenboom,h,12939,OpenPlay,2024,RightFoot,27876,Holstein Kiel,Augsburg,5,1,2024-12-21 14:30:00,Shuto Machino,Pass
614793,5,MissedShots,0.85,0.5109999847412109,0.09291549772024155,Lasse Rosenboom,a,12939,OpenPlay,2024,RightFoot,27918,Bayern Munich,Holstein Kiel,4,3,2025-02-01 14:30:00,Dominik Javorcek,Pass
620488,4,SavedShot,0.8969999694824219,0.46099998474121096,0.08378828316926956,Lasse Rosenboom,a,12939,OpenPlay,2024,Head,27955,Union Berlin,Holstein Kiel,0,1,2025-03-02 14:30:00,Shuto Machino,Cross
625540,9,SavedShot,0.9369999694824219,0.47299999237060547,0.5916392803192139,Lasse Rosenboom,a,12939,OpenPlay,2024,RightFoot,27990,Mainz 05,Holstein Kiel,1,1,2025-04-05 13:30:00,Steven Skrzybski,Pass
630215,33,MissedShots,0.9030000305175782,0.46900001525878904,0.4684377908706665,Lasse Rosenboom,h,12939,OpenPlay,2024,RightFoot,28020,Holstein Kiel,Borussia M.Gladbach,4,3,2025-04-26 13:30:00,Armin Gigovic,Pass
631960,30,MissedShots,0.8959999847412109,0.33799999237060546,0.0916253849864006,Lasse Rosenboom,a,12939,OpenPlay,2024,RightFoot,28025,Augsburg,Holstein Kiel,1,3,2025-05-04 13:30:00,Alexander Bernhardsson,Pass
632604,23,Goal,0.8769999694824219,0.4520000076293945,0.5476142764091492,Lasse Rosenboom,h,12939,OpenPlay,2024,RightFoot,28038,Holstein Kiel,Freiburg,1,2,2025-05-10 13:30:00,Shuto Machino,Throughball
632612,59,BlockedShot,0.92,0.500999984741211,0.07189450412988663,Lasse Rosenboom,h,12939,OpenPlay,2024,RightFoot,28038,Holstein Kiel,Freiburg,1,2,2025-05-10 13:30:00,Armin Gigovic,Aerial
634431,38,BlockedShot,0.9059999847412109,0.40700000762939453,0.08799665421247482,Lasse Rosenboom,a,12939,OpenPlay,2024,RightFoot,28040,Borussia Dortmund,Holstein Kiel,3,0,2025-05-17 13:30:00,,Rebound
