goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,7,Sub,FC Heidenheim,Bayer Leverkusen,3,3,2026-03-21,30462,2025,778422,0.060562897473573685,0,1,0,0,0,0
0,0,0,5,Sub,Freiburg,Bayer Leverkusen,3,3,2026-03-07,30442,2025,775124,0,0,0,0,0,0,0
0,0,0,90,DC,St. Pauli,Bochum,0,2,2025-05-17,28047,2024,727613,0,0,0,0,0,0.02862723171710968,0.02862723171710968
0,0,0,74,DC,Bochum,Mainz 05,1,4,2025-05-10,28037,2024,725585,0,0,0,0,0,0.11742847412824631,0.11742847412824631
0,0,0,90,DC,FC Heidenheim,Bochum,0,0,2025-05-02,28023,2024,723657,0.014431573450565338,0,1,0,0,0.36491820216178894,0.3504866063594818
0,0,0,82,DC,Bochum,Union Berlin,1,1,2025-04-27,28019,2024,723023,0,0,0,0,0,0.10593187063932419,0.10593187063932419
0,1,0.025369280949234962,90,DC,Werder Bremen,Bochum,1,0,2025-04-19,28006,2024,720317,0,0,0,0,0.025369280949234962,0.025369280949234962,0
0,1,0.031141215935349464,90,DC,Bochum,Augsburg,1,2,2025-04-12,28001,2024,718474,0,0,0,0,0.031141215935349464,0.24844086170196533,0.2172996550798416
0,1,0.018822118639945984,90,DC,Bochum,VfB Stuttgart,0,4,2025-04-05,27992,2024,716699,0,0,0,0,0.018822118639945984,0.13422274589538574,0.11540061980485916
0,1,0.008451307192444801,90,DC,Bayer Leverkusen,Bochum,3,1,2025-03-28,27976,2024,714479,0,0,0,0,0.008451307192444801,0.025161918252706528,0.016710611060261726
0,0,0,90,DR,Bochum,Eintracht Frankfurt,1,3,2025-03-16,27974,2024,713962,0.07918041199445724,1,2,0,0,0.07918041199445724,0
0,0,0,90,DC,Bayern Munich,Bochum,2,3,2025-03-08,27959,2024,711150,0,0,0,0,0,0.0904313176870346,0.0904313176870346
0,0,0,90,DC,Bochum,Hoffenheim,0,1,2025-03-01,27957,2024,709612,0,0,0,0,0,0.24066106975078583,0.24066106975078583
0,0,0,90,DMR,Wolfsburg,Bochum,1,1,2025-02-22,27945,2024,707749,0,0,0,0,0,0.3644677698612213,0.3644677698612213
0,1,0.016665136441588402,90,DR,Bochum,Borussia Dortmund,2,0,2025-02-15,27938,2024,706058,0,0,0,0,0.016665136441588402,0.6619467735290527,0.6619467735290527
0,0,0,81,DR,Bochum,Freiburg,0,1,2025-02-01,27914,2024,703138,0.08552616089582443,0,2,0,0,0.1578330546617508,0.1346496343612671
0,0,0,90,DC,Borussia M.Gladbach,Bochum,3,0,2025-01-25,27908,2024,701695,0,0,0,0,0,0.461540549993515,0.461540549993515
0,1,0.011957604438066483,90,DC,Bochum,RasenBallsport Leipzig,3,3,2025-01-18,27902,2024,699874,0,0,0,0,0.011957604438066483,0.39671844244003296,0.39671844244003296
0,0,0,19,DC,Mainz 05,Bochum,2,0,2025-01-11,27883,2024,698183,0,0,0,0,0,0,0
0,0,0,90,DC,Bochum,FC Heidenheim,2,0,2024-12-22,27875,2024,695783,0.15477634966373444,1,1,0,0,0.24163296818733215,0.08685661852359772
0,1,0.01998508907854557,90,DC,Union Berlin,Bochum,1,1,2024-12-14,27866,2024,693711,0.32879117131233215,0,1,0,0.01998508907854557,0.32879117131233215,0
0,0,0,90,DR,Bochum,Werder Bremen,0,1,2024-12-07,27855,2024,692068,0,0,0,0,0,0,0
0,0,0,47,DC,Augsburg,Bochum,1,0,2024-11-30,27846,2024,690158,0,0,0,0,0,0,0
0,1,0.01255981344729662,90,DC,VfB Stuttgart,Bochum,2,0,2024-11-23,27833,2024,688284,0,0,0,0,0.01255981344729662,0,0
0,1,0.013528422452509403,90,DC,Bochum,Bayer Leverkusen,1,1,2024-11-09,27830,2024,686545,0,0,0,0,0.013528422452509403,0,0
0,0,0,40,Sub,Eintracht Frankfurt,Bochum,7,2,2024-11-02,27817,2024,684839,0,0,0,0,0,0,0
0,0,0,63,DC,Bochum,Bayern Munich,0,5,2024-10-27,27812,2024,683849,0,0,0,0,0,0,0
0,0,0,90,DC,Borussia Dortmund,Bochum,4,2,2024-09-27,27778,2024,677295,0,0,0,0,0,0.3141355514526367,0.3141355514526367
0,0,0,8,Sub,Bochum,Borussia M.Gladbach,0,2,2024-08-31,27752,2024,671701,0,0,0,0,0,0,0
0,0,0,1,Sub,RasenBallsport Leipzig,Bochum,1,0,2024-08-24,27743,2024,667910,0,0,0,0,0,0,0
0,1,0.0279293991625309,79,DR,Werder Bremen,Bochum,4,1,2024-05-18,23368,2023,662664,0.06528099626302719,0,1,0,0.0279293991625309,0.0279293991625309,0
0,0,0,71,Sub,Bochum,Bayer Leverkusen,0,5,2024-05-12,23359,2023,661445,0,0,0,0,0,0,0
0,0,0,20,Sub,Union Berlin,Bochum,3,4,2024-05-05,23345,2023,659508,0,0,0,0,0,0,0
0,0,0,6,Sub,Bochum,FC Heidenheim,1,1,2024-04-13,23322,2023,653181,0,0,0,0,0,0.09799457341432571,0.09799457341432571
0,0,0,50,DR,Bochum,Freiburg,1,2,2024-03-10,23287,2023,647396,0.3032107949256897,0,1,0,0,0.3501289188861847,0.046918123960494995
0,0,0,59,DR,Bochum,Bayern Munich,3,2,2024-02-18,23260,2023,642564,0,0,0,0,0,0.08621794730424881,0.08621794730424881
0,2,0.04444181174039841,90,DR,Eintracht Frankfurt,Bochum,1,1,2024-02-10,23252,2023,639981,0,0,0,0,0.04444181174039841,0.09788849949836731,0.08328938484191895
0,1,0.029071224853396416,90,DR,Bochum,Augsburg,1,1,2024-02-03,23242,2023,638418,0.04193935543298721,0,1,0,0.029071224853396416,0.1023380383849144,0.03132745996117592
0,0,0,71,DR,Borussia Dortmund,Bochum,3,1,2024-01-28,23227,2023,637516,0,0,0,0,0,0.06483182311058044,0.06483182311058044
0,0,0,90,DR,Bochum,VfB Stuttgart,1,0,2024-01-20,23224,2023,635885,0,0,0,0,0,0,0
0,1,0.011323208920657635,6,Sub,Bochum,Werder Bremen,1,1,2024-01-14,23215,2023,635347,0,0,0,0,0.011323208920657635,0,0
0,0,0,1,Sub,Bayer Leverkusen,Bochum,4,0,2023-12-20,23202,2023,631933,0,0,0,0,0,0,0
0,0,0,70,DC,Bochum,Union Berlin,3,0,2023-12-16,23197,2023,630208,0,0,0,0,0,0.0130907092243433,0.0130907092243433
0,0,0,3,Sub,Hoffenheim,Bochum,3,1,2023-12-08,23187,2023,628286,0,0,0,0,0,0.05370307341217995,0.05370307341217995
0,0,0,7,Sub,Bochum,Wolfsburg,3,1,2023-12-02,23178,2023,626540,0,0,0,0,0,0,0
0,0,0,9,Sub,Darmstadt,Bochum,1,2,2023-11-03,23154,2023,621087,0.06977414339780807,0,1,0,0,0.06977414339780807,0
0,0,0,16,Sub,Wolfsburg,Bochum,4,0,2022-10-29,19446,2022,559918,0,0,0,0,0,0,0
0,0,0,2,Sub,Bochum,Union Berlin,2,1,2022-10-23,19438,2022,559040,0,0,0,0,0,0,0
0,0,0,90,DC,RasenBallsport Leipzig,Bochum,4,0,2022-10-01,19406,2022,552227,0,0,0,0,0,0,0
0,0,0,83,DC,Bochum,FC Cologne,1,1,2022-09-18,19403,2022,551561,0,0,0,0,0,0,0
