h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.51665,3.23588,1.51665,2.30665,"{'att': 313, 'def': 22}","{'att': 273, 'def': 15}",5,10,2,3,0.3707,l,2024-08-23 18:30:00,0,0,1,0,-0.7899999999999998
a,2.66887,0.918629,2.66887,0.918629,"{'att': 195, 'def': 13}","{'att': 348, 'def': 27}",9,6,2,0,2.6088,w,2024-08-31 13:30:00,1,0,0,3,1.750241
h,2.05136,2.7214,2.05136,2.7214,"{'att': 344, 'def': 35}","{'att': 223, 'def': 22}",7,7,1,3,0.9375,l,2024-09-14 13:30:00,0,0,1,0,-0.6700400000000002
a,1.19669,2.93252,1.19669,2.93252,"{'att': 201, 'def': 18}","{'att': 372, 'def': 13}",9,9,0,2,0.381,l,2024-09-21 16:30:00,0,0,1,0,-1.7358299999999998
h,1.38305,0.731164,1.38305,0.731164,"{'att': 171, 'def': 15}","{'att': 398, 'def': 27}",5,2,1,0,1.9318,w,2024-09-28 13:30:00,1,0,0,3,0.6518859999999999
a,0.807021,1.75524,0.807021,1.75524,"{'att': 105, 'def': 22}","{'att': 385, 'def': 44}",5,8,1,2,0.6523000000000001,l,2024-10-04 18:30:00,0,0,1,0,-0.9482189999999999
h,4.14976,1.89766,3.39198,1.13988,"{'att': 130, 'def': 18}","{'att': 294, 'def': 9}",15,5,3,2,2.5907,w,2024-10-19 13:30:00,1,0,0,3,2.2521000000000004
a,0.934033,1.45557,0.934033,1.45557,"{'att': 281, 'def': 21}","{'att': 252, 'def': 34}",6,17,1,1,0.9197000000000001,d,2024-10-25 18:30:00,0,1,0,1,-0.521537
h,2.95668,1.30211,2.95668,1.30211,"{'att': 314, 'def': 22}","{'att': 303, 'def': 23}",9,6,4,1,2.4324,w,2024-11-03 16:30:00,1,0,0,3,1.6545699999999999
a,1.31521,0.849803,1.31521,0.849803,"{'att': 363, 'def': 16}","{'att': 236, 'def': 30}",2,5,0,0,1.7646,d,2024-11-09 17:30:00,0,1,0,1,0.465407
h,2.99128,1.15234,2.99128,1.15234,"{'att': 296, 'def': 11}","{'att': 380, 'def': 20}",9,3,2,0,2.5524999999999998,w,2024-11-24 16:30:00,1,0,0,3,1.8389400000000002
a,1.27811,2.15426,1.27811,2.15426,"{'att': 270, 'def': 26}","{'att': 306, 'def': 17}",11,6,1,3,0.7257,l,2024-11-30 14:30:00,0,0,1,0,-0.8761499999999998
h,1.10194,1.58856,0.344165,1.58856,"{'att': 320, 'def': 19}","{'att': 213, 'def': 24}",4,6,1,1,0.9848999999999999,d,2024-12-07 17:30:00,0,1,0,1,-1.244395
h,2.33425,0.323948,2.33425,0.323948,"{'att': 256, 'def': 17}","{'att': 352, 'def': 27}",4,4,4,1,2.7207000000000003,w,2024-12-14 14:30:00,1,0,0,3,2.010302
a,0.490494,3.7229,0.490494,2.96513,"{'att': 335, 'def': 18}","{'att': 254, 'def': 26}",1,21,2,1,0.045700000000000005,w,2024-12-21 14:30:00,1,0,0,3,-2.474636
h,0.326195,4.47736,0.326195,3.71958,"{'att': 351, 'def': 22}","{'att': 208, 'def': 27}",3,12,0,1,0.011099999999999999,l,2025-01-11 17:30:00,0,0,1,0,-3.3933850000000003
a,0.856948,3.72762,0.856948,2.96984,"{'att': 192, 'def': 17}","{'att': 399, 'def': 22}",5,11,1,5,0.0808,l,2025-01-14 19:30:00,0,0,1,0,-2.112892
a,0.473935,2.08382,0.473935,1.32605,"{'att': 352, 'def': 15}","{'att': 329, 'def': 22}",0,8,1,3,0.2429,l,2025-01-18 17:30:00,0,0,1,0,-0.852115
h,2.93153,0.759449,2.05904,0.759449,"{'att': 219, 'def': 17}","{'att': 322, 'def': 27}",5,6,3,0,2.7279,w,2025-01-25 17:30:00,1,0,0,3,1.299591
a,1.96971,0.950734,1.96971,0.950734,"{'att': 289, 'def': 16}","{'att': 265, 'def': 26}",12,12,2,1,2.1527,w,2025-02-01 14:30:00,1,0,0,3,1.018976
h,0.656491,2.5487,0.656491,2.5487,"{'att': 280, 'def': 20}","{'att': 305, 'def': 17}",6,9,1,1,0.17880000000000001,d,2025-02-08 17:30:00,0,1,0,1,-1.8922090000000003
