goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Borussia Dortmund,Hamburger SV,3,2,2026-03-21,30460,2025,778795,0,0,0,0,0,0,0
0,0,0,21,Sub,Hamburger SV,FC Cologne,1,1,2026-03-14,30454,2025,777039,0.4664541184902191,0,2,0,0,0.07670661807060242,0
1,4,0.8298962712287903,73,AMC,Wolfsburg,Hamburger SV,1,2,2026-03-07,30448,2025,775246,0.03157608211040497,0,1,0,0.07211959362030029,0.14358097314834595,0.09546708315610886
0,0,0,21,Sub,Hamburger SV,Bayer Leverkusen,0,1,2026-03-04,30371,2025,774799,0.11854535341262817,0,1,0,0,0.13861267268657684,0.02006731554865837
0,0,0,19,Sub,Hamburger SV,RasenBallsport Leipzig,1,2,2026-03-01,30436,2025,774275,0,0,0,0,0,0,0
0,1,0.3092683255672455,14,Sub,Hamburger SV,Union Berlin,3,2,2026-02-14,30417,2025,770291,0,0,0,0,0.3092683255672455,0.5462738871574402,0.2370055764913559
0,0,0,17,Sub,St. Pauli,Hamburger SV,0,0,2026-01-23,30393,2025,765282,0,0,0,0,0,0,0
0,1,0.057556118816137314,80,FWL,Hamburger SV,Borussia M.Gladbach,0,0,2026-01-17,30380,2025,764042,0.11048594117164612,0,3,0,0.057556118816137314,0.27793946862220764,0.12828712165355682
0,0,0,59,FWL,Freiburg,Hamburger SV,2,1,2026-01-10,30363,2025,762775,0,0,0,0,0,0,0
0,1,0.028325321152806282,90,FWL,Hamburger SV,Werder Bremen,3,2,2025-12-07,30337,2025,756697,0.9667267799377441,0,5,0,0.028325321152806282,1.0689406394958496,0.07388859242200851
0,1,0.03814016282558441,90,FWL,Augsburg,Hamburger SV,1,0,2025-11-22,30314,2025,751953,0.22995661199092865,0,3,0,0.03814016282558441,0.26809677481651306,0
0,3,0.18988379836082458,90,FWL,Hamburger SV,Borussia Dortmund,1,1,2025-11-08,30309,2025,750110,0,0,0,0,0.18988379836082458,0.20283544063568115,0.06599646061658859
1,2,0.07719739526510239,90,AMC,FC Cologne,Hamburger SV,4,1,2025-11-02,30298,2025,749101,0.8543990254402161,0,4,1,0.07719739526510239,0.9865261316299438,0.05492967367172241
0,2,0.06825017184019089,90,FWL,Hamburger SV,Wolfsburg,0,1,2025-10-25,30292,2025,745779,0.597723662853241,0,5,0,0.06825017184019089,0.30364540219306946,0.14248520135879517
0,2,0.07604153454303741,90,FWL,RasenBallsport Leipzig,Hamburger SV,2,1,2025-10-18,30283,2025,744093,0.2249896228313446,0,2,0,0.07604153454303741,0.33739423751831055,0.11240460723638535
1,2,0.19251886010169983,72,FWL,Hamburger SV,Mainz 05,4,0,2025-10-05,30273,2025,743395,0.23274321854114532,0,4,1,0.19251886010169983,0.39568257331848145,0.053703080862760544
0,1,0.010600942187011242,90,FWL,Union Berlin,Hamburger SV,0,0,2025-09-28,30268,2025,741715,0,0,0,0,0.010600942187011242,0.20330461859703064,0.19270367920398712
0,4,0.2852271497249603,77,FWL,Hamburger SV,FC Heidenheim,2,1,2025-09-20,30254,2025,738409,0.14948022365570068,0,2,0,0.2852271497249603,0.2851160168647766,0.09553306549787521
0,0,0,33,Sub,Hamburger SV,St. Pauli,0,2,2025-08-29,30233,2025,734680,0,0,0,0,0,0,0
0,1,0.016960950568318367,15,Sub,Borussia M.Gladbach,Hamburger SV,0,0,2025-08-24,30232,2025,734132,0.062158361077308655,0,1,0,0.016960950568318367,0.1389913260936737,0.12203037738800049
0,1,0.04582979902625084,24,Sub,Amiens,Angers,0,2,2017-08-12,8578,2017,180207,0.0841393992304802,0,1,0,0.04582979902625084,0.05971140041947365,0.013881600461900234
