goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,49,DC,Werder Bremen,Augsburg,1,3,2026-05-02,30511,2025,786940,0,0,0,0,0,0,0
0,0,0,90,DC,VfB Stuttgart,Werder Bremen,1,1,2026-04-26,30501,2025,786082,0,0,0,0,0,0,0
0,0,0,90,DC,Werder Bremen,Hamburger SV,3,1,2026-04-18,30493,2025,783217,0,0,0,0,0,0.16005945205688477,0.16005945205688477
0,0,0,40,Sub,FC Cologne,Werder Bremen,3,1,2026-04-12,30478,2025,782362,0.02070680633187294,0,1,0,0,0.05357438325881958,0.03286757692694664
0,0,0,28,Sub,Wolfsburg,Werder Bremen,0,1,2026-03-21,30466,2025,778392,0,0,0,0,0,0,0
0,0,0,65,DC,Werder Bremen,Bayern Munich,0,3,2026-02-14,30421,2025,770344,0,0,0,0,0,0.08565327525138855,0.08565327525138855
0,1,0.04787332937121391,90,DC,Freiburg,Werder Bremen,1,0,2026-02-07,30407,2025,768543,0,0,0,0,0.04787332937121391,0.08782737702131271,0.0399540439248085
0,1,0.06733790785074234,90,DC,Werder Bremen,Borussia M.Gladbach,1,1,2026-01-31,30403,2025,766950,0,0,0,0,0.06733790785074234,0.21123012900352478,0.21123012900352478
0,1,0.03129439055919647,90,DC,Werder Bremen,Hoffenheim,0,2,2026-01-27,30367,2025,766734,0,0,0,0,0.03129439055919647,0.3735547363758087,0.34226036071777344
0,0,0,90,DC,Bayer Leverkusen,Werder Bremen,1,0,2026-01-24,30386,2025,765522,0.03644023463129997,0,2,0,0,0.23116792738437653,0.21510806679725647
0,0,0,90,DC,Werder Bremen,Eintracht Frankfurt,3,3,2026-01-16,30384,2025,763790,0,0,0,0,0,0.6810787916183472,0.6810787916183472
0,0,0,90,DC,Borussia Dortmund,Werder Bremen,3,0,2026-01-13,30369,2025,763460,0,0,0,0,0,0.058619312942028046,0.058619312942028046
0,0,0,62,DC,Werder Bremen,VfB Stuttgart,0,4,2025-12-14,30349,2025,758599,0,0,0,0,0,0.10174839943647385,0.10174839943647385
0,0,0,90,DC,Hamburger SV,Werder Bremen,3,2,2025-12-07,30337,2025,756706,0,0,0,0,0,0.06207263097167015,0.06207263097167015
0,0,0,90,DC,Werder Bremen,FC Cologne,1,1,2025-11-29,30331,2025,753474,0,0,0,0,0,0.3254454731941223,0.3254454731941223
0,0,0,90,DC,RasenBallsport Leipzig,Werder Bremen,2,0,2025-11-23,30320,2025,752721,0.07824495434761047,0,1,0,0,0.09146035462617874,0.013215400278568268
0,0,0,82,DC,Werder Bremen,Wolfsburg,2,1,2025-11-07,30313,2025,749702,0,0,0,0,0,0.09073062241077423,0.09073062241077423
0,0,0,82,DC,Mainz 05,Werder Bremen,1,1,2025-11-01,30300,2025,748166,0,0,0,0,0,0,0
0,0,0,90,DC,Werder Bremen,Union Berlin,1,0,2025-10-24,30295,2025,745399,0,0,0,0,0,0.06646387279033661,0.06646387279033661
0,0,0,90,DC,FC Heidenheim,Werder Bremen,2,2,2025-10-18,30281,2025,744025,0,0,0,0,0,0.49039599299430847,0.49039599299430847
0,1,0.49862417578697205,90,DC,Werder Bremen,St. Pauli,1,0,2025-10-04,30277,2025,742281,0,0,0,0,0.49862417578697205,0.18205122649669647,0.18205122649669647
0,0,0,90,DC,Bayern Munich,Werder Bremen,4,0,2025-09-26,30260,2025,740234,0.023545870557427406,0,1,0,0,0.08834908157587051,0.06480321288108826
0,0,0,90,DC,Werder Bremen,Freiburg,0,3,2025-09-20,30252,2025,738498,0.01740725338459015,0,1,0,0,0.17860949039459229,0.16120223701000214
0,1,0.014081895351409912,90,DC,Borussia M.Gladbach,Werder Bremen,0,4,2025-09-14,30250,2025,737857,0,0,0,0,0.014081895351409912,0,0
1,1,0.4709150195121765,90,DC,Werder Bremen,Bayer Leverkusen,3,3,2025-08-30,30236,2025,734978,0,0,0,1,0.4709150195121765,0.2180737555027008,0.2180737555027008
0,0,0,10,Sub,Eintracht Frankfurt,Werder Bremen,4,1,2025-08-23,30228,2025,733164,0.017380883917212486,0,1,0,0,0.017380883917212486,0.017380883917212486
