id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
536052,85,BlockedShot,0.7780000305175782,0.6990000152587891,0.018181875348091125,Merlin Röhl,a,11331,OpenPlay,2023,RightFoot,23088,VfB Stuttgart,Freiburg,5,0,2023-09-02 13:30:00,Kenneth Schmidt,Pass
546289,45,SavedShot,0.860999984741211,0.3320000076293945,0.044617749750614166,Merlin Röhl,a,11331,OpenPlay,2023,RightFoot,23139,Bayer Leverkusen,Freiburg,2,1,2023-10-29 16:30:00,,None
546767,1,SavedShot,0.914000015258789,0.595,0.3309134244918823,Merlin Röhl,h,11331,OpenPlay,2023,RightFoot,23148,Freiburg,Borussia M.Gladbach,3,3,2023-11-04 14:30:00,Lucas Höler,HeadPass
546773,20,MissedShots,0.9080000305175782,0.40700000762939453,0.08565512299537659,Merlin Röhl,h,11331,OpenPlay,2023,Head,23148,Freiburg,Borussia M.Gladbach,3,3,2023-11-04 14:30:00,Matthias Ginter,Cross
546783,57,BlockedShot,0.799000015258789,0.5379999923706055,0.04773063212633133,Merlin Röhl,h,11331,OpenPlay,2023,RightFoot,23148,Freiburg,Borussia M.Gladbach,3,3,2023-11-04 14:30:00,Jordy Makengo,Pass
549215,50,Goal,0.899000015258789,0.6270000076293946,0.10329854488372803,Merlin Röhl,a,11331,OpenPlay,2023,RightFoot,23156,RasenBallsport Leipzig,Freiburg,3,1,2023-11-12 19:30:00,Matthias Ginter,TakeOn
549221,73,BlockedShot,0.84,0.23399999618530273,0.021752243861556053,Merlin Röhl,a,11331,OpenPlay,2023,RightFoot,23156,RasenBallsport Leipzig,Freiburg,3,1,2023-11-12 19:30:00,Kiliann Sildillia,Pass
551815,26,BlockedShot,0.8959999847412109,0.585999984741211,0.08759314566850662,Merlin Röhl,a,11331,OpenPlay,2023,RightFoot,23176,Mainz 05,Freiburg,0,1,2023-12-03 14:30:00,Kiliann Sildillia,Chipped
554871,10,MissedShots,0.8040000152587891,0.649000015258789,0.03145505487918854,Merlin Röhl,h,11331,OpenPlay,2023,RightFoot,23193,Freiburg,FC Cologne,2,0,2023-12-17 14:30:00,Vincenzo Grifo,Pass
554883,71,SavedShot,0.9690000152587891,0.43099998474121093,0.4241820275783539,Merlin Röhl,h,11331,OpenPlay,2023,Head,23193,Freiburg,FC Cologne,2,0,2023-12-17 14:30:00,Roland Sallai,Cross
554885,78,MissedShots,0.9309999847412109,0.504000015258789,0.14582324028015137,Merlin Röhl,h,11331,OpenPlay,2023,Head,23193,Freiburg,FC Cologne,2,0,2023-12-17 14:30:00,Noah Weißhaupt,Cross
554886,81,BlockedShot,0.914000015258789,0.5820000076293945,0.13901203870773315,Merlin Röhl,h,11331,OpenPlay,2023,LeftFoot,23193,Freiburg,FC Cologne,2,0,2023-12-17 14:30:00,Roland Sallai,Throughball
554889,85,MissedShots,0.9180000305175782,0.47299999237060547,0.5460970401763916,Merlin Röhl,h,11331,OpenPlay,2023,RightFoot,23193,Freiburg,FC Cologne,2,0,2023-12-17 14:30:00,,None
554890,88,BlockedShot,0.8209999847412109,0.5270000076293946,0.07252412289381027,Merlin Röhl,h,11331,OpenPlay,2023,LeftFoot,23193,Freiburg,FC Cologne,2,0,2023-12-17 14:30:00,,None
554893,89,BlockedShot,0.905,0.46599998474121096,0.12312017381191254,Merlin Röhl,h,11331,FromCorner,2023,RightFoot,23193,Freiburg,FC Cologne,2,0,2023-12-17 14:30:00,,Rebound
555691,53,SavedShot,0.8419999694824218,0.48900001525878906,0.07442376762628555,Merlin Röhl,a,11331,OpenPlay,2023,LeftFoot,23208,FC Heidenheim,Freiburg,3,2,2023-12-20 19:30:00,Lucas Höler,HeadPass
558057,4,MissedShots,0.9,0.46700000762939453,0.09913534671068192,Merlin Röhl,h,11331,OpenPlay,2023,Head,23211,Freiburg,Union Berlin,0,0,2024-01-13 14:30:00,Vincenzo Grifo,Cross
558065,44,SavedShot,0.9369999694824219,0.40700000762939453,0.43473145365715027,Merlin Röhl,h,11331,OpenPlay,2023,RightFoot,23211,Freiburg,Union Berlin,0,0,2024-01-13 14:30:00,,None
558076,82,SavedShot,0.8919999694824219,0.4929999923706055,0.06335300207138062,Merlin Röhl,h,11331,FromCorner,2023,RightFoot,23211,Freiburg,Union Berlin,0,0,2024-01-13 14:30:00,Maximilian Philipp,Cross
569965,23,MissedShots,0.8090000152587891,0.3240000152587891,0.029430069029331207,Merlin Röhl,h,11331,OpenPlay,2023,RightFoot,23292,Freiburg,Bayer Leverkusen,2,3,2024-03-17 14:30:00,Lucas Höler,Pass
569979,56,MissedShots,0.8819999694824219,0.519000015258789,0.06252484023571014,Merlin Röhl,h,11331,OpenPlay,2023,Head,23292,Freiburg,Bayer Leverkusen,2,3,2024-03-17 14:30:00,Christian Günter,Cross
570571,46,Goal,0.85,0.3320000076293945,0.04966692626476288,Merlin Röhl,a,11331,OpenPlay,2023,RightFoot,23303,Borussia M.Gladbach,Freiburg,0,3,2024-03-30 14:30:00,,Rebound
570578,73,MissedShots,0.830999984741211,0.3060000038146973,0.05188433825969696,Merlin Röhl,a,11331,OpenPlay,2023,RightFoot,23303,Borussia M.Gladbach,Freiburg,0,3,2024-03-30 14:30:00,Maximilian Eggestein,Pass
574281,53,MissedShots,0.7630000305175781,0.7030000305175781,0.019823765382170677,Merlin Röhl,a,11331,OpenPlay,2023,RightFoot,23325,Darmstadt,Freiburg,0,1,2024-04-14 13:30:00,Christian Günter,Pass
585958,32,SavedShot,0.9209999847412109,0.639000015258789,0.3435687720775604,Merlin Röhl,h,11331,OpenPlay,2024,LeftFoot,27745,Freiburg,VfB Stuttgart,3,1,2024-08-24 13:30:00,Vincenzo Grifo,Throughball
590671,16,BlockedShot,0.8530000305175781,0.7480000305175781,0.045611876994371414,Merlin Röhl,h,11331,OpenPlay,2024,RightFoot,27762,Freiburg,Bochum,2,1,2024-09-14 13:30:00,Patrick Osterhage,Pass
590673,21,SavedShot,0.860999984741211,0.62,0.0971459150314331,Merlin Röhl,h,11331,OpenPlay,2024,LeftFoot,27762,Freiburg,Bochum,2,1,2024-09-14 13:30:00,Max Rosenfelder,Pass
610658,23,BlockedShot,0.7769999694824219,0.22299999237060547,0.023672103881835938,Merlin Röhl,h,11331,OpenPlay,2024,RightFoot,27881,Freiburg,Holstein Kiel,3,2,2025-01-11 14:30:00,Maximilian Eggestein,Pass
610666,60,MissedShots,0.905,0.539000015258789,0.09257686138153076,Merlin Röhl,h,11331,OpenPlay,2024,OtherBodyPart,27881,Freiburg,Holstein Kiel,3,2,2025-01-11 14:30:00,Christian Günter,Aerial
610668,61,MissedShots,0.865999984741211,0.5579999923706055,0.02464745193719864,Merlin Röhl,h,11331,FromCorner,2024,Head,27881,Freiburg,Holstein Kiel,3,2,2025-01-11 14:30:00,Eren Sami Dinkci,Chipped
612225,52,MissedShots,0.7569999694824219,0.35900001525878905,0.017512934282422066,Merlin Röhl,a,11331,OpenPlay,2024,RightFoot,27896,VfB Stuttgart,Freiburg,4,0,2025-01-18 14:30:00,Patrick Osterhage,BallRecovery
613247,67,BlockedShot,0.91,0.5879999923706055,0.026049412786960602,Merlin Röhl,h,11331,OpenPlay,2024,Head,27912,Freiburg,Bayern Munich,1,2,2025-01-25 14:30:00,Lucas Höler,Chipped
614734,22,MissedShots,0.879000015258789,0.42900001525878906,0.3626944124698639,Merlin Röhl,a,11331,OpenPlay,2024,RightFoot,27914,Bochum,Freiburg,0,1,2025-02-01 14:30:00,,None
614744,46,MissedShots,0.8909999847412109,0.28399999618530275,0.046762172132730484,Merlin Röhl,a,11331,OpenPlay,2024,RightFoot,27914,Bochum,Freiburg,0,1,2025-02-01 14:30:00,Lucas Höler,Pass
617055,63,MissedShots,0.7380000305175781,0.634000015258789,0.019398000091314316,Merlin Röhl,a,11331,OpenPlay,2024,LeftFoot,27939,St. Pauli,Freiburg,0,1,2025-02-15 14:30:00,Ritsu Doan,Pass
620628,56,SavedShot,0.7909999847412109,0.295,0.024186842143535614,Merlin Röhl,a,11331,OpenPlay,2024,RightFoot,27954,Augsburg,Freiburg,0,0,2025-03-02 16:30:00,Vincenzo Grifo,Pass
641733,84,MissedShots,0.7340000152587891,0.47700000762939454,0.018728220835328102,Merlin Röhl,h,11331,SetPiece,2025,RightFoot,28812,Everton,Aston Villa,0,0,2025-09-13 14:00:00,James Garner,Pass
647643,76,MissedShots,0.9219999694824219,0.625999984741211,0.03656488656997681,Merlin Röhl,a,11331,OpenPlay,2025,Head,28853,Manchester City,Everton,2,0,2025-10-18 14:00:00,Iliman Ndiaye,Aerial
649821,77,MissedShots,0.9530000305175781,0.4879999923706055,0.07411415129899979,Merlin Röhl,h,11331,FromCorner,2025,Head,28863,Everton,Tottenham,0,3,2025-10-26 15:30:00,Kiernan Dewsbury-Hall,Aerial
659555,77,MissedShots,0.855,0.500999984741211,0.03080747462809086,Merlin Röhl,h,11331,OpenPlay,2025,OtherBodyPart,28941,Everton,Arsenal,0,1,2025-12-20 20:00:00,James Tarkowski,Aerial
660604,67,BlockedShot,0.8390000152587891,0.63,0.08638129383325577,Merlin Röhl,a,11331,OpenPlay,2025,LeftFoot,28965,Nottingham Forest,Everton,0,2,2025-12-30 19:30:00,Thierno Barry,Pass
661433,59,BlockedShot,0.8,0.47900001525878905,0.05651555210351944,Merlin Röhl,h,11331,OpenPlay,2025,RightFoot,28974,Everton,Brentford,2,4,2026-01-04 15:00:00,James Garner,Pass
664163,0,ShotOnPost,0.8619999694824219,0.4159999847412109,0.07757845520973206,Merlin Röhl,a,11331,OpenPlay,2025,RightFoot,28988,Aston Villa,Everton,0,1,2026-01-18 16:30:00,Thierno Barry,BallTouch
683328,80,BlockedShot,0.865999984741211,0.36400001525878906,0.07978962361812592,Merlin Röhl,h,11331,OpenPlay,2025,RightFoot,29123,Everton,Manchester City,3,3,2026-05-04 19:00:00,,Dispossessed
