goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.4820168912410736,90,AML,FC Cologne,FC Heidenheim,1,3,2026-05-10,30514,2025,789488,0,0,0,0,0.4820168912410736,1.0039594173431396,0.5219425559043884
1,2,0.155081108212471,78,FW,Union Berlin,FC Cologne,2,2,2026-05-02,30510,2025,787119,1.0384200811386108,0,2,1,0.155081108212471,1.1560955047607422,0
0,10,1.437048077583313,90,FW,FC Cologne,Bayer Leverkusen,1,2,2026-04-25,30496,2025,785420,0.5262895822525024,1,1,0,1.437048077583313,2.0475196838378906,0.1525024026632309
0,2,0.14504510164260864,90,FW,St. Pauli,FC Cologne,1,1,2026-04-17,30491,2025,782932,0,0,0,0,0.14504510164260864,0.2195615917444229,0.07451649010181427
1,2,0.8350955247879028,71,FW,FC Cologne,Werder Bremen,3,1,2026-04-12,30478,2025,782341,0.16978992521762848,0,2,0,0.07731886208057404,0.24162417650222778,0.0718342587351799
0,2,0.693493664264679,82,FW,Eintracht Frankfurt,FC Cologne,2,2,2026-04-05,30469,2025,780770,0.596684455871582,0,2,0,0.693493664264679,1.2901780605316162,0
1,3,0.18666768074035645,80,AML,FC Cologne,Borussia M.Gladbach,3,3,2026-03-21,30461,2025,778434,0,0,0,1,0.18666768074035645,0.2938665747642517,0.10719887912273407
1,2,0.5326529145240784,76,AML,Hamburger SV,FC Cologne,1,1,2026-03-14,30454,2025,777053,0,0,0,1,0.5326529145240784,0.09050651639699936,0.05355219915509224
0,1,0.08652178943157196,90,AML,FC Cologne,Borussia Dortmund,1,2,2026-03-07,30441,2025,775422,0.23964115977287292,0,3,0,0.08652178943157196,0.46405473351478577,0.2850821912288666
0,0,0,23,Sub,Augsburg,FC Cologne,2,0,2026-02-27,30431,2025,772815,0,0,0,0,0,0,0
1,3,0.5366448760032654,88,AMC,FC Cologne,Hoffenheim,2,2,2026-02-21,30423,2025,771507,0.0917358249425888,1,1,1,0.5366448760032654,0.6283807158470154,0.5534265637397766
0,1,0.047005269676446915,21,Sub,VfB Stuttgart,FC Cologne,3,1,2026-02-14,30420,2025,770527,0,0,0,0,0.047005269676446915,0.047005269676446915,0
0,3,0.6134299039840698,90,FW,FC Cologne,RasenBallsport Leipzig,1,2,2026-02-08,30406,2025,769183,0.06154454126954079,0,1,0,0.6134299039840698,0.6749744415283203,0.06154454126954079
0,2,0.35334640741348267,14,Sub,FC Cologne,Wolfsburg,1,0,2026-01-30,30398,2025,766772,0,0,0,0,0.35334640741348267,0.35334640741348267,0
0,1,0.04048555716872215,21,Sub,Freiburg,FC Cologne,2,1,2026-01-25,30390,2025,766453,0,0,0,0,0.04048555716872215,0.06418533623218536,0.02369977906346321
0,4,0.6112959384918213,90,FWL,FC Cologne,Mainz 05,2,1,2026-01-17,30379,2025,764073,0.08257749676704407,0,1,0,0.6112959384918213,0.7815109491348267,0.08763748407363892
0,1,0.366549015045166,90,FWL,FC Cologne,Bayern Munich,1,3,2026-01-14,30370,2025,763608,0,0,0,0,0.366549015045166,0.366549015045166,0
1,3,0.1716955602169037,40,Sub,FC Heidenheim,FC Cologne,2,2,2026-01-10,30364,2025,762810,0,0,0,1,0.1716955602169037,0.1716955602169037,0
0,1,0.04573636129498482,21,Sub,FC Cologne,Union Berlin,0,1,2025-12-20,30352,2025,759007,0,0,0,0,0.04573636129498482,0.04573636129498482,0
0,0,0,73,FWL,Bayer Leverkusen,FC Cologne,2,0,2025-12-13,30341,2025,757857,0,0,0,0,0,0,0
1,2,1.0695371627807617,82,FW,FC Cologne,St. Pauli,1,1,2025-12-06,30336,2025,755790,0,0,0,1,1.0695371627807617,1.0695371627807617,0
1,2,0.3946973383426666,90,FWL,Werder Bremen,FC Cologne,1,1,2025-11-29,30331,2025,753495,0.3922356069087982,0,3,1,0.3946973383426666,0.8414269685745239,0.05449400469660759
0,2,0.10060857981443405,20,Sub,FC Cologne,Eintracht Frankfurt,3,4,2025-11-22,30317,2025,752308,0.4948357045650482,1,1,0,0.10060857981443405,0.5954442620277405,0.4948357045650482
0,1,0.035951245576143265,49,FW,Borussia M.Gladbach,FC Cologne,3,1,2025-11-08,30306,2025,750432,0,0,0,0,0.035951245576143265,0.035951245576143265,0
1,4,1.2068498134613037,20,Sub,FC Cologne,Hamburger SV,4,1,2025-11-02,30298,2025,749088,0,0,0,1,1.2068498134613037,1.6369128227233887,0.46989041566848755
0,3,0.6140961647033691,73,FW,Borussia Dortmund,FC Cologne,1,0,2025-10-25,30290,2025,746142,0,0,0,0,0.6140961647033691,0.6140961647033691,0
1,1,0.0683504045009613,30,Sub,FC Cologne,Augsburg,1,1,2025-10-18,30279,2025,743988,0,0,0,1,0.0683504045009613,0.1487744301557541,0.08042402565479279
1,3,0.8878874778747559,78,AMC,Hoffenheim,FC Cologne,0,1,2025-10-03,30274,2025,741959,0,0,0,1,0.8878874778747559,0.9532591104507446,0.06537161022424698
0,3,0.11628454923629761,22,Sub,FC Cologne,VfB Stuttgart,1,2,2025-09-28,30267,2025,741542,0,0,0,0,0.11628454923629761,0.08060791343450546,0
0,3,0.10228344798088074,40,Sub,RasenBallsport Leipzig,FC Cologne,3,1,2025-09-20,30256,2025,738927,0,0,0,0,0.10228344798088074,0.1443726271390915,0.11615470051765442
0,2,0.08426574617624283,24,Sub,Wolfsburg,FC Cologne,3,3,2025-09-13,30246,2025,736869,0.4756518006324768,1,2,0,0.08426574617624283,0.5599175095558167,0
1,1,0.0911281481385231,17,Sub,FC Cologne,Freiburg,4,1,2025-08-31,30241,2025,736159,0,0,0,1,0.0911281481385231,0.1358805149793625,0.04475236311554909
0,1,0.031024577096104622,19,Sub,Mainz 05,FC Cologne,0,1,2025-08-24,30231,2025,733914,0.016822464764118195,0,1,0,0.031024577096104622,0.047847043722867966,0.016822464764118195
