goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,19,Sub,Mainz 05,Union Berlin,1,3,2026-05-10,30517,2025,789637,0,0,0,0,0,0.0847148522734642,0.0847148522734642
0,1,0.03341864049434662,74,AMC,Union Berlin,St. Pauli,1,1,2026-04-05,30474,2025,780605,0,0,0,0,0.03341864049434662,0.051045048981904984,0.051045048981904984
0,2,0.08299175649881363,28,Sub,Bayern Munich,Union Berlin,4,0,2026-03-21,30459,2025,778487,0,0,0,0,0.08299175649881363,0.08299175649881363,0
1,1,0.035327550023794174,26,Sub,Freiburg,Union Berlin,0,1,2026-03-15,30453,2025,777677,0,0,0,1,0.035327550023794174,0.035327550023794174,0
0,1,0.04945843294262886,21,Sub,Union Berlin,Werder Bremen,1,4,2026-03-08,30447,2025,776020,0,0,0,0,0.04945843294262886,0.04945843294262886,0
0,1,0.022472234442830086,72,AMC,Borussia M.Gladbach,Union Berlin,1,0,2026-02-28,30433,2025,773236,0,0,0,0,0.022472234442830086,0.019323553889989853,0.019323553889989853
0,0,0,75,AMC,Union Berlin,Bayer Leverkusen,1,0,2026-02-21,30429,2025,771477,0.11250918358564377,0,1,0,0,0.29184818267822266,0.29184818267822266
0,0,0,65,AMC,Hamburger SV,Union Berlin,3,2,2026-02-14,30417,2025,770303,0,0,0,0,0,0.07162833213806152,0.07162833213806152
0,0,0,78,FW,Union Berlin,Eintracht Frankfurt,1,1,2026-02-06,30411,2025,768254,0.08355531096458435,0,1,0,0,0.11860416829586029,0.03504885733127594
0,0,0,57,AMC,Hoffenheim,Union Berlin,3,1,2026-01-31,30400,2025,767032,0,0,0,0,0,0,0
0,1,0.042110078036785126,90,AMC,Union Berlin,Borussia Dortmund,0,3,2026-01-24,30394,2025,765816,0,0,0,0,0.042110078036785126,0,0
1,3,0.5028276443481445,14,Sub,VfB Stuttgart,Union Berlin,1,1,2026-01-18,30383,2025,764792,0,0,0,1,0.5028276443481445,0.5877684354782104,0.0849408283829689
0,2,0.07749348878860474,90,AMC,Augsburg,Union Berlin,1,1,2026-01-15,30368,2025,763749,0,0,0,0,0.07749348878860474,0.10009633749723434,0.07793977111577988
1,1,0.32479169964790344,18,Sub,Union Berlin,Mainz 05,2,2,2026-01-10,30366,2025,762953,0,0,0,1,0.32479169964790344,0.32479169964790344,0
0,1,0.0759693905711174,65,AMC,FC Cologne,Union Berlin,0,1,2025-12-20,30352,2025,759018,0,0,0,0,0.0759693905711174,0,0
0,1,0.018664758652448654,68,AMC,Union Berlin,RasenBallsport Leipzig,3,1,2025-12-12,30348,2025,757280,0.09119182080030441,1,1,0,0.018664758652448654,0.540806770324707,0.43095022439956665
0,2,0.324365496635437,60,FW,Wolfsburg,Union Berlin,3,1,2025-12-06,30333,2025,755870,0,0,0,0,0.324365496635437,0.31038716435432434,0
0,0,0,79,AMC,Union Berlin,FC Heidenheim,1,2,2025-11-29,30330,2025,753448,0,0,0,0,0,0,0
0,0,0,14,Sub,St. Pauli,Union Berlin,0,1,2025-11-23,30321,2025,752914,0,0,0,0,0,0,0
0,0,0,7,Sub,Union Berlin,Bayern Munich,2,2,2025-11-08,30312,2025,750052,0,0,0,0,0,0,0
0,0,0,9,Sub,Werder Bremen,Union Berlin,1,0,2025-10-24,30295,2025,745427,0.028805125504732132,0,1,0,0,0.02103457599878311,0.02103457599878311
0,1,0.06399636715650558,18,Sub,Union Berlin,Borussia M.Gladbach,3,1,2025-10-17,30285,2025,743679,0.025380438193678856,0,1,0,0.06399636715650558,0.16492332518100739,0.1009269580245018
0,2,0.10512825846672058,72,AMC,Bayer Leverkusen,Union Berlin,2,0,2025-10-04,30269,2025,742391,0,0,0,0,0.10512825846672058,0.3054066598415375,0.2150755375623703
0,0,0,1,Sub,Union Berlin,Hamburger SV,0,0,2025-09-28,30268,2025,741704,0,0,0,0,0,0,0
0,1,0.08563315123319626,4,Sub,Eintracht Frankfurt,Union Berlin,3,4,2025-09-21,30257,2025,739403,0,0,0,0,0.08563315123319626,0.08563315123319626,0
0,0,0,14,Sub,Union Berlin,Hoffenheim,2,4,2025-09-13,30247,2025,736638,0,0,0,0,0,0,0
0,0,0,22,Sub,Borussia Dortmund,Union Berlin,3,0,2025-08-31,30240,2025,735993,0.0856994166970253,0,1,0,0,0.0856994166970253,0
0,0,0,7,FWR,Freiburg,Union Berlin,1,2,2025-03-30,27982,2024,715425,0,0,0,0,0,0,0
0,0,0,83,ML,Union Berlin,Bayern Munich,1,1,2025-03-15,27973,2024,712839,0,0,0,0,0,0,0
