id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
586137,12,MissedShots,0.805,0.6559999847412109,0.02145395055413246,Yukinari Sugawara,h,12761,FromCorner,2024,LeftFoot,26616,Southampton,Nottingham Forest,0,1,2024-08-24 14:00:00,,None
589157,44,SavedShot,0.8009999847412109,0.5720000076293945,0.0280403234064579,Yukinari Sugawara,a,12761,FromCorner,2024,RightFoot,26623,Brentford,Southampton,3,1,2024-08-31 14:00:00,,None
589173,89,MissedShots,0.7919999694824219,0.73,0.054524488747119904,Yukinari Sugawara,a,12761,DirectFreekick,2024,RightFoot,26623,Brentford,Southampton,3,1,2024-08-31 14:00:00,,Standard
589178,94,Goal,0.8669999694824219,0.36200000762939455,0.023449387401342392,Yukinari Sugawara,a,12761,OpenPlay,2024,LeftFoot,26623,Brentford,Southampton,3,1,2024-08-31 14:00:00,Adam Lallana,HeadPass
590474,22,BlockedShot,0.904000015258789,0.27,0.03414851799607277,Yukinari Sugawara,h,12761,OpenPlay,2024,LeftFoot,26632,Southampton,Manchester United,0,3,2024-09-14 11:30:00,Tyler Dibling,TakeOn
601506,93,MissedShots,0.9119999694824219,0.28200000762939453,0.03260114789009094,Yukinari Sugawara,a,12761,OpenPlay,2024,RightFoot,26711,Wolverhampton Wanderers,Southampton,2,0,2024-11-09 15:00:00,,None
607797,88,BlockedShot,0.9059999847412109,0.23899999618530274,0.019882015883922577,Yukinari Sugawara,h,12761,OpenPlay,2024,RightFoot,26759,Southampton,Tottenham,0,5,2024-12-15 19:00:00,,None
608641,60,BlockedShot,0.7930000305175782,0.405,0.023647576570510864,Yukinari Sugawara,a,12761,FromCorner,2024,RightFoot,26763,Fulham,Southampton,0,0,2024-12-22 14:00:00,,None
609170,42,BlockedShot,0.86,0.28,0.035514917224645615,Yukinari Sugawara,h,12761,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Mateus Fernandes,Pass
617228,65,SavedShot,0.79,0.24799999237060547,0.015062692575156689,Yukinari Sugawara,h,12761,OpenPlay,2024,RightFoot,26849,Southampton,Bournemouth,1,3,2025-02-15 15:00:00,Chimuanya Ugochukwu,Pass
618486,75,BlockedShot,0.894000015258789,0.29100000381469726,0.04137033224105835,Yukinari Sugawara,h,12761,OpenPlay,2024,RightFoot,26861,Southampton,Brighton,0,4,2025-02-22 15:00:00,Tyler Dibling,Pass
622686,58,SavedShot,0.9030000305175782,0.3270000076293945,0.07273643463850021,Yukinari Sugawara,h,12761,OpenPlay,2024,RightFoot,26891,Southampton,Wolverhampton Wanderers,1,2,2025-03-15 15:00:00,Tyler Dibling,Pass
626219,87,SavedShot,0.850999984741211,0.2879999923706055,0.03340929001569748,Yukinari Sugawara,a,12761,OpenPlay,2024,RightFoot,26910,Tottenham,Southampton,3,1,2025-04-06 13:00:00,Kamaldeen Sulemana,Pass
636334,19,BlockedShot,0.715,0.5179999923706055,0.013768048025667667,Yukinari Sugawara,h,12761,FromCorner,2024,RightFoot,26977,Southampton,Arsenal,1,2,2025-05-25 15:00:00,,None
640217,82,SavedShot,0.6869999694824219,0.37400001525878906,0.016630887985229492,Yukinari Sugawara,h,12761,FromCorner,2025,RightFoot,30236,Werder Bremen,Bayer Leverkusen,3,3,2025-08-30 13:30:00,Isaac Schmidt,Pass
642468,55,BlockedShot,0.76,0.42700000762939455,0.03320056572556496,Yukinari Sugawara,a,12761,OpenPlay,2025,RightFoot,30250,Borussia M.Gladbach,Werder Bremen,0,4,2025-09-14 15:30:00,Felix Agu,Pass
