h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.587822,3.10684,0.587822,3.10684,"{'att': 252, 'def': 14}","{'att': 264, 'def': 30}",8,8,1,4,0.094,l,2025-08-23 13:30:00,0,0,1,0,-2.519018
h,2.32676,2.03733,1.56899,1.27955,"{'att': 371, 'def': 20}","{'att': 279, 'def': 17}",10,7,3,3,1.5889000000000002,d,2025-08-30 13:30:00,0,1,0,1,0.28944000000000014
a,2.24671,1.58932,1.48893,1.58932,"{'att': 287, 'def': 16}","{'att': 256, 'def': 32}",7,16,4,0,1.8609999999999998,w,2025-09-14 15:30:00,1,0,0,3,-0.10038999999999998
h,1.27257,2.36315,0.514791,1.60537,"{'att': 217, 'def': 27}","{'att': 331, 'def': 20}",5,7,0,3,0.5402,l,2025-09-20 13:30:00,0,0,1,0,-1.090579
a,0.298618,4.31859,0.298618,3.56081,"{'att': 359, 'def': 9}","{'att': 270, 'def': 32}",4,11,0,4,0.0133,l,2025-09-26 18:30:00,0,0,1,0,-3.262192
h,1.77957,0.912425,1.77957,0.912425,"{'att': 339, 'def': 22}","{'att': 284, 'def': 23}",7,8,1,0,2.0473999999999997,w,2025-10-04 13:30:00,1,0,0,3,0.867145
a,1.85638,3.07635,1.85638,3.07635,"{'att': 256, 'def': 12}","{'att': 192, 'def': 21}",7,13,2,2,0.6716,d,2025-10-18 13:30:00,0,1,0,1,-1.2199700000000002
h,1.1444,0.487613,1.1444,0.487613,"{'att': 187, 'def': 13}","{'att': 333, 'def': 23}",2,4,1,0,1.9567999999999999,w,2025-10-24 18:30:00,1,0,0,3,0.656787
a,0.880505,1.90161,0.880505,1.90161,"{'att': 175, 'def': 16}","{'att': 253, 'def': 32}",9,7,1,1,0.5960000000000001,d,2025-11-01 14:30:00,0,1,0,1,-1.021105
h,1.69456,0.676326,1.69456,0.676326,"{'att': 217, 'def': 20}","{'att': 250, 'def': 16}",8,5,2,1,2.1487000000000003,w,2025-11-07 19:30:00,1,0,0,3,1.018234
a,0.774872,2.42834,0.774872,2.42834,"{'att': 292, 'def': 19}","{'att': 308, 'def': 14}",8,15,0,2,0.33120000000000005,l,2025-11-23 14:30:00,0,0,1,0,-1.653468
