id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
14568,63,SavedShot,0.919000015258789,0.39,0.47859299182891846,Tom Ince,a,4454,OpenPlay,2014,LeftFoot,4751,Queens Park Rangers,Hull,0,1,2014-08-16 15:00:00,Stephen Quinn,Pass
14570,64,SavedShot,0.72,0.39099998474121095,0.017608199268579483,Tom Ince,a,4454,OpenPlay,2014,LeftFoot,4751,Queens Park Rangers,Hull,0,1,2014-08-16 15:00:00,Jake Livermore,TakeOn
14571,69,SavedShot,0.8619999694824219,0.14800000190734863,0.04341740161180496,Tom Ince,a,4454,DirectFreekick,2014,LeftFoot,4751,Queens Park Rangers,Hull,0,1,2014-08-16 15:00:00,,Standard
14572,72,BlockedShot,0.9330000305175781,0.6819999694824219,0.07714609801769257,Tom Ince,a,4454,OpenPlay,2014,LeftFoot,4751,Queens Park Rangers,Hull,0,1,2014-08-16 15:00:00,Nikica Jelavic,BallTouch
14750,17,BlockedShot,0.78,0.295,0.01651740074157715,Tom Ince,h,4454,OpenPlay,2014,LeftFoot,4765,Hull,Stoke,1,1,2014-08-24 13:30:00,,None
18358,73,BlockedShot,0.9159999847412109,0.4829999923706055,0.1208920031785965,Tom Ince,a,4454,OpenPlay,2014,Head,4563,West Bromwich Albion,Hull,1,0,2015-01-10 15:00:00,Robbie Brady,Cross
18363,91,MissedShots,0.875,0.32,0.049181800335645676,Tom Ince,a,4454,OpenPlay,2014,LeftFoot,4563,West Bromwich Albion,Hull,1,0,2015-01-10 15:00:00,James Chester,Chipped
158216,1,SavedShot,0.874000015258789,0.549000015258789,0.07973480224609375,Tom Ince,a,4454,OpenPlay,2017,LeftFoot,7124,Crystal Palace,Huddersfield,0,3,2017-08-12 15:00:00,,None
158449,8,BlockedShot,0.779000015258789,0.6819999694824219,0.020261600613594055,Tom Ince,h,4454,OpenPlay,2017,LeftFoot,7136,Huddersfield,Newcastle United,1,0,2017-08-20 13:30:00,Steve Mounie,Pass
158450,8,MissedShots,0.86,0.7180000305175781,0.02506989985704422,Tom Ince,h,4454,OpenPlay,2017,LeftFoot,7136,Huddersfield,Newcastle United,1,0,2017-08-20 13:30:00,,Rebound
158451,14,SavedShot,0.8090000152587891,0.47,0.07446590065956116,Tom Ince,h,4454,OpenPlay,2017,LeftFoot,7136,Huddersfield,Newcastle United,1,0,2017-08-20 13:30:00,,TakeOn
158453,21,MissedShots,0.874000015258789,0.6580000305175782,0.056336499750614166,Tom Ince,h,4454,OpenPlay,2017,RightFoot,7136,Huddersfield,Newcastle United,1,0,2017-08-20 13:30:00,Steve Mounie,Pass
158627,35,SavedShot,0.8690000152587891,0.27,0.036930400878190994,Tom Ince,h,4454,OpenPlay,2017,LeftFoot,7144,Huddersfield,Southampton,0,0,2017-08-26 15:00:00,Tommy Smith,Chipped
158632,67,BlockedShot,0.7780000305175782,0.544000015258789,0.03350599855184555,Tom Ince,h,4454,OpenPlay,2017,LeftFoot,7144,Huddersfield,Southampton,0,0,2017-08-26 15:00:00,Elias Kachunga,Pass
158634,73,SavedShot,0.7869999694824219,0.24299999237060546,0.02044679969549179,Tom Ince,h,4454,OpenPlay,2017,LeftFoot,7144,Huddersfield,Southampton,0,0,2017-08-26 15:00:00,Tommy Smith,Pass
159749,46,BlockedShot,0.850999984741211,0.31799999237060544,0.04207070171833038,Tom Ince,a,4454,OpenPlay,2017,RightFoot,7158,West Ham,Huddersfield,2,0,2017-09-11 20:00:00,Rajiv van La Parra,Pass
159754,61,BlockedShot,0.7169999694824218,0.6040000152587891,0.016534000635147095,Tom Ince,a,4454,OpenPlay,2017,LeftFoot,7158,West Ham,Huddersfield,2,0,2017-09-11 20:00:00,Philip Billing,Pass
159757,75,BlockedShot,0.795,0.27899999618530275,0.01640089973807335,Tom Ince,a,4454,SetPiece,2017,LeftFoot,7158,West Ham,Huddersfield,2,0,2017-09-11 20:00:00,Christopher Schindler,BlockedPass
159762,80,BlockedShot,0.8640000152587891,0.43400001525878906,0.060922399163246155,Tom Ince,a,4454,OpenPlay,2017,LeftFoot,7158,West Ham,Huddersfield,2,0,2017-09-11 20:00:00,,None
