id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
594070,78,SavedShot,0.7480000305175781,0.5659999847412109,0.019439101219177246,Jota Silva,h,12766,OpenPlay,2024,RightFoot,26653,Nottingham Forest,Fulham,0,1,2024-09-28 14:00:00,,None
594071,86,MissedShots,0.9490000152587891,0.5479999923706055,0.12561558187007904,Jota Silva,h,12766,FromCorner,2024,Head,26653,Nottingham Forest,Fulham,0,1,2024-09-28 14:00:00,Callum Hudson-Odoi,Cross
596086,102,SavedShot,0.91,0.41,0.20647384226322174,Jota Silva,a,12766,FromCorner,2024,Head,26668,Chelsea,Nottingham Forest,1,1,2024-10-06 13:00:00,Ola Aina,Cross
598166,84,MissedShots,0.8640000152587891,0.285,0.052419960498809814,Jota Silva,a,12766,OpenPlay,2024,RightFoot,26682,Leicester,Nottingham Forest,1,3,2024-10-25 19:00:00,Ramón Sosa,Pass
602966,70,BlockedShot,0.895,0.495,0.07939890027046204,Jota Silva,a,12766,OpenPlay,2024,RightFoot,26714,Arsenal,Nottingham Forest,3,0,2024-11-23 15:00:00,,None
604126,25,MissedShots,0.915,0.5309999847412109,0.057889390736818314,Jota Silva,h,12766,OpenPlay,2024,Head,26728,Nottingham Forest,Ipswich,1,0,2024-11-30 15:00:00,Neco Williams,Aerial
605213,9,MissedShots,0.795,0.7019999694824218,0.022472480311989784,Jota Silva,a,12766,OpenPlay,2024,RightFoot,26739,Manchester City,Nottingham Forest,3,0,2024-12-04 19:30:00,Morgan Gibbs-White,Pass
605992,26,ShotOnPost,0.8809999847412109,0.4929999923706055,0.05027336627244949,Jota Silva,a,12766,SetPiece,2024,Head,26744,Manchester United,Nottingham Forest,2,3,2024-12-07 17:30:00,Ryan Yates,HeadPass
605994,32,BlockedShot,0.815,0.44599998474121094,0.05841830000281334,Jota Silva,a,12766,OpenPlay,2024,LeftFoot,26744,Manchester United,Nottingham Forest,2,3,2024-12-07 17:30:00,Callum Hudson-Odoi,Pass
612654,46,MissedShots,0.955,0.36,0.09811994433403015,Jota Silva,h,12766,OpenPlay,2024,RightFoot,26820,Nottingham Forest,Southampton,3,2,2025-01-19 14:00:00,Neco Williams,Cross
612661,66,BlockedShot,0.845999984741211,0.5029999923706054,0.06376755237579346,Jota Silva,h,12766,SetPiece,2024,RightFoot,26820,Nottingham Forest,Southampton,3,2,2025-01-19 14:00:00,,None
612663,72,MissedShots,0.9480000305175781,0.5479999923706055,0.45189744234085083,Jota Silva,h,12766,SetPiece,2024,Head,26820,Nottingham Forest,Southampton,3,2,2025-01-19 14:00:00,Nicolás Domínguez,Cross
613419,49,BlockedShot,0.915,0.34599998474121096,0.061860520392656326,Jota Silva,a,12766,FromCorner,2024,RightFoot,26822,Bournemouth,Nottingham Forest,5,0,2025-01-25 15:00:00,Morgan Gibbs-White,Rebound
614450,90,Goal,0.875,0.33799999237060546,0.34982508420944214,Jota Silva,h,12766,OpenPlay,2024,RightFoot,26840,Nottingham Forest,Brighton,7,0,2025-02-01 12:30:00,,BallRecovery
614451,94,MissedShots,0.955999984741211,0.705,0.08505895733833313,Jota Silva,h,12766,OpenPlay,2024,LeftFoot,26840,Nottingham Forest,Brighton,7,0,2025-02-01 12:30:00,Nicolás Domínguez,Chipped
622648,86,Goal,0.8480000305175781,0.43099998474121093,0.285913348197937,Jota Silva,a,12766,OpenPlay,2024,RightFoot,26887,Ipswich,Nottingham Forest,2,4,2025-03-15 15:00:00,Morgan Gibbs-White,Pass
622650,94,MissedShots,0.81,0.44,0.03300491347908974,Jota Silva,a,12766,FromCorner,2024,RightFoot,26887,Ipswich,Nottingham Forest,2,4,2025-03-15 15:00:00,,None
625868,56,Goal,0.884000015258789,0.63,0.044698819518089294,Jota Silva,a,12766,OpenPlay,2024,LeftFoot,26902,Aston Villa,Nottingham Forest,2,1,2025-04-05 16:30:00,Neco Williams,Cross
627191,26,SavedShot,0.8930000305175781,0.6220000076293946,0.11983983218669891,Jota Silva,h,12766,OpenPlay,2024,RightFoot,26920,Nottingham Forest,Everton,0,1,2025-04-12 14:00:00,Álex Moreno,Throughball
627192,29,SavedShot,0.89,0.5790000152587891,0.033213060349226,Jota Silva,h,12766,SetPiece,2024,Head,26920,Nottingham Forest,Everton,0,1,2025-04-12 14:00:00,Callum Hudson-Odoi,Cross
627198,57,BlockedShot,0.8069999694824219,0.6509999847412109,0.0296533964574337,Jota Silva,h,12766,OpenPlay,2024,LeftFoot,26920,Nottingham Forest,Everton,0,1,2025-04-12 14:00:00,Álex Moreno,Pass
631060,89,BlockedShot,0.955,0.5620000076293945,0.14016495645046234,Jota Silva,h,12766,SetPiece,2024,RightFoot,26939,Nottingham Forest,Brentford,0,2,2025-05-01 18:30:00,Nikola Milenkovic,Rebound
634982,99,BlockedShot,0.8640000152587891,0.6709999847412109,0.2692405581474304,Jota Silva,a,12766,OpenPlay,2024,LeftFoot,26971,West Ham,Nottingham Forest,1,2,2025-05-18 13:15:00,Chris Wood,Pass
