id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
589161,60,MissedShots,0.9009999847412109,0.5629999923706055,0.059616949409246445,Mateus Fernandes,a,12948,OpenPlay,2024,Head,26623,Brentford,Southampton,3,1,2024-08-31 14:00:00,Tyler Dibling,Cross
589175,92,SavedShot,0.960999984741211,0.38,0.3053131103515625,Mateus Fernandes,a,12948,OpenPlay,2024,RightFoot,26623,Brentford,Southampton,3,1,2024-08-31 14:00:00,Flynn Downes,Throughball
592357,54,MissedShots,0.9030000305175782,0.644000015258789,0.13153265416622162,Mateus Fernandes,h,12948,OpenPlay,2024,LeftFoot,26643,Southampton,Ipswich,1,1,2024-09-21 14:00:00,Yukinari Sugawara,Chipped
595534,48,MissedShots,0.9080000305175782,0.47900001525878905,0.4313855469226837,Mateus Fernandes,a,12948,OpenPlay,2024,LeftFoot,26666,Arsenal,Southampton,3,1,2024-10-05 14:00:00,,Rebound
601492,11,BlockedShot,0.8980000305175782,0.5459999847412109,0.1133810430765152,Mateus Fernandes,a,12948,OpenPlay,2024,RightFoot,26711,Wolverhampton Wanderers,Southampton,2,0,2024-11-09 15:00:00,Ryan Manning,Pass
601496,38,BlockedShot,0.7980000305175782,0.6120000076293945,0.027795981615781784,Mateus Fernandes,a,12948,OpenPlay,2024,LeftFoot,26711,Wolverhampton Wanderers,Southampton,2,0,2024-11-09 15:00:00,Adam Lallana,Pass
601498,46,MissedShots,0.7480000305175781,0.65,0.04985871911048889,Mateus Fernandes,a,12948,DirectFreekick,2024,RightFoot,26711,Wolverhampton Wanderers,Southampton,2,0,2024-11-09 15:00:00,,Standard
603445,4,SavedShot,0.7569999694824219,0.38799999237060545,0.023734262213110924,Mateus Fernandes,h,12948,OpenPlay,2024,RightFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,Taylor Harwood-Bellis,Pass
603463,55,Goal,0.8690000152587891,0.47200000762939454,0.4493879973888397,Mateus Fernandes,h,12948,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,2024-11-24 14:00:00,Adam Armstrong,Pass
603804,6,BlockedShot,0.840999984741211,0.625,0.038019899278879166,Mateus Fernandes,a,12948,FromCorner,2024,RightFoot,26723,Brighton,Southampton,1,1,2024-11-29 20:00:00,,None
603812,37,BlockedShot,0.7709999847412109,0.509000015258789,0.0309382863342762,Mateus Fernandes,a,12948,OpenPlay,2024,RightFoot,26723,Brighton,Southampton,1,1,2024-11-29 20:00:00,Adam Armstrong,Pass
605285,39,SavedShot,0.9669999694824218,0.43099998474121093,0.3537207245826721,Mateus Fernandes,h,12948,FromCorner,2024,Head,26741,Southampton,Chelsea,1,5,2024-12-04 19:30:00,James Bree,Cross
