id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
480997,91,MissedShots,0.7269999694824218,0.509000015258789,0.016567999497056007,Habib Diarra,a,9767,OpenPlay,2022,RightFoot,19666,Nice,Strasbourg,1,1,2022-08-14 15:05:00,Habib Diallo,Pass
482252,88,BlockedShot,0.855999984741211,0.585,0.06683489680290222,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,19675,Strasbourg,Reims,1,1,2022-08-21 11:00:00,,None
483777,66,MissedShots,0.9009999847412109,0.40099998474121096,0.07709140330553055,Habib Diarra,a,9767,FromCorner,2022,RightFoot,19679,Auxerre,Strasbourg,1,0,2022-08-27 15:00:00,,None
486480,9,BlockedShot,0.84,0.4640000152587891,0.07304859906435013,Habib Diarra,a,9767,OpenPlay,2022,RightFoot,19705,Brest,Strasbourg,1,1,2022-09-04 13:00:00,Jean Eudes Aholou,Pass
487803,13,SavedShot,0.8280000305175781,0.76,0.01820630021393299,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,19715,Strasbourg,Clermont Foot,0,0,2022-09-11 11:00:00,,None
488819,81,MissedShots,0.740999984741211,0.47400001525878904,0.020220700651407242,Habib Diarra,a,9767,OpenPlay,2022,RightFoot,19722,Montpellier,Strasbourg,2,1,2022-09-17 15:00:00,Ibrahima Sissoko,TakeOn
502013,5,SavedShot,0.855,0.6930000305175781,0.03985700011253357,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,19815,Strasbourg,Troyes,2,3,2023-01-02 14:00:00,Adrien Thomasson,Pass
503274,66,SavedShot,0.7780000305175782,0.26799999237060546,0.01551320031285286,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,19825,Strasbourg,Lens,2,2,2023-01-11 20:00:00,Ludovic Ajorque,Pass
503810,70,SavedShot,0.895,0.24,0.043514400720596313,Habib Diarra,a,9767,OpenPlay,2022,RightFoot,19832,Lyon,Strasbourg,1,2,2023-01-14 20:00:00,Habib Diallo,Chipped
512650,61,BlockedShot,0.8490000152587891,0.625,0.040949899703264236,Habib Diarra,h,9767,SetPiece,2022,RightFoot,19903,Strasbourg,Brest,0,1,2023-03-05 14:00:00,Gerzino Nyamsi,HeadPass
512656,79,MissedShots,0.8069999694824219,0.43599998474121093,0.03255689889192581,Habib Diarra,h,9767,FromCorner,2022,LeftFoot,19903,Strasbourg,Brest,0,1,2023-03-05 14:00:00,,None
515615,75,MissedShots,0.8059999847412109,0.3340000152587891,0.03820430114865303,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,19924,Strasbourg,Auxerre,2,0,2023-03-19 14:00:00,Jean-Ricner Bellegarde,Pass
520014,70,Goal,0.945,0.38299999237060545,0.07499030232429504,Habib Diarra,h,9767,SetPiece,2022,RightFoot,19954,Strasbourg,Ajaccio,3,1,2023-04-16 13:00:00,,None
520017,86,MissedShots,0.8190000152587891,0.355,0.07185190171003342,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,19954,Strasbourg,Ajaccio,3,1,2023-04-16 13:00:00,Sanjin Prcic,Pass
521251,19,MissedShots,0.8909999847412109,0.3129999923706055,0.06797994673252106,Habib Diarra,a,9767,OpenPlay,2022,RightFoot,19967,Reims,Strasbourg,0,2,2023-04-23 11:00:00,,None
523655,13,SavedShot,0.9359999847412109,0.29399999618530276,0.0513266883790493,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,19973,Strasbourg,Lyon,1,2,2023-04-30 19:00:00,Frederic Guilbert,Pass
525052,20,MissedShots,0.8209999847412109,0.3370000076293945,0.08849706500768661,Habib Diarra,a,9767,OpenPlay,2022,RightFoot,19982,Nantes,Strasbourg,0,2,2023-05-07 13:00:00,Habib Diallo,HeadPass
525062,46,Goal,0.8909999847412109,0.53,0.42227113246917725,Habib Diarra,a,9767,OpenPlay,2022,LeftFoot,19982,Nantes,Strasbourg,0,2,2023-05-07 13:00:00,Habib Diallo,Throughball
526092,13,BlockedShot,0.8680000305175781,0.735999984741211,0.044415317475795746,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,19994,Strasbourg,Nice,2,0,2023-05-13 15:00:00,Jean-Ricner Bellegarde,Chipped
527884,17,SavedShot,0.865,0.345,0.05573553219437599,Habib Diarra,a,9767,OpenPlay,2022,LeftFoot,20007,Troyes,Strasbourg,1,1,2023-05-21 13:00:00,Morgan Sanson,Pass
527888,26,Goal,0.75,0.4209999847412109,0.024470003321766853,Habib Diarra,a,9767,OpenPlay,2022,RightFoot,20007,Troyes,Strasbourg,1,1,2023-05-21 13:00:00,Lucas Perrin,Pass
527894,53,ShotOnPost,0.8830000305175781,0.29200000762939454,0.08217219263315201,Habib Diarra,a,9767,OpenPlay,2022,RightFoot,20007,Troyes,Strasbourg,1,1,2023-05-21 13:00:00,Morgan Sanson,Pass
529418,72,BlockedShot,0.7019999694824218,0.31799999237060544,0.013427890837192535,Habib Diarra,h,9767,OpenPlay,2022,RightFoot,20015,Strasbourg,Paris Saint Germain,1,1,2023-05-27 19:00:00,Jean-Ricner Bellegarde,Pass
533978,76,BlockedShot,0.96,0.5129999923706055,0.1176166981458664,Habib Diarra,a,9767,SetPiece,2023,RightFoot,23382,Monaco,Strasbourg,3,0,2023-08-20 15:05:00,Abakar Sylla,BallTouch
535305,25,BlockedShot,0.8569999694824219,0.5370000076293945,0.07373598217964172,Habib Diarra,h,9767,OpenPlay,2023,RightFoot,23390,Strasbourg,Toulouse,2,0,2023-08-27 13:00:00,Lucas Perrin,None
539525,82,Goal,0.9169999694824219,0.3320000076293945,0.07275808602571487,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23422,Metz,Strasbourg,0,1,2023-09-24 11:00:00,Ângelo,Pass
540763,11,MissedShots,0.8680000305175781,0.35200000762939454,0.08833947777748108,Habib Diarra,h,9767,OpenPlay,2023,RightFoot,23425,Strasbourg,Lens,0,1,2023-09-29 19:00:00,Dilane Bakwa,Pass
540767,70,BlockedShot,0.7580000305175781,0.705,0.01618865877389908,Habib Diarra,h,9767,OpenPlay,2023,RightFoot,23425,Strasbourg,Lens,0,1,2023-09-29 19:00:00,Thomas Delaine,Pass
542327,77,MissedShots,0.8059999847412109,0.3220000076293945,0.028848422691226006,Habib Diarra,h,9767,OpenPlay,2023,RightFoot,23434,Strasbourg,Nantes,1,2,2023-10-06 19:00:00,Lebo Mothiba,LayOff
550061,79,SavedShot,0.7709999847412109,0.5840000152587891,0.02815600112080574,Habib Diarra,h,9767,OpenPlay,2023,RightFoot,23480,Strasbourg,Marseille,1,1,2023-11-25 20:00:00,Ismaël Doukouré,Pass
550878,33,SavedShot,0.8590000152587891,0.4759999847412109,0.08959989249706268,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23492,Reims,Strasbourg,2,1,2023-12-01 19:00:00,Kevin Gameiro,Pass
550888,70,MissedShots,0.8109999847412109,0.57,0.031986359506845474,Habib Diarra,a,9767,FromCorner,2023,RightFoot,23492,Reims,Strasbourg,2,1,2023-12-01 19:00:00,Frederic Guilbert,BallTouch
552394,19,SavedShot,0.855,0.6129999923706054,0.07607879489660263,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23478,Brest,Strasbourg,1,1,2023-12-07 19:30:00,Lebo Mothiba,Pass
554744,5,SavedShot,0.8440000152587891,0.585999984741211,0.03360937163233757,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23508,Lorient,Strasbourg,1,2,2023-12-17 14:00:00,Ibrahima Sissoko,Cross
554747,19,BlockedShot,0.7980000305175782,0.5370000076293945,0.05477004498243332,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23508,Lorient,Strasbourg,1,2,2023-12-17 14:00:00,Kevin Gameiro,Pass
554758,80,BlockedShot,0.754000015258789,0.5659999847412109,0.06761759519577026,Habib Diarra,a,9767,DirectFreekick,2023,RightFoot,23508,Lorient,Strasbourg,1,2,2023-12-17 14:00:00,,Standard
555586,35,SavedShot,0.8219999694824218,0.45,0.06979303061962128,Habib Diarra,h,9767,OpenPlay,2023,LeftFoot,23516,Strasbourg,Lille,2,1,2023-12-20 20:00:00,Dilane Bakwa,TakeOn
555596,75,BlockedShot,0.8209999847412109,0.27399999618530274,0.02543310821056366,Habib Diarra,h,9767,OpenPlay,2023,RightFoot,23516,Strasbourg,Lille,2,1,2023-12-20 20:00:00,Emanuel Emegha,BallTouch
557796,5,BlockedShot,0.7330000305175781,0.6830000305175781,0.015162697061896324,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23525,Marseille,Strasbourg,1,1,2024-01-12 20:00:00,Ângelo,Pass
557800,20,BlockedShot,0.8180000305175781,0.529000015258789,0.06078684702515602,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23525,Marseille,Strasbourg,1,1,2024-01-12 20:00:00,Kevin Gameiro,Pass
557807,51,BlockedShot,0.845,0.38599998474121094,0.05124761909246445,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23525,Marseille,Strasbourg,1,1,2024-01-12 20:00:00,Dilane Bakwa,BallTouch
557808,52,MissedShots,0.830999984741211,0.37400001525878906,0.04030482470989227,Habib Diarra,a,9767,OpenPlay,2023,RightFoot,23525,Marseille,Strasbourg,1,1,2024-01-12 20:00:00,Ângelo,Pass
557812,67,MissedShots,0.8869999694824219,0.675,0.0530049130320549,Habib Diarra,a,9767,OpenPlay,2023,LeftFoot,23525,Marseille,Strasbourg,1,1,2024-01-12 20:00:00,Dion Moise Sahi,Pass
560225,13,MissedShots,0.909000015258789,0.49,0.4626288115978241,Habib Diarra,a,9767,OpenPlay,2023,LeftFoot,23539,Clermont Foot,Strasbourg,1,1,2024-01-28 14:00:00,Dion Moise Sahi,Pass
