element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
116,262,6,1,True,2026-02-21T15:00:00Z,0.0,2.0,27,False,44,0,0,0,1,0,0,0,0,0,0,0,3,8.6,1.9,0.0,1.1,3,2,2,5,1,0.0,0.0,0.0,0.62,40,-863,57241,627,1490,116,DEF,Aaron Hickey,Brentford
674,266,13,0,False,2026-02-21T20:00:00Z,2.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1530,85072,455,1985,674,GKP,Aaron Ramsdale,Newcastle
211,263,7,0,False,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1000,186709,0,1000,211,MID,Aaron Ramsey,Burnley
610,270,4,6,True,2026-02-21T17:30:00Z,0.0,0.0,27,False,90,0,0,1,0,0,0,0,0,0,0,0,25,19.4,15.5,2.0,3.7,7,7,1,8,1,0.0,0.04,0.04,0.65,41,22656,594218,29621,6965,610,DEF,Aaron Wan-Bissaka,West Ham
234,263,3,0,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-42,7004,0,42,234,DEF,Aarón Anselmino,Chelsea
165,262,5,0,False,2026-02-21T15:00:00Z,0.0,2.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6,1435,0,6,165,MID,Abdallah Sima,Brighton
554,268,10,0,True,2026-02-22T14:00:00Z,1.0,3.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-287,44433,690,977,554,MID,Abdoullah Ba,Sunderland
406,266,15,1,True,2026-02-21T20:00:00Z,2.0,1.0,27,False,45,0,0,0,0,0,0,0,0,0,0,0,6,10.6,0.4,0.0,1.1,2,5,2,4,0,0.0,0.0,0.0,0.3,54,466,46778,2268,1802,406,DEF,Abdukodir Khusanov,Man City
326,270,4,0,True,2026-02-21T17:30:00Z,0.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,245,20455,836,591,326,MID,Adama Traoré Diarra,West Ham
817,264,8,2,False,2026-02-22T14:00:00Z,1.0,0.0,27,False,62,0,0,1,0,0,0,0,0,0,0,0,9,7.0,15.9,2.0,2.5,2,2,1,5,1,0.15,0.2,0.35,0.89,55,-2537,9723,748,3285,817,FWD,Adam Armstrong,Wolves
