element_in,element_in_cost,element_out,element_out_cost,entry,event,time
299,62,84,54,12002,37,2026-05-15T16:43:56.182384Z
16,99,235,104,12002,36,2026-05-08T22:03:26.585700Z
5,72,72,50,12002,36,2026-05-08T21:35:05.903994Z
64,87,691,56,12002,34,2026-04-24T17:00:56.013348Z
596,72,430,144,12002,34,2026-04-24T17:00:56.013149Z
624,77,249,76,12002,34,2026-04-24T17:00:56.012937Z
299,62,237,65,12002,34,2026-04-24T17:00:56.012727Z
700,42,235,105,12002,34,2026-04-24T17:00:56.012501Z
381,140,84,54,12002,34,2026-04-24T17:00:56.012295Z
717,65,82,79,12002,34,2026-04-24T17:00:56.012086Z
606,45,411,50,12002,34,2026-04-24T17:00:56.011831Z
683,41,343,43,12002,34,2026-04-24T17:00:56.011586Z
568,51,151,45,12002,34,2026-04-24T17:00:56.011310Z
5,71,77,42,12002,34,2026-04-24T17:00:56.011099Z
373,62,72,50,12002,34,2026-04-24T17:00:56.010881Z
679,42,341,39,12002,34,2026-04-24T17:00:56.010640Z
1,60,139,44,12002,34,2026-04-24T17:00:56.010302Z
249,77,136,70,12002,33,2026-04-18T09:51:43.008445Z
691,56,624,76,12002,33,2026-04-17T16:50:10.993877Z
235,105,485,73,12002,33,2026-04-17T16:50:10.993479Z
237,65,450,80,12002,33,2026-04-17T16:50:10.993009Z
77,42,5,68,12002,33,2026-04-17T16:50:10.986416Z
624,76,661,90,12002,32,2026-04-10T16:56:58.122536Z
450,80,660,48,12002,32,2026-04-10T16:56:58.122342Z
84,54,242,50,12002,32,2026-04-10T16:56:58.122146Z
343,43,684,51,12002,32,2026-04-10T16:56:58.121948Z
411,50,473,53,12002,32,2026-04-10T16:56:58.121730Z
151,45,317,45,12002,32,2026-04-10T16:56:58.121494Z
341,39,470,40,12002,32,2026-04-10T16:56:58.121228Z
684,51,8,63,12002,31,2026-03-20T11:41:05.509741Z
485,73,21,72,12002,31,2026-03-20T11:33:39.329658Z
242,49,237,67,12002,26,2026-02-09T00:10:10.040242Z
8,64,411,49,12002,26,2026-02-09T00:10:10.034108Z
72,48,441,43,12002,24,2026-01-30T22:51:23.162127Z
237,66,485,74,12002,24,2026-01-25T22:50:30.545633Z
449,94,84,55,12002,24,2026-01-25T22:50:30.538521Z
82,77,414,83,12002,23,2026-01-24T10:55:40.826052Z
84,55,450,80,12002,22,2026-01-16T23:38:53.946499Z
411,53,373,59,12002,21,2026-01-06T15:44:12.960081Z
5,64,295,47,12002,20,2026-01-02T19:42:59.615648Z
485,74,382,81,12002,20,2026-01-02T19:42:59.607749Z
441,42,191,39,12002,19,2025-12-30T11:14:32.957583Z
473,52,8,61,12002,19,2025-12-30T11:14:32.949838Z
450,80,335,45,12002,18,2025-12-26T14:21:48.033843Z
21,72,16,100,12002,18,2025-12-26T14:21:48.033447Z
660,48,329,56,12002,18,2025-12-22T22:48:03.852463Z
335,45,485,72,12002,18,2025-12-22T22:48:03.852222Z
139,44,220,49,12002,18,2025-12-22T22:48:03.851969Z
295,47,72,49,12002,18,2025-12-22T22:48:03.851672Z
373,59,151,45,12002,18,2025-12-22T22:48:03.851426Z
382,80,449,92,12002,18,2025-12-22T22:48:03.851168Z
661,88,691,56,12002,18,2025-12-22T22:48:03.850799Z
329,55,427,52,12002,17,2025-12-15T22:35:36.222002Z
136,68,249,74,12002,16,2025-12-06T20:05:46.190640Z
485,72,237,67,12002,15,2025-12-05T21:41:05.549479Z
151,44,36,46,12002,15,2025-12-05T21:41:05.542021Z
414,81,82,77,12002,15,2025-12-02T23:07:11.265219Z
32,50,220,48,12002,13,2025-11-29T10:09:23.579766Z
223,39,470,40,12002,13,2025-11-29T10:09:23.579578Z
384,75,427,54,12002,13,2025-11-29T10:09:23.579346Z
252,42,691,55,12002,13,2025-11-29T10:09:23.579160Z
47,69,82,77,12002,13,2025-11-29T10:09:23.578971Z
83,60,449,89,12002,13,2025-11-29T10:09:23.578743Z
414,80,16,99,12002,13,2025-11-29T10:09:23.578555Z
381,142,237,67,12002,13,2025-11-29T10:09:23.578351Z
136,66,249,75,12002,13,2025-11-29T10:09:23.578129Z
113,45,72,50,12002,13,2025-11-29T10:09:23.577922Z
447,38,8,60,12002,13,2025-11-29T10:09:23.577682Z
411,51,317,45,12002,13,2025-11-29T10:09:23.577424Z
72,50,568,55,12002,12,2025-11-22T10:37:37.284547Z
317,45,575,46,12002,10,2025-11-01T10:01:01.546766Z
237,67,47,68,12002,9,2025-10-24T15:48:36.762684Z
691,55,100,45,12002,8,2025-10-18T09:21:28.410035Z
8,58,506,54,12002,7,2025-10-03T16:32:55.960394Z
16,98,381,145,12002,6,2025-09-22T21:53:08.215661Z
430,143,64,88,12002,6,2025-09-22T21:53:08.210052Z
82,76,382,83,12002,6,2025-09-21T18:35:56.668315Z
36,45,474,55,12002,5,2025-09-19T20:52:16.952093Z
449,90,235,105,12002,3,2025-08-29T16:32:26.974164Z
474,55,541,40,12002,3,2025-08-29T16:32:26.967472Z
