event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,60,60,2856515,2892415,2856514,35,0,1000,0,0,6
2,67,127,1279592,1286773,934865,15,0,1000,1,0,12
3,67,194,567039,570967,215029,10,38,1006,0,0,7
4,91,285,189189,190312,36741,5,38,1012,1,0,8
5,51,336,2572678,2583827,36207,25,53,1016,1,0,16
6,83,419,169667,171594,7643,5,48,1019,1,0,5
7,94,509,100863,101468,1769,1,0,1023,2,4,10
8,88,597,200946,202454,358,5,2,1028,1,0,21
9,64,661,1068801,1075957,92,10,2,1030,0,0,0
10,72,733,4118623,4127782,326,35,4,1036,2,0,7
11,49,782,1801836,1811603,121,15,3,1041,1,0,6
12,54,836,1408997,1415427,80,15,1,1044,1,0,2
13,66,902,175573,178961,11,5,1,1043,0,0,18
14,80,982,1036703,1042398,5,10,3,1040,1,0,2
15,59,1041,2698708,2708851,6,25,18,1038,1,0,4
16,86,1127,616214,621400,6,5,6,1043,5,0,4
17,103,1230,214793,216365,2,5,10,1043,1,0,5
18,53,1283,2725862,2732920,1,25,8,1046,1,0,14
19,40,1323,6561034,6575929,1,55,1,1045,1,0,2
20,52,1375,2699428,2716455,3,25,6,1044,0,0,9
21,61,1436,2174267,2183911,2,20,28,1047,1,0,12
22,56,1492,1011847,1013824,1,10,20,1051,1,0,0
23,35,1527,10278858,10288604,2,85,20,1054,1,0,16
24,61,1588,4106010,4114581,2,35,12,1056,1,0,1
25,71,1659,2204686,2216228,1,20,25,1055,1,0,12
26,58,1717,6840111,6848774,8,55,0,1056,1,0,5
27,43,1760,7236102,7268271,9,60,0,1053,0,0,8
28,77,1837,1186773,1192607,11,10,2,1054,2,0,3
29,61,1898,4618437,4625524,18,40,0,1052,1,0,6
30,54,1952,2129170,2148074,23,20,0,1053,0,0,15
31,61,2013,1269189,1283511,22,10,0,1055,0,0,6
32,49,2062,5620105,5645477,56,45,0,1056,0,0,11
33,99,2161,1092029,1098736,126,10,0,1053,0,0,33
34,66,2227,487999,488695,95,5,10,1054,1,0,2
35,63,2290,2192802,2193234,57,20,44,1054,4,0,9
36,70,2360,5832115,5836883,138,45,13,1055,1,0,3
37,17,2377,9050022,9057932,241,70,37,1056,1,0,7
