id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,rank_count,entry_percentile_rank,active_phases,featured_entry_ids,entry_rank,entry_last_rank
2,Aston Villa,team-2,2025-07-20T23:14:28.338249Z,False,,,s,c,,1,False,False,False,True,2879768.0,True,127113,1,"[{'phase': 1, 'rank': 3, 'last_rank': 16, 'rank_sort': 3, 'total': 2367, 'league_id': 2, 'rank_count': 127113, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 2253, 'last_rank': 10534, 'rank_sort': 2274, 'total': 200, 'league_id': 2, 'rank_count': 127113, 'entry_percentile_rank': 5}]",[],3,16
177,Nigeria,region-157,2025-07-20T23:14:31.496979Z,False,,,s,c,,1,False,False,False,True,2865329.0,True,531168,1,"[{'phase': 1, 'rank': 7, 'last_rank': 18, 'rank_sort': 7, 'total': 2367, 'league_id': 177, 'rank_count': 531168, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 5035, 'last_rank': 36661, 'rank_sort': 5081, 'total': 200, 'league_id': 177, 'rank_count': 531168, 'entry_percentile_rank': 1}]",[],7,18
276,Gameweek 1,event-1,2025-07-20T23:14:33.264422Z,False,,,s,c,,1,False,False,False,False,,,9447133,1,"[{'phase': 1, 'rank': 413, 'last_rank': 1446, 'rank_sort': 413, 'total': 2367, 'league_id': 276, 'rank_count': 9447133, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 159793, 'last_rank': 945299, 'rank_sort': 162055, 'total': 200, 'league_id': 276, 'rank_count': 9424753, 'entry_percentile_rank': 5}]",[],413,1446
314,Overall,overall,2025-07-20T23:14:33.933835Z,False,,,s,c,,1,False,False,False,True,2815434.0,True,12983980,1,"[{'phase': 1, 'rank': 413, 'last_rank': 1448, 'rank_sort': 413, 'total': 2367, 'league_id': 314, 'rank_count': 12983980, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 173505, 'last_rank': 1106013, 'rank_sort': 175767, 'total': 200, 'league_id': 314, 'rank_count': 12983975, 'entry_percentile_rank': 5}]",[],413,1448
325,SuperSport League,brd-supersport,2025-07-20T23:14:34.131957Z,False,,,s,c,,1,False,False,False,True,2849438.0,True,1957655,1,"[{'phase': 1, 'rank': 18, 'last_rank': 51, 'rank_sort': 18, 'total': 2367, 'league_id': 325, 'rank_count': 1957655, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 20440, 'last_rank': 138264, 'rank_sort': 20640, 'total': 200, 'league_id': 325, 'rank_count': 1957654, 'entry_percentile_rank': 5}]",[],18,51
333,Second Chance,sc,2025-07-20T23:14:34.276586Z,False,,,s,c,,21,False,False,False,False,,,12983978,1,"[{'phase': 1, 'rank': 25368, 'last_rank': 81980, 'rank_sort': 25513, 'total': 1092, 'league_id': 333, 'rank_count': 12983978, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 173505, 'last_rank': 1106013, 'rank_sort': 175767, 'total': 200, 'league_id': 333, 'rank_count': 12983975, 'entry_percentile_rank': 5}]",[],25368,81980
5020,FFM League,,2025-07-21T11:44:18.917882Z,False,,,x,c,27123.0,1,True,False,False,True,2872815.0,False,228229,1,"[{'phase': 1, 'rank': 4, 'last_rank': 10, 'rank_sort': 4, 'total': 2367, 'league_id': 5020, 'rank_count': 228229, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 5164, 'last_rank': 32470, 'rank_sort': 5228, 'total': 200, 'league_id': 5020, 'rank_count': 228230, 'entry_percentile_rank': 5}]",[],4,10
198536,itel FPL Star,,2025-07-22T14:05:46.687524Z,False,,,x,c,1124807.0,1,False,False,False,True,2911583.0,True,4042,1,"[{'phase': 1, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 2367, 'league_id': 198536, 'rank_count': 4042, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 89, 'last_rank': 493, 'rank_sort': 90, 'total': 200, 'league_id': 198536, 'rank_count': 4042, 'entry_percentile_rank': 5}]",[],1,1
731757,Naija FPL gods,,2025-08-03T08:01:46.677165Z,False,,,x,c,3616760.0,1,True,False,False,True,2911696.0,False,2366,1,"[{'phase': 1, 'rank': 2, 'last_rank': 2, 'rank_sort': 2, 'total': 2367, 'league_id': 731757, 'rank_count': 2366, 'entry_percentile_rank': 1}, {'phase': 11, 'rank': 56, 'last_rank': 324, 'rank_sort': 58, 'total': 200, 'league_id': 731757, 'rank_count': 2366, 'entry_percentile_rank': 5}]",[],2,2
4122307,League 4122307,,2026-05-10T20:02:27.977777Z,True,,,c,c,,37,True,False,False,False,,,20,5,"[{'phase': 1, 'rank': 1, 'last_rank': 0, 'rank_sort': 1, 'total': 50, 'league_id': 4122307, 'rank_count': 20, 'entry_percentile_rank': 5}, {'phase': 11, 'rank': 1, 'last_rank': 0, 'rank_sort': 1, 'total': 50, 'league_id': 4122307, 'rank_count': 20, 'entry_percentile_rank': 5}]",[],1,0
