id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
34269,34,SavedShot,0.909000015258789,0.36400001525878906,0.009310180321335793,Alberto Lopo,a,2486,SetPiece,2014,Head,5725,Cordoba,Deportivo La Coruna,0,0,2014-11-07 19:45:00,Haris Medunjanin,Aerial
33868,66,MissedShots,0.9769999694824218,0.39599998474121095,0.039393100887537,Alberto Lopo,h,2486,FromCorner,2014,Head,5690,Deportivo La Coruna,Malaga,0,1,2014-12-06 21:00:00,Ivan Cavaleiro,Cross
34617,34,MissedShots,0.9540000152587891,0.4179999923706055,0.11665300279855728,Alberto Lopo,h,2486,SetPiece,2014,Head,5706,Deportivo La Coruna,Elche,1,0,2014-12-15 19:45:00,Haris Medunjanin,Cross
38530,30,MissedShots,0.985,0.5829999923706055,0.06255769729614258,Alberto Lopo,a,2486,FromCorner,2014,RightFoot,5682,Rayo Vallecano,Deportivo La Coruna,1,2,2015-01-30 19:45:00,Celso Borges,Cross
40889,47,MissedShots,0.8969999694824219,0.5070000076293946,0.09479069709777832,Alberto Lopo,h,2486,SetPiece,2014,Head,5608,Deportivo La Coruna,Eibar,2,0,2015-02-06 19:45:00,Celso Borges,Cross
41117,48,SavedShot,0.8830000305175781,0.5309999847412109,0.01575629971921444,Alberto Lopo,a,2486,FromCorner,2014,Head,5620,Real Madrid,Deportivo La Coruna,2,0,2015-02-14 17:00:00,Ivan Cavaleiro,Aerial
39299,79,MissedShots,0.9619999694824218,0.4229999923706055,0.059203799813985825,Alberto Lopo,h,2486,OpenPlay,2014,Head,5537,Deportivo La Coruna,Atletico Madrid,1,2,2015-04-18 17:00:00,Juanfran,Aerial
37378,80,SavedShot,0.9519999694824218,0.5129999923706055,0.1076119989156723,Alberto Lopo,a,2486,FromCorner,2014,RightFoot,5479,Athletic Club,Deportivo La Coruna,1,1,2015-05-09 21:00:00,Álex Bergantiños,CornerAwarded
37381,92,Goal,0.8969999694824219,0.5179999923706055,0.08762209862470627,Alberto Lopo,a,2486,OpenPlay,2014,Head,5479,Athletic Club,Deportivo La Coruna,1,1,2015-05-09 21:00:00,Ivan Cavaleiro,Cross
36383,20,Goal,0.8730000305175781,0.4640000152587891,0.04596810042858124,Alberto Lopo,h,2486,SetPiece,2014,RightFoot,5487,Deportivo La Coruna,Levante,2,0,2015-05-17 18:00:00,Lucas Pérez,Cross
88789,13,MissedShots,0.8969999694824219,0.46599998474121096,0.020234599709510803,Alberto Lopo,a,2486,FromCorner,2015,Head,1591,Real Sociedad,Deportivo La Coruna,1,1,2016-01-17 01:05:00,Luis Alberto,Aerial
90868,63,MissedShots,0.7119999694824218,0.425,0.009134739637374878,Alberto Lopo,a,2486,OpenPlay,2015,RightFoot,1682,Atletico Madrid,Deportivo La Coruna,3,0,2016-03-12 23:30:00,,Aerial
91355,85,MissedShots,0.9340000152587891,0.4329999923706055,0.39061400294303894,Alberto Lopo,h,2486,OpenPlay,2015,RightFoot,1718,Deportivo La Coruna,Las Palmas,1,3,2016-04-11 22:30:00,Fernando Navarro,Cross
91359,91,MissedShots,0.874000015258789,0.46,0.08245249837636948,Alberto Lopo,h,2486,OpenPlay,2015,RightFoot,1718,Deportivo La Coruna,Las Palmas,1,3,2016-04-11 22:30:00,,Rebound
