goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DR,Levante,Atletico Madrid,2,2,2019-05-18,10330,2018,333215,0.6072109937667847,1,3,0,0,0.6804879903793335,0.6804879903793335
0,0,0,90,DR,Atletico Madrid,Sevilla,1,1,2019-05-12,10325,2018,332788,1.084089994430542,0,2,0,0,1.2296299934387207,0.8601940274238586
0,0,0,90,DR,Espanyol,Atletico Madrid,3,0,2019-05-04,10310,2018,330274,0.159510999917984,0,2,0,0,0.19025999307632446,0.05146609991788864
0,0,0,90,DR,Atletico Madrid,Valencia,3,2,2019-04-24,10295,2018,327496,0.6767910122871399,1,3,0,0,0.7072619795799255,0.0988268032670021
0,0,0,90,DR,Atletico Madrid,Celta Vigo,2,0,2019-04-13,10273,2018,324424,0.08000040054321289,0,1,0,0,0.09926919639110565,0.01926879957318306
0,0,0,1,Sub,Barcelona,Atletico Madrid,2,0,2019-04-06,10261,2018,322956,0,0,0,0,0,0,0
0,0,0,2,Sub,Atletico Madrid,Girona,2,0,2019-04-02,10255,2018,321532,0,0,0,0,0,0.443681001663208,0.443681001663208
0,0,0,90,DR,Alaves,Atletico Madrid,0,4,2019-03-30,10237,2018,318204,0.07824829965829849,0,1,0,0,0.2816469967365265,0.20339900255203247
0,0,0,81,DR,Athletic Club,Atletico Madrid,2,0,2019-03-16,10227,2018,316575,0,0,0,0,0,0.07186319679021835,0.07186319679021835
0,0,0,16,Sub,Atletico Madrid,Leganes,1,0,2019-03-09,10224,2018,314607,0.023301199078559875,0,1,0,0,0,0
0,0,0,90,DR,Real Sociedad,Atletico Madrid,0,2,2019-03-03,10209,2018,311620,0,0,0,0,0,0.7857869863510132,0.7857869863510132
0,0,0,90,DL,Real Betis,Atletico Madrid,1,0,2019-02-03,10170,2018,310394,0.028255099430680275,0,1,0,0,0.06555470079183578,0.03729959949851036
0,0,0,43,Sub,Atletico Madrid,Getafe,2,0,2019-01-26,10164,2018,309969,0,0,0,0,0,0.06989149749279022,0.06989149749279022
0,0,0,90,DL,Atletico Madrid,Levante,1,0,2019-01-13,10145,2018,309487,0.10511399805545807,0,1,0,0,1.0693700313568115,0.9642540216445923
0,0,0,90,DR,Sevilla,Atletico Madrid,1,1,2019-01-06,10131,2018,309248,0,0,0,0,0,0.39986899495124817,0.39986899495124817
0,0,0,90,DR,Villarreal,Atletico Madrid,1,1,2018-10-20,10042,2018,285561,0.4891029894351959,0,2,0,0,0.5748550295829773,0.10690400004386902
0,0,0,74,DR,Atletico Madrid,Real Betis,1,0,2018-10-07,10034,2018,285353,0.028692899271845818,0,1,0,0,0.028692899271845818,0
0,0,0,90,DR,Real Madrid,Atletico Madrid,0,0,2018-09-29,10022,2018,253985,0,0,0,0,0,0.0521405003964901,0.0521405003964901
0,0,0,90,DR,Getafe,Atletico Madrid,0,2,2018-09-22,9999,2018,250733,0.03445250168442726,0,1,0,0,0.930554986000061,0.930554986000061
0,0,0,90,DR,Atletico Madrid,Eibar,1,1,2018-09-15,9988,2018,248492,0.2920219898223877,0,1,0,0,0.4137279987335205,0.4137279987335205
0,0,0,35,DR,Atletico Madrid,Rayo Vallecano,1,0,2018-08-25,9970,2018,245511,0,0,0,0,0,0.019283300265669823,0.019283300265669823
