goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,67,DMC,Monaco,Marseille,2,1,2016-04-17,2208,2015,76561,0,0,0,0,0,0.0908714011311531,0.0908714011311531
0,0,0,73,DMC,Marseille,Bordeaux,0,0,2016-04-10,2198,2015,76213,0,0,0,0,0,0.14262500405311584,0.14262500405311584
0,0,0,28,Sub,SC Bastia,Marseille,2,1,2016-04-03,2187,2015,75013,0,0,0,0,0,0,0
0,0,0,74,Sub,Lorient,Marseille,1,1,2016-03-12,2160,2015,74738,0.02305700071156025,0,1,0,0,0.11184299737215042,0.08878619968891144
0,0,0,7,Sub,GFC Ajaccio,Marseille,1,1,2016-03-09,2158,2015,78011,0,0,0,0,0,0,0
0,0,0,61,DMC,Marseille,Lille,1,1,2016-01-29,2089,2015,73830,0,0,0,0,0,0.1433659940958023,0.1433659940958023
0,1,0.11575400084257126,17,Sub,Lyon,Marseille,1,1,2016-01-25,2088,2015,73600,0,0,0,0,0.11575400084257126,0.11575400084257126,0
0,0,0,1,Sub,Caen,Marseille,1,3,2016-01-17,2077,2015,73377,0,0,0,0,0,0,0
0,0,0,2,Sub,Bordeaux,Marseille,1,1,2015-12-21,2058,2015,72292,0,0,0,0,0,0,0
0,0,0,15,Sub,Marseille,GFC Ajaccio,1,1,2015-12-13,2046,2015,71778,0,0,0,0,0,0,0
0,0,0,9,Sub,Marseille,Montpellier,2,2,2015-12-06,2036,2015,72611,0,0,0,0,0,0.06977629661560059,0.06977629661560059
0,1,0.023196600377559662,16,Sub,Marseille,Monaco,3,3,2015-11-30,2018,2015,71392,0,0,0,0,0.023196600377559662,0.023196600377559662,0
0,0,0,1,Sub,Saint-Etienne,Marseille,0,2,2015-11-23,2008,2015,70709,0,0,0,0,0,0,0
0,1,0.01880829967558384,61,DMC,Marseille,Nice,0,1,2015-11-08,1996,2015,71061,0.019397400319576263,0,1,0,0.01880829967558384,0.03820570185780525,0
0,0,0,80,DMC,Nantes,Marseille,0,1,2015-11-02,1987,2015,71371,0,0,0,0,0,0.08356299996376038,0.08356299996376038
0,1,0.046241000294685364,89,DMC,Lille,Marseille,1,2,2015-10-25,1975,2015,70340,0.45135799050331116,0,3,0,0.046241000294685364,0.49904099106788635,0.49904099106788635
0,0,0,64,DMC,Marseille,Lorient,1,1,2015-10-18,1965,2015,69993,0.02399430051445961,0,1,0,0,0.16193099319934845,0.13793599605560303
0,0,0,85,DMC,Paris Saint Germain,Marseille,2,1,2015-10-04,1957,2015,69787,0.02462640032172203,0,1,0,0,0.5413380265235901,0.5167120099067688
0,3,0.08277930319309235,44,Sub,Marseille,Angers,1,2,2015-09-27,1944,2015,71280,0.03661169856786728,0,1,0,0.08277930319309235,0.37359899282455444,0.30346301198005676
0,2,0.06717559695243835,71,MC,Toulouse,Marseille,1,1,2015-09-23,1936,2015,69705,0,0,0,0,0.06717559695243835,0.06717559695243835,0
0,2,0.05195929855108261,83,MC,Marseille,Lyon,1,1,2015-09-20,1928,2015,68672,0.0614297017455101,0,1,0,0.05195929855108261,0.6654109954833984,0.5793859958648682
0,1,0.031022200360894203,90,MC,Marseille,SC Bastia,4,1,2015-09-13,1918,2015,68883,0,0,0,0,0.031022200360894203,0.49233001470565796,0.46130800247192383
0,0,0,25,Sub,Real Madrid,Almeria,3,0,2015-04-29,5559,2014,41250,0,0,0,0,0,0.9430180191993713,0.9430180191993713
0,0,0,29,Sub,Real Madrid,Eibar,3,0,2015-04-11,5525,2014,43998,0,0,0,0,0,0,0
0,0,0,2,Sub,Barcelona,Real Madrid,2,1,2015-03-22,5600,2014,45019,0,0,0,0,0,0,0
0,0,0,90,MC,Real Madrid,Levante,2,0,2015-03-15,5589,2014,44887,0,0,0,0,0,0.6931890249252319,0.6931890249252319
0,1,0.02392910048365593,14,Sub,Athletic Club,Real Madrid,1,0,2015-03-07,5573,2014,45103,0.007851170375943184,0,1,0,0.02392910048365593,0.03178019821643829,0.007851170375943184
0,2,0.04640959948301315,74,MC,Real Madrid,Villarreal,1,1,2015-03-01,5569,2014,44384,0,0,0,0,0.04640959948301315,0.6593440175056458,0.6399210095405579
0,0,0,85,MC,Elche,Real Madrid,0,2,2015-02-22,5636,2014,44510,0,0,0,0,0,0.18260900676250458,0.18260900676250458
0,0,0,19,Sub,Real Madrid,Deportivo La Coruna,2,0,2015-02-14,5620,2014,46172,0,0,0,0,0,0,0
