goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,9,Sub,Levante,Elche,0,0,2015-05-23,5495,2014,41222,0,0,0,0,0,0,0
0,0,0,16,Sub,Deportivo La Coruna,Levante,2,0,2015-05-17,5487,2014,40734,0,0,0,0,0,0,0
0,0,0,4,Sub,Levante,Atletico Madrid,2,2,2015-05-10,5480,2014,41864,0,0,0,0,0,0,0
0,1,0.4274899959564209,43,Sub,Levante,Sevilla,1,2,2015-04-07,5516,2014,43610,0,0,0,0,0.4274899959564209,0.48023998737335205,0.05274999886751175
0,0,0,8,Sub,Levante,Celta Vigo,0,1,2015-03-21,5594,2014,44781,0,0,0,0,0,0,0
0,0,0,13,Sub,Elche,Levante,1,0,2015-01-18,5670,2014,42878,0,0,0,0,0,0,0
0,1,0.021552100777626038,61,FW,Atletico Madrid,Levante,3,1,2015-01-03,5642,2014,43178,0.04001300036907196,0,1,0,0.021552100777626038,0.021552100777626038,0
0,0,0,23,Sub,Levante,Real Sociedad,1,1,2014-12-20,5709,2014,39722,0,0,0,0,0,0,0
0,0,0,16,Sub,Cordoba,Levante,0,0,2014-12-13,5700,2014,38874,0,0,0,0,0,0,0
1,1,0.04991690069437027,28,Sub,Levante,Getafe,1,1,2014-12-08,5696,2014,38108,0,0,0,1,0.04991690069437027,0.04991690069437027,0
0,3,0.12467599660158157,57,FW,Malaga,Levante,0,0,2014-09-13,5788,2014,37953,0.028929200023412704,0,1,0,0.12467599660158157,0.09949509799480438,0
0,1,0.014578900299966335,16,Sub,Athletic Club,Levante,3,0,2014-08-30,5839,2014,36480,0,0,0,0,0.014578900299966335,0.014578900299966335,0
0,4,0.19322100281715393,18,Sub,Levante,Villarreal,0,2,2014-08-24,5833,2014,35966,0,0,0,0,0.19322100281715393,0.13752500712871552,0
