id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
32447,22,MissedShots,0.924000015258789,0.28299999237060547,0.044401898980140686,Sammir,a,4085,OpenPlay,2014,RightFoot,5832,Celta Vigo,Getafe,3,1,2014-08-24 20:00:00,Pablo Sarabia,BallRecovery
32459,61,Goal,0.87,0.529000015258789,0.12851199507713318,Sammir,a,4085,OpenPlay,2014,RightFoot,5832,Celta Vigo,Getafe,3,1,2014-08-24 20:00:00,Ángel Lafita,Pass
32840,23,MissedShots,0.775,0.6329999923706054,0.01948920078575611,Sammir,a,4085,FromCorner,2014,RightFoot,5793,Sevilla,Getafe,2,0,2014-09-14 18:00:00,,None
33131,21,MissedShots,0.7419999694824219,0.4520000076293945,0.016930699348449707,Sammir,h,4085,FromCorner,2014,RightFoot,5805,Getafe,Valencia,0,3,2014-09-22 19:45:00,,None
34801,17,MissedShots,0.925,0.3529999923706055,0.08138760179281235,Sammir,a,4085,OpenPlay,2014,RightFoot,5773,Real Sociedad,Getafe,1,2,2014-10-20 19:45:00,Yoda,Pass
34809,34,BlockedShot,0.89,0.8219999694824218,0.06501120328903198,Sammir,a,4085,DirectFreekick,2014,RightFoot,5773,Real Sociedad,Getafe,1,2,2014-10-20 19:45:00,,Standard
34342,75,MissedShots,0.8069999694824219,0.31799999237060544,0.08759420365095139,Sammir,h,4085,DirectFreekick,2014,RightFoot,5727,Getafe,Elche,0,0,2014-11-08 17:00:00,,Standard
34343,76,MissedShots,0.6990000152587891,0.23600000381469727,0.009825769811868668,Sammir,h,4085,OpenPlay,2014,RightFoot,5727,Getafe,Elche,0,0,2014-11-08 17:00:00,Álvaro Arroyo,BallRecovery
34349,92,MissedShots,0.7869999694824219,0.44400001525878907,0.027637600898742676,Sammir,h,4085,OpenPlay,2014,RightFoot,5727,Getafe,Elche,0,0,2014-11-08 17:00:00,,Rebound
34905,21,BlockedShot,0.7819999694824219,0.6309999847412109,0.020919499918818474,Sammir,h,4085,FromCorner,2014,RightFoot,5698,Getafe,Barcelona,0,0,2014-12-13 15:00:00,,None
37887,25,SavedShot,0.7290000152587891,0.4979999923706055,0.04046029970049858,Sammir,h,4085,OpenPlay,2014,RightFoot,5647,Getafe,Rayo Vallecano,1,2,2015-01-04 11:00:00,Diego Castro,Pass
37894,56,BlockedShot,0.7659999847412109,0.43599998474121093,0.019898200407624245,Sammir,h,4085,OpenPlay,2014,RightFoot,5647,Getafe,Rayo Vallecano,1,2,2015-01-04 11:00:00,,Rebound
37901,71,BlockedShot,0.750999984741211,0.61,0.013323799706995487,Sammir,h,4085,SetPiece,2014,RightFoot,5647,Getafe,Rayo Vallecano,1,2,2015-01-04 11:00:00,,None
38227,38,MissedShots,0.865999984741211,0.6680000305175782,0.07087689638137817,Sammir,h,4085,OpenPlay,2014,RightFoot,5667,Getafe,Real Madrid,0,3,2015-01-18 11:00:00,Pablo Sarabia,Pass
38636,41,SavedShot,0.8590000152587891,0.5420000076293945,0.07344699651002884,Sammir,h,4085,OpenPlay,2014,RightFoot,5681,Getafe,Celta Vigo,2,1,2015-01-26 19:45:00,,None
37771,29,SavedShot,0.7430000305175781,0.49,0.016906799748539925,Sammir,a,4085,OpenPlay,2014,LeftFoot,5603,Almeria,Getafe,1,0,2015-02-01 16:00:00,,None
37786,87,SavedShot,0.799000015258789,0.524000015258789,0.049371201545000076,Sammir,a,4085,OpenPlay,2014,LeftFoot,5603,Almeria,Getafe,1,0,2015-02-01 16:00:00,Juan Rodríguez,TakeOn
41137,13,MissedShots,0.8780000305175781,0.5770000076293945,0.03075139969587326,Sammir,h,4085,FromCorner,2014,RightFoot,5614,Getafe,Sevilla,2,1,2015-02-08 16:00:00,,Aerial
41139,15,BlockedShot,0.894000015258789,0.7290000152587891,0.039371199905872345,Sammir,h,4085,OpenPlay,2014,RightFoot,5614,Getafe,Sevilla,2,1,2015-02-08 16:00:00,,None
40742,29,MissedShots,0.705,0.4929999923706055,0.015112699940800667,Sammir,a,4085,OpenPlay,2014,RightFoot,5623,Valencia,Getafe,1,0,2015-02-15 11:00:00,Diego Castro,LayOff
