goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.016078999266028404,90,DR,Sporting Gijon,Malaga,0,1,2017-04-05,4023,2016,159650,0,0,0,0,0.016078999266028404,0.03571290150284767,0.03571290150284767
0,1,0.008402800187468529,13,Sub,Malaga,Sporting Gijon,3,2,2016-11-04,2776,2016,153231,0,0,0,0,0.008402800187468529,0,0
0,0,0,8,Sub,Sporting Gijon,Sevilla,1,1,2016-10-29,3309,2016,152609,0,0,0,0,0,0,0
0,0,0,90,DR,Granada,Sporting Gijon,0,0,2016-10-22,1863,2016,153193,0,0,0,0,0,0.025870099663734436,0.025870099663734436
0,0,0,74,DL,Sporting Gijon,Barcelona,0,5,2016-09-24,1831,2016,152100,0,0,0,0,0,0.0710970014333725,0.0710970014333725
0,1,0.0076942299492657185,90,DR,Celta Vigo,Sporting Gijon,2,1,2016-09-21,1822,2016,151831,0,0,0,0,0.0076942299492657185,0.0076942299492657185,0
0,0,0,8,Sub,Sporting Gijon,Leganes,2,1,2016-09-11,1805,2016,151048,0,0,0,0,0,0,0
0,0,0,90,DR,Sporting Gijon,Villarreal,2,0,2016-05-15,1777,2015,103072,0.05784359946846962,0,1,0,0,0.23201599717140198,0.1741729974746704
0,0,0,90,DR,Getafe,Sporting Gijon,1,1,2016-05-08,1762,2015,103644,0,0,0,0,0,0.019911399111151695,0.019911399111151695
0,0,0,90,DR,Sporting Gijon,Eibar,2,0,2016-04-29,1749,2015,102793,0.025748100131750107,0,1,0,0,0.025748100131750107,0
0,1,0.012987899594008923,90,DR,Sporting Gijon,Sevilla,2,1,2016-04-20,1734,2015,102569,0,0,0,0,0.012987899594008923,0.2100200057029724,0.19703300297260284
0,0,0,64,DR,Las Palmas,Sporting Gijon,1,1,2016-04-16,1721,2015,101197,0.03888550028204918,0,1,0,0,0.4319559931755066,0.4319559931755066
0,0,0,90,DR,Levante,Sporting Gijon,0,0,2016-04-04,1708,2015,100586,0,0,0,0,0,0.19747500121593475,0.19747500121593475
0,1,0.01207059994339943,90,DR,Sporting Gijon,Atletico Madrid,2,1,2016-03-19,1690,2015,101071,0,0,1,0,0.01207059994339943,0.2048249989748001,0.19275499880313873
0,0,0,90,DR,Malaga,Sporting Gijon,1,0,2016-03-11,1679,2015,101309,0.108815997838974,0,1,0,0,0.108815997838974,0.108815997838974
0,1,0.015867600217461586,90,MR,Granada,Sporting Gijon,2,0,2016-03-03,1666,2015,100701,0,0,0,0,0.015867600217461586,0.015867600217461586,0
0,0,0,1,Sub,Sporting Gijon,Espanyol,2,4,2016-02-27,1652,2015,100389,0,0,0,0,0,0.12895099818706512,0.12895099818706512
0,0,0,5,Sub,Real Betis,Sporting Gijon,1,1,2016-02-20,1642,2015,100153,0,0,0,0,0,0,0
0,0,0,90,DR,Sporting Gijon,Barcelona,1,3,2016-02-17,1638,2015,96916,0,0,0,0,0,0.034419599920511246,0.034419599920511246
0,0,0,90,DR,Sporting Gijon,Real Sociedad,5,1,2016-01-22,1598,2015,98989,0,0,1,0,0,0.47924500703811646,0.47924500703811646
0,0,0,90,DR,Real Madrid,Sporting Gijon,5,1,2016-01-17,1593,2015,98700,0.03353229910135269,0,1,0,0,0.048086799681186676,0.014554600231349468
0,0,0,90,DR,Villarreal,Sporting Gijon,2,0,2016-01-10,1583,2015,96764,0,0,0,0,0,0.12473300099372864,0.12473300099372864
0,0,0,22,Sub,Sporting Gijon,Getafe,1,2,2016-01-04,1577,2015,97701,0.02381649985909462,0,1,0,0,0.02381649985909462,0
0,0,0,81,DR,Eibar,Sporting Gijon,2,0,2015-12-30,1562,2015,98120,0.138604998588562,0,2,0,0,0.138604998588562,0
0,0,0,31,Sub,Sevilla,Sporting Gijon,2,0,2015-12-12,1543,2015,97827,0,0,0,0,0,0,0
0,0,0,90,DR,Celta Vigo,Sporting Gijon,2,1,2015-11-29,1524,2015,97956,0.15992100536823273,0,1,0,0,0.08017370104789734,0.055841099470853806
0,0,0,90,DR,Sporting Gijon,Levante,0,3,2015-11-22,1514,2015,96442,0,0,0,0,0,0,0
0,0,0,90,DR,Atletico Madrid,Sporting Gijon,1,0,2015-11-08,1507,2015,95954,0,0,0,0,0,0.021110899746418,0.021110899746418
0,0,0,90,DR,Sporting Gijon,Malaga,1,0,2015-11-01,1497,2015,95440,0,0,0,0,0,0.10415799915790558,0.10415799915790558
0,0,0,90,DR,Athletic Club,Sporting Gijon,3,0,2015-10-26,1488,2015,96262,0.012884199619293213,0,1,0,0,0.012884199619293213,0
0,2,0.043024200946092606,90,DR,Sporting Gijon,Granada,3,3,2015-10-19,1478,2015,95745,0.47164100408554077,1,3,0,0.043024200946092606,0.2426220029592514,0.15736299753189087
0,0,0,90,DR,Espanyol,Sporting Gijon,1,2,2015-10-03,1462,2015,94925,0.03192469850182533,1,1,0,0,0.13622300326824188,0.10429900139570236
0,0,0,90,DR,Sporting Gijon,Real Betis,1,2,2015-09-27,1455,2015,94272,0.02241699956357479,0,1,0,0,0.4722500145435333,0.4498330056667328
0,0,0,48,Sub,Rayo Vallecano,Sporting Gijon,2,1,2015-09-23,1442,2015,94714,0,0,0,0,0,0,0
0,0,0,90,DR,Deportivo La Coruna,Sporting Gijon,2,3,2015-09-20,1435,2015,94091,1.2923799753189087,2,2,0,0,1.6012200117111206,0.9233490228652954
0,1,0.04917300119996071,90,DR,Sporting Gijon,Valencia,0,1,2015-09-12,1421,2015,93996,0,0,0,0,0.04917300119996071,0,0
0,1,0.011931399814784527,90,DR,Real Sociedad,Sporting Gijon,0,0,2015-08-29,1410,2015,93733,0.02345610037446022,0,1,0,0.011931399814784527,0.09505119919776917,0.07159499824047089
0,0,0,90,DR,Sporting Gijon,Real Madrid,0,0,2015-08-23,1405,2015,93415,0.1026419997215271,0,1,0,0,0.2010120004415512,0.09837059676647186
