goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.012234517373144627,90,ML,Osasuna,Villarreal,1,1,2024-05-25,23059,2023,664262,0.12861374020576477,0,3,0,0.012234517373144627,0.13141587376594543,0.048537611961364746
0,0,0,1,Sub,Girona,Villarreal,0,1,2024-05-14,23036,2023,661987,0,0,0,0,0,0,0
0,0,0,4,Sub,Villarreal,Rayo Vallecano,3,0,2024-04-28,23013,2023,657960,0,0,0,0,0,0,0
0,1,0.021376920863986015,23,Sub,Villarreal,Granada,5,1,2024-03-03,22953,2023,645438,0.02268039435148239,0,1,0,0.021376920863986015,0.021376920863986015,0
0,0,0,1,Sub,Villarreal,Cadiz,0,0,2024-02-04,22913,2023,638989,0,0,0,0,0,0,0
0,0,0,5,Sub,Villarreal,Mallorca,1,1,2024-01-20,22893,2023,635867,0,0,0,0,0,0,0
0,1,0.020222719758749008,14,Sub,Las Palmas,Villarreal,3,0,2024-01-13,22882,2023,634615,0.03165913373231888,0,1,0,0.020222719758749008,0.1914958953857422,0.17127318680286407
0,0,0,9,Sub,Valencia,Villarreal,3,1,2024-01-02,22866,2023,633908,0,0,0,0,0,0,0
0,0,0,1,Sub,Villarreal,Celta Vigo,3,2,2023-12-20,22864,2023,632071,0,0,0,0,0,0,0
0,0,0,10,Sub,Real Madrid,Villarreal,4,1,2023-12-17,22849,2023,631345,0,0,0,0,0,0,0
0,0,0,11,Sub,Villarreal,Osasuna,3,1,2023-11-26,22824,2023,625438,0,0,0,0,0,0.5350950360298157,0.5350950360298157
0,1,0.487493097782135,77,AMC,Villarreal,Las Palmas,1,2,2023-10-08,22774,2023,616897,0,0,0,0,0.487493097782135,0.5888954401016235,0.10140237212181091
0,0,0,1,Sub,Villarreal,Girona,1,2,2023-09-27,22751,2023,613652,0,0,0,0,0,0.033250562846660614,0.033250562846660614
0,2,0.16005100309848785,31,Sub,Rayo Vallecano,Villarreal,1,1,2023-09-24,22741,2023,613042,0,0,0,0,0.16005100309848785,0.05846143886446953,0
0,0,0,67,AMC,Villarreal,Atletico Madrid,2,2,2023-06-04,19333,2022,602303,0.04843369498848915,0,2,0,0,0.07811754196882248,0.07811754196882248
0,2,0.135345458984375,90,DMC,Villarreal,Cadiz,2,0,2023-05-24,19319,2022,599529,0,0,0,0,0.135345458984375,0.6379442811012268,0.6243179440498352
0,1,0.022163957357406616,9,Sub,Girona,Villarreal,1,2,2023-05-20,19304,2022,597866,0,0,0,0,0.022163957357406616,0.022163957357406616,0
0,0,0,6,Sub,Villarreal,Athletic Club,5,1,2023-05-13,19297,2022,596622,0.4645974934101105,1,1,0,0,0.4645974934101105,0.4645974934101105
0,0,0,14,Sub,Valencia,Villarreal,1,1,2023-05-03,19286,2022,593933,0,0,0,0,0,0.03322213888168335,0.03322213888168335
0,0,0,9,Sub,Villarreal,Celta Vigo,3,1,2023-04-30,19279,2022,593205,0,0,0,0,0,0,0
0,0,0,58,Sub,Real Madrid,Villarreal,2,3,2023-04-08,19234,2022,587235,0.07991970330476761,0,1,0,0,0.10863199830055237,0.10863199830055237
0,0,0,5,Sub,Villarreal,Real Sociedad,2,0,2023-04-02,19229,2022,585740,0,0,0,0,0,0,0
0,0,0,90,MC,Osasuna,Villarreal,0,3,2023-03-19,19216,2022,583901,0.2236119955778122,0,4,0,0,0.6171969771385193,0.3935849964618683
0,0,0,61,MC,Villarreal,Real Betis,1,1,2023-03-12,19208,2022,582272,0,0,0,0,0,0.5394110083580017,0.5394110083580017
0,1,0.034182701259851456,20,MC,Mallorca,Villarreal,4,2,2023-02-18,19175,2022,576654,0,0,0,0,0.034182701259851456,0.034182701259851456,0
0,1,0.04911870136857033,5,Sub,Villarreal,Barcelona,0,1,2023-02-12,19168,2022,575777,0,0,0,0,0.04911870136857033,0.12263999879360199,0.12263999879360199
0,1,0.050629399716854095,26,Sub,Elche,Villarreal,3,1,2023-02-04,19156,2022,573399,0,0,0,0,0.050629399716854095,0.050629399716854095,0
0,0,0,5,Sub,Villarreal,Girona,1,0,2023-01-22,19141,2022,570516,0.02331710048019886,0,1,0,0,0.02331710048019886,0.02331710048019886
0,0,0,78,MC,Celta Vigo,Villarreal,1,1,2023-01-13,19122,2022,568614,0,0,0,0,0,0.05539799854159355,0.05539799854159355
0,0,0,1,Sub,Villarreal,Real Madrid,2,1,2023-01-07,19121,2022,567675,0,0,0,0,0,0.14677099883556366,0.14677099883556366
0,0,0,9,Sub,Villarreal,Valencia,2,1,2022-12-31,19110,2022,566547,0,0,0,0,0,0,0
0,0,0,70,MC,Espanyol,Villarreal,0,1,2022-11-09,19094,2022,563599,0,0,0,0,0,0.14519700407981873,0.14519700407981873
0,1,0.010082099586725235,46,AML,Villarreal,Mallorca,0,2,2022-11-06,19089,2022,562967,0,0,0,0,0.010082099586725235,0,0
0,0,0,66,Sub,Athletic Club,Villarreal,1,0,2022-10-30,19072,2022,561140,0.04049539938569069,0,1,0,0,0.04049539938569069,0
0,1,0.020731499418616295,27,Sub,Villarreal,Almeria,2,1,2022-10-23,19071,2022,559254,0,0,0,0,0.020731499418616295,0.020731499418616295,0
0,0,0,32,Sub,Barcelona,Villarreal,3,0,2022-10-20,19053,2022,557793,0,0,0,0,0,0.30969399213790894,0.30969399213790894
0,0,0,4,Sub,Villarreal,Osasuna,2,0,2022-10-17,19050,2022,557226,0,0,0,0,0,0,0
0,0,0,69,ML,Barcelona,Villarreal,0,2,2022-05-22,17507,2021,538246,0.03403469920158386,0,1,0,0,0.14651300013065338,0.11247800290584564
0,0,0,7,Sub,Villarreal,Real Sociedad,1,2,2022-05-15,17505,2021,536605,0,0,0,0,0,0,0
0,1,0.06516730040311813,90,MC,Rayo Vallecano,Villarreal,1,5,2022-05-12,17494,2021,534999,0,0,0,0,0.06516730040311813,0.06516730040311813,0
0,0,0,17,Sub,Villarreal,Sevilla,1,1,2022-05-08,17485,2021,533614,0,0,0,0,0,0.13870899379253387,0.13870899379253387
0,2,0.1218160018324852,90,AMC,Alaves,Villarreal,2,1,2022-04-30,17466,2021,530215,0,0,0,0,0.1218160018324852,0.38916900753974915,0.26735299825668335
0,1,0.02376290038228035,90,ML,Villarreal,Valencia,2,0,2022-04-19,17465,2021,527593,0.05750710144639015,0,1,0,0.02376290038228035,1.121209979057312,1.0399399995803833
1,3,1.1176700592041016,84,ML,Getafe,Villarreal,1,2,2022-04-16,17450,2021,526718,0,0,0,1,1.1176700592041016,2.6225600242614746,1.518530011177063
0,1,0.14625999331474304,65,MC,Villarreal,Athletic Club,1,1,2022-04-09,17444,2021,524817,0.04253380000591278,0,1,0,0.14625999331474304,0.5210970044136047,0.3323040008544922
